BookId	PartId	Content
1	1	      卷一·缘起          仲夏夜中，有银河似练，滔滔隔断天幕。有二星者，隔河相望，奈何终年不可相会，人们称它们为牵牛星和织女星。        相传，只有在每年农历七月初七的夜晚，喜鹊自八方相聚，咬尾相衔，
1	2	搭作鹊桥。牛郎织女才能借此相聚，执手互诉衷肠，聊解相思。              年年复年年，岁岁重岁岁，他们始终相守着彼此的爱与誓言，亘古未变。引得万千情义之人，都妄图在前人散失的书简中，寻找有关他们的字字句
1	3	句，似乎就是为了证明，这感天动地的爱情真的存在过…… 
2	1	      卷二·牛郎          我藏在芦苇丛里的时候，并不相信老牛的话。可是当她跟着一群仙子袅袅停在河边，我完全忘了自己是谁、怎么到了这里、来干什么？我没有读过什么书，不知道怎么形容那个晚上，只记得月亮很
2	2	亮，能让我一眼就望进她的眼睛里。                ……也许我从一开始就知道，她总有一天会回去的，即使我把她的衣裳藏在最结实的那个大箱子里，即使我天天都告诉自己，能和她幸福地生活，一直到老。
2	3	    ……谁说这天命就可拆散我们！她是我的妻子，孩子们的娘，就算有十条银河，我也一定要去到她身边！
3	1	      卷三·织女          昨昔相遇之事，宛若一梦不复醒。彼人愚钝，却质朴。当日我与众姐妹河中沐浴，见其窃衣，他为贼者反两颊绯然，诺诺不知所言。我遂当下莞尔，引得他羞窘更甚。        此后交颈相守数年，
3	2	……如何不知，他将羽衣藏于何处。不过甘愿，与君共待百年。              王母遣天神前来，两小儿啼哭不止，恐以儿女胁迫之，遂许。飞天之外，三步一回首，五步泪满襟。此后再难承君诺，怎求勿忘勿念？
3	3	    ……喜鹊筑桥，君在彼端。执手相看，情深难诉。                      ……从今往后，妾素手织机，成这晚霞云锦，独为君赏。
4	1	      卷四·仙子          妾为天庭一小小仙子，末席侍之。一日，路过天海偏殿，见一仙女，周身尽堆绚烂云锦，只挥手间，便见五彩云霞缱绻，缭绕天庭。翌日，所见所闻皆与昨同，日复一日。    仲夏某晚，天庭外银
4	2	河自北向南奔流而去。我又路过那仙女的居所，竟未见其人，织机旁万匹晚霞在银河的星辉下黯然。遂问殿外看守兵将，仙女何从？兵将答曰，七夕之约。我一时未明。……      直至，看见了横越银河的鹊桥上，隐约熟识的
4	3	身影，才好像明白了些什么：人间的男子，受罚的仙女……自己最不能抵挡的天庭传言。              不知那仙女织了多长的天云锦缎……是不是长过银河，长过相思，长过一生一次的爱眷。
5	1	      卷五·银河          吾本是虚无。          忘了是多久以前，王母的金簪一划，天幕撕裂，众星汹涌而出。于是吾便存在了。                每一年，吾冬日虚弱，夏月奔流，没有终途。如果不是他们每年都要将
