EventId	NewsId	Title	Desc
0	0	标题	内容
6	1	四月份充值促销活动！	<color=red>四月份充值促销活动隆重开启！<enter><color><color=green><enter><color>    <color=green>活动时间：2009年4月21日维护后~~2009年4月30日24点<enter><color>    <color=green>活动内容：<color><enter>    在活动期间，玩家当月累计充值达到不同数额可以获得不同优惠奖励，具体如下：<enter>    以<color=yellow>50元<color>充值额度为单位，每次充值达50元都能获得不同程度的绑金奖励，达<color=yellow>500元<color>更能获得<color=yellow>中级祈福令或9级玄晶<color>的奖励。<enter>    <color=green>一重奖励：<color>充值达第一个50元，获得15000绑金奖励！<enter>    <color=green>二重奖励：<color>充值达第二到第四个50元（100到200元），<color=yellow>每50元<color>奖励5000绑金！<enter>    <color=green>三重奖励：<color>充值达第五个50元以上（250元以上），每50元奖励1000绑金；<enter>    <color=green>四重奖励：<color>充值达500元，额外奖励3个中级祈福令或1个9玄<color=yellow>（二选一）<color>。<enter><enter>    也就是说：当你本月累计充值达<color=yellow>500元<color>，可以领取以上所有奖励，包括：<color=yellow>36000绑金及3个中级祈福令或1个9玄。<color>继续充值依然可以获得每50元1000绑金的奖励。<color=yellow><enter><color><enter>注：不足50元部分累积到50元就可以领奖，领奖前必须激活角色的领奖资格，且每个账号下只有1个角色可以激活资格！
8	1	劳动节活动开启！	<color=red>五一劳动节活动开启！<color><enter><enter><color=green>活动时间：2009年4月28日维护后~~2009年5月4日24点<enter><color><enter>    现在是劳动者的节日，辛苦一年，老百姓都需要放松下，但是江湖上的江洋大盗长期对他们的生活进行骚扰，节日时节更是嚣张，许多老百姓在这段时间受到侵害。身怀绝技的你是不是应该做点什么呢？<enter>    <color=green>活动一：强化费用降低优惠<color><enter>    龙五太爷为了表扬你这一年来的辛苦劳动，特联系冶炼大师赠送大家强化费用降低的优惠。<enter>    活动开始后，玩家去<color=yellow>新手村龙五太爷<color>处可领取强化费用降低20%的优惠效果，持续时间<color=yellow>1周<color>，每人只有<color=yellow>1次<color>机会，过时不候哦！<enter>    <color=green>活动二：严惩江洋大盗<color><enter>    当此节日时节，江湖上的江洋大盗到处扰民，龙五太爷很是头疼，希望你能帮助惩治一些，让平民老百姓过一个快乐的节日。<enter>    活动开始后，玩家每完成<color=yellow>6次<color>江湖通缉任务就可以在<color=yellow>龙五太爷<color>处领取一定绑银奖励，绑银数量与玩家等级相关，共可以完成<color=yellow>5次<color>。<enter>    比如：一位<color=yellow>100多级<color>的玩家，则每次可得到<color=yellow>20万绑银<color>，完成<color=yellow>5次<color>共可获得<color=yellow>100万<color>绑银！<enter>
9	1	五月充值优惠活动开启！	<color=red>五月充值优惠活动开启！<enter><color><enter>    <color=green>活动时间：2009年5月5日维护后~~2009年5月18日24点<enter><color><enter>    <color=green>活动内容：<enter><color>    劳动节刚刚结束，<color=yellow>礼官<color>又向广大玩家送厚礼了！<enter>    活动期间，只要你本月累计充值达到<color=yellow>15元<color>就可以到礼官处领取<color=yellow>金贝壳6个<color>，如果本月累计充值达到<color=yellow>48元<color>，还能再领取<color=yellow>金贝壳14个（共20个）<color>！活动结束还没领取的话，视为自动放弃。<enter>    金贝壳可是参加<color=yellow>百宝箱活动<color>的必需道具哦，奖励多多，心动就赶快行动吧！<enter>        注：需要角色等级达到<color=yellow>60级<color>！每个账号下只有一个角色可以参加活动！
10	1	端午充值消费大优惠！	<color=red>端午节充值消费大优惠！<color><enter><enter>　　端午佳节来临，剑侠世界隆重推出充值消费优惠活动，恭祝大家节日愉快。<enter>　　<color=green>活动时间：2009年5月26日维护后~~2009年5月31日24点<enter><color>　　<enter>　　<color=green>活动一：充值送大礼<enter><color>　　活动期间，当月累积充值达到<color=yellow>150元<color>可在礼官处领取<color=yellow>9玄<color>一个，若当月累计充值达到<color=yellow>500元<color>，更可以额外领取<color=yellow>3个中级祈福令牌<color>。奖励必须在<color=yellow>31日24点<color>前领取，否则将视为自动放弃。<enter>　　注：领取前需要<color=yellow>激活<color>角色领奖资格，每个账号下只有<color=yellow>1个角色<color>可以领取奖励。<enter>　　<color=green>活动二：金币消费返绑金<color><enter>　　活动期间，玩家只要在奇珍阁消费金币每次达到<color=yellow>500金<color>就能马上<color=yellow>自动<color>获得<color=yellow>500绑金<color>的奖励，当消费到<color=yellow>15000金币<color>后，每消费500金返还<color=yellow>100绑金<color>。但是能够获取返还的金币数，最多不超过当月累计的<color=yellow>最大充值金币数<color>。<enter>    <color=red>例如：<color>你本月充值<color=yellow>20000<color>金币，那么最多获得<color=yellow>（15000+1000）<color>绑金，后面的消费就不能获得返还了，除非继续充值才可获得奖励绑金。<enter>　　注：不足500金的部分会累计下去，直到够500金就会奖励绑金，不过务必在31日24点前，否则就得不到绑金了。
11	1	【端午节】龙舟赛开启！	<color=red>【端午节】龙舟赛开启！<color><enter><enter>   <color=green> 活动时间：2009年5月26日维护后——2009年6月26日0点<enter><color>    <color=green>活动介绍：<color><enter>    活动期间，<color=yellow>60级以上并加入门派<color>的玩家可以去各<color=yellow>新手村秦洼<color>处报名参加龙舟比赛，每天可以自动获得<color=yellow>2次<color>参加机会，可以累计至<color=yellow>14次<color>。若需要额外的比赛次数则需要用<color=yellow>“葫芦香溪粽”<color>去秦洼处换取。<enter>    活动每天开启时间为<color=yellow>10点至23点<color>，每15分钟开启一场，4分30秒报名时间，玩家报名时不能佩戴面具，身上必须<color=yellow>拥有且只能拥有1只改造过的龙舟<color>，成功报名后会被传送到准备场。报名时间结束后玩家会被变身为龙舟的外形传送到比赛场。<enter>    比赛期间，赛道内会刷出各种漂浮物，点击会获得技能，道具，甚至高级玄晶，同时有一种叫做<color=yellow>天罚<color>的机关需要特别注意，它会对当前<color=yellow>未完成<color>比赛的<color=yellow>前3名<color>玩家造成影响，排名越靠前越容易被击中（包括自己）。<enter>    比赛结束后，所有玩家按排名都能获得不同程度的奖励，请找秦洼领取！前5名可以获得<color=yellow>宝箱<color>，可能得到高级玄晶，甚至吃了可以获得<color=yellow>技能或潜能点<color>的<color=yellow>粽子<color>。<enter>    在整个活动结束后，更有大奖等着大家，赶快来参加比赛吧！<enter>    <color=yellow>详情请查阅帮助锦囊（F12）“最新活动”栏！<color>
12	1	《剑侠世界》周年庆活动开启！	<color=red>《剑侠世界》周年庆！<enter><color>    《剑侠世界》已成功运营足足一年了，在这一段时间，我们的成功离不开广大玩家的支持，在这美好的时刻，我们特推出周年庆活动，答谢广大玩家。<enter><enter>    <color=green>活动时间：2009年6月5日维护后~~2009年6月18日24点<color><enter><enter>详细活动如下：<enter><color=green>1.礼官送礼<color><enter>    <color=yellow>活动条件：<color>当月累计充值达到<color=yellow>50元<color>，角色<color=yellow>激活<color>参加活动资格。<enter>    <color=green>（1）．周年庆典包：<color><enter>    活动期间，满足条件的玩家可到<color=yellow>礼官<color>处领取<color=yellow>周年庆典包1个<color>。打开能获得<color=yellow>高级玄晶<color>，<color=yellow>端午节粽子<color>，<color=yellow>威望令牌<color>，<color=yellow>秘境地图<color>甚至<color=yellow>酒箱<color>等道具，奖励丰厚不可错过。<enter>    <color=green>（2）．强化费用降低<color><enter>    <color=yellow>礼官<color>再次要求冶炼大师降低强化费用。<enter>    活动期间，满足条件的玩家可以到礼官处领取<color=yellow>强化费用降低20%<color>的凭证，持续时间<color=yellow>5*24小时<color>，从领取之时算起。<enter><enter><color=green>2.烟花周年庆<color><enter>    活动期间，击败怪物会掉落<color=yellow>周年庆典烟花<color>，玩家使用后能获得奖励，每个烟花有使用次数限制，你可以将其赠送给你的好友使用。<enter><enter><color=green>3．家族旗子经验多<color><enter>    在活动期间，<color=yellow>家族插旗<color>时，家族成员获得的<color=yellow>经验将翻倍<color>，此时你可以和你的家族成员近距离交流聊天，实在不可错过。
13	1	七大福利隆重上线！	    为答谢广大玩家对游戏的热情支持，《剑侠世界》将推出更丰厚的七大福利！<enter><enter><color=green>【福利一】<color><color=yellow>新增！<color><enter>    新手礼包：福利版推出后，所有新玩家可以领取一个新手礼包，每到一定等级均可从新手礼包中获得一定数量的金钱级道具奖励，总价值100RMB+；<enter><color=green>【福利二】<color><color=yellow>新增！<color><enter>    工资领取：符合一定江湖威望条件的玩家，可以每月领取最多价值500RMB的绑定金币，详细说明请查阅“最新活动”的相关内容；<enter><color=green>【福利三】<color><color=yellow>新增！<color><enter>    免费药品：玩家除了可以领取免费的宋金军需和领土军需之外，每天还可以领取额外的免费逍遥谷药品；<enter><color=green>【福利四】<color><color=yellow>提高！<color><enter>    威望换银两：符合一定江湖威望条件的玩家（每个服务器最少5000人），可以每周用12W绑定的银两换取<color=yellow>18W<color>不绑定的银两；<enter><color=green>【福利五】<color><color=yellow>提高！<color><enter>    推荐服：玩家如果选择进入推荐服务器游戏，在达到一定等级后可获得总计100RMB的绑定金币及绑定银两奖励；<enter><color=green>【福利六】<color><color=yellow>提高！<color><enter>    黄金福袋：玩家每天打怪或参加各个系统可以获得黄金福袋，打开黄金福袋可以随机获得经验、绑金金币和绑定银两的奖励；<enter>    现在黄金福袋奖励将进一步提升。以每天开20个福袋，1个月30天计，每个月通过黄金福袋可以平均获得价值300RMB的绑定金币和价值100RMB的绑定银两以及数量可观的经验；<enter><color=green>【福利七】<color><color=yellow>提高！<color><enter>    福利精活：符合一定江湖威望条件的玩家（每个服务器江湖威望前5000名），可以每天以4折的价格购买5个精气散（小）和5个活气散（小）；<enter><enter>    在各<color=yellow>新手村和城市的礼官<color>处，可以了解当前可享受的各项福利，更多的帮助信息请查阅F12帮助锦囊的“详细帮助”。
14	1	武林第一美女海选开幕！	<color=red>武林第一美女海选开幕！<color><enter><enter>    《剑侠世界》武林第一美女海选活动正式开始咯！<enter>    <color=green>海选对象：<color>所有《剑侠世界》女玩家均有机会参与海选，获得神秘奖励。<enter>    <color=green>海选流程：<color>大致可分为报名，预赛，决赛，颁奖4个阶段。<enter>    <color=green>1.报名阶段：<color>2月28日~~3月11日<enter>    女玩家报名，想要入围决赛的女玩家上传个人真实信息的阶段！<enter>    <link=url:美女选举上传照片请点这里！,官方网址,http://mm2012.jxsj.xoyo.com/belle2012/><enter>    <color=green>2．预赛阶段：<color>3月5日~~3月16日<enter>    投票阶段，每个服务器同时展开。将决出<color=yellow>前20名<color>女玩家，同时选出最多<color=yellow>10名<color>入围决赛的选手，获得不同的神秘大奖。<enter>    <color=green>3.决赛阶段：<color>3月19日~~3月30日24点<enter>    最终阶段，全区全服入围选手参加，决出<color=yellow>武林十大美女<color>及<color=yellow>武林第一美女<color>，获得超级大奖<color=red>施华洛世奇限量版项链[海洋之心]<color><enter>    <color=yellow>详情可询帮助锦囊“最新活动”栏，或访问官网相应专题了解<color>
15	1	《剑侠世界》庆新版公测大回馈！	    《剑侠世界》新版就要来临了，在这个快乐的日子里，我们隆重推出充值大回馈活动，开开心心迎接新版到来。<enter><enter><color=green>活动时间：<color><color=red>2009年6月23日维护后~~2009年6月30日24点<enter><color><enter><color=green>活动一：充值送大礼<color><enter>    在活动期间，玩家当月累计充值达到不同数额可以获得不同优惠奖励，具体如下：<enter>    以<color=yellow>50元<color>充值额度为单位，每次充值达50元都能获得不同程度的绑金奖励，达<color=yellow>588元<color>更能获得中级祈福令或高级玄晶，甚至<color=yellow>辅修门派转换道具<color>的奖励。<enter>    <color=yellow>一重奖励：<color>充值达第一个50元，获得5000绑金+150万绑银+750个绑定五行魂石！<enter>    <color=yellow>二重奖励：<color>充值达第二到第四个50元（100到200元），每50元奖励5000绑金！<enter>    <color=yellow>三重奖励：<color>充值达第五个50元以上（250元以上），每50元奖励1000绑金；<enter>    <color=yellow>四重奖励：<color>充值达<color=yellow>588元<color>，额外奖励3个<color=yellow>中级祈福令<color>，或<color=yellow>9玄<color>1个，1次<color=yellow>辅修门派转换机会<color><color=red>（三选一）<color>。<enter>    也就是说：当你本月累计充值达588元，可以领取以上所有奖励，继续充值依然可以获得每50元1000绑金的奖励。<enter>    注：不足50元部分累积到50元就可以领奖，领奖前必须激活角色的领奖资格，且每个账号下只有1个角色可以激活资格！<enter><enter><color=green>活动二：用金条奖绑银，帮会银锭奖绑金<color><enter>    活动期间，玩家成功使用<color=yellow>金条<color>（包括大和小）可以获得<color=yellow>绑银<color>奖励，同时使用<color=yellow>帮会银锭<color>也会奖励绑金。如下：<enter>    <color=yellow>使用金条：<color>奖励绑银100000两；<enter>    <color=yellow>使用金条（大）：<color>奖励绑银1000000两；<enter>    使用<color=yellow>帮会银锭：<color>奖励200绑金；<enter>    使用<color=yellow>帮会银锭（大）：<color>奖励2000绑金。
