EventId	NewsId	Title	Desc
0	0	标题	内容
6	1	【充值促销】四月份充值促销活动！	<color=red>四月份充值促销活动隆重开启！<enter><color><color=green><enter><color>    <color=green>活动时间：2009年4月21日维护后~~2009年4月30日24点<enter><color><enter>    <color=green>活动内容：<color><enter>    在活动期间，玩家当月累计充值达到不同数额可以获得不同优惠奖励，具体如下：<enter>    以<color=yellow>50元<color>充值额度为单位，每次充值达50元都能获得不同程度的绑金奖励，达<color=yellow>500元<color>更能获得<color=yellow>中级祈福令或9级玄晶<color>的奖励。<enter>    <color=green>一重奖励：<color>充值达第一个50元，获得15000绑金奖励！<enter>    <color=green>二重奖励：<color>充值达第二到第四个50元（100到200元），<color=yellow>每50元<color>奖励5000绑金！<enter>    <color=green>三重奖励：<color>充值达第五个50元以上（250元以上），每50元奖励1000绑金；<enter>    <color=green>四重奖励：<color>充值达500元，额外奖励3个中级祈福令或1个9玄<color=yellow>（二选一）<color>。<enter><enter>    也就是说：当你本月累计充值达<color=yellow>500元<color>，可以领取以上所有奖励，包括：<color=yellow>36000绑金及3个中级祈福令或1个9玄。<color>继续充值依然可以获得每50元1000绑金的奖励。<color=yellow><enter><color><enter>注：不足50元部分累积到50元就可以领奖，领奖前必须激活角色的领奖资格，且每个账号下只有1个角色可以激活资格！
11	1	【端午节】龙舟赛介绍	　　<color=yellow>【端午节】龙舟赛介绍<color><enter>　　端午节来临，寂寞划水寨寨主<color=yellow>秦洼<color>邀请大家参加其举办的龙舟比赛，您可以在各<color=yellow>新手村<color>找到他，他一般喜欢徘徊在比较幽静的地方，形单影只。
11	2	【端午节】参加龙舟赛	<color=yellow>【端午节】参加龙舟赛<color><enter>　　<color=green>活动时间：<color>2009年5月26日维护后~~2009年6月26日0点<enter>　　活动开启时间为每天的10点——24点，每15分钟开启一场，10点为第一场，23：45为每天最后一场，报名时间4分30秒左右。<enter>　　活动开启后，60级以上的玩家可以去各<color=yellow>新手村找秦洼<color>报名参加，每个玩家每天有2次机会。参加比赛必须有经过<color=yellow>改造的专属龙舟<color>，龙舟可以通过生活技能制作或完成<color=yellow>商会任务<color>获得秦洼赠送的龙舟。
11	3	【端午节】决胜划水寨	<color=yellow>【端午节】决胜划水寨<color><enter>　　比赛开始后，玩家会被变身为自己龙舟的外形出现在赛道内，龙舟的技能会出现在左键及<color=yellow>公共技能面板<color>中，尽快拖曳到快捷栏来使用吧。同时赛道内开始刷出各种漂浮物，玩家点击的话会有意外的惊喜，当然河岸边也有机关，会对参赛选手造成影响。赛道内的小沙洲或礁石及岸边的栅栏附近，也不能撞到否则会产生眩晕效果。详细解释如下：<enter>　　<color=yellow>秘印：<color>玩家点击可以获得<color=yellow>强力技能<color>，以利于比赛。<enter>　　<color=yellow>巨棕：<color>可以获得<color=yellow>技能<color>，龙舟制作<color=yellow>材料<color>，甚至<color=yellow>高级玄晶<color>，当然如果运气不好也可能遭受<color=yellow>异常状态<color>。<enter>　　<color=yellow>天罚：<color>玩家点击会对赛场内<color=yellow>未完成比赛的前3名<color>玩家之一造成强力的负面效果影响，排名越靠前越容易受影响。如果使用者排名前3的话，也可能对自己释放哦。<enter>　　<color=yellow>龙舟赛机关：<color>放在岸边定时释放技能的机关，会对龙舟造成负面影响，需要远离它。<enter>　　<color=yellow>河道内礁石：<color>龙舟撞到其会被眩晕一段时间。<enter>　　<color=yellow>河岸的栅栏附近：<color>龙舟撞到会眩晕一段时间。
11	4	【端午节】丰厚奖励	<color=yellow>【端午节】丰厚奖励<color><enter>　　玩家在比赛中采集巨棕可以获得龙舟制作材料，高级玄晶等。比赛完成后，能获得大量经验及荣誉值，<color=yellow>前5名<color>玩家更可以获得<color=yellow>宝箱奖励<color>。打开宝箱可能获得高级玄晶，各种<color=yellow>神奇粽子<color>以增加角色经验，潜能点或技能等等，还可能获得一种特殊粽子：<color=yellow>葫芦香溪粽<color>，将其交给秦洼可以获得额外比赛次数。<enter>　　<color=yellow>活动结束后，按荣誉排名更有神秘奖励等着大家！<color>
11	5	【端午节】龙舟赛注意事项	<color=yellow>【端午节】龙舟赛注意事项<color><enter>　　参加龙舟赛需要注意以下问题：<enter>　　<color=yellow>1.完成商会任务<color>后可以到秦洼处领取一个免费龙舟，龙舟<color=yellow>材料<color>秦洼会贩卖同时采集比赛中的<color=yellow>巨棕<color>也可以获得。<enter>　　<color=yellow>2.<color>参加比赛时，不能佩戴面具，龙舟必须经过改造（改造后即绑定），改造需要花费绑银。比赛报名时，身上<color=yellow>只允许有一只龙舟<color>。<enter>　　<color=yellow>3.<color>赛道内有箭头，按照箭头指示方向前行，小心迷路。<enter>　　<color=yellow>4.<color>到达终点后，经过<color=yellow>30秒<color>会自动离开比赛现场。
13	1	【福利工资领取】	    每周符合一定威望条件的角色，可以在各新手村和城市的<color=yellow>礼官<color>处，如下表所示领取定额工资。<color=yellow>领取工资时，需要扣除一定的江湖威望值。<color><enter><enter><color=green>威望排名   工资数量（每周）   扣除江湖威望 <color><enter><color=yellow>1~100       12000绑定金币        100 <enter>101~300     6000绑定金币         50<enter>301~600     3000绑定金币         30<enter>601~1200    2000绑定金币         20<color>
14	1	【美女海选】活动介绍	《剑侠世界》武林第一美女海选活动正式开始咯！<enter>  <enter>    <color=green>【报名条件】：<color><color=yellow>所有《剑侠世界》女玩家<color>均有机会参加。<color=green><enter><color>  <color=green><enter><color>    【海选流程】：报名期：2月28日~3月11日<enter>                  预赛期：3月5日~3月16日<enter>                  决赛期：3月19日~3月30日<enter>                  颁奖期：4月6日~4月16日<color=green><enter><color>    <enter><color=green>    【活动奖励】：<color>绚丽光环、限量面具、尊贵称号、高级玄晶（不绑            定）、<color=yellow>绝版极品属性项链[海洋之心] <color>以及实物大奖施华洛世奇<color=yellow>限量版项链[海洋之心]<color>等你拿！
14	2	【美女海选】报名阶段	<color=yellow>报名阶段：2月28日~~3月11日<color><enter><color=green>【游戏内报名】<color><enter>    此阶段，女玩家可以去<color=yellow>临安海选大使“丁丁”<color>处报名参加美女海选，同时获得“武林第一美女候选人”的称号。这样，你就可以参加初赛，别的玩家也可以给你投票了。<enter><color=green>【官网补充资料】<color><enter>    报名后2小时后可以去官网相应页面<color=yellow>补充个人资料<color>（上传4张本人照片、补充个人资料），以获得<color=yellow>入围决赛<color>的资格，否则是不能参加决赛。<enter><color=green>【美女认证资格】<color><enter>    我们会审核所有在网站上传照片的玩家。如果你上传的4张照片里，在“美女认证照片上传栏”中上传了<color=blue>一张和剑侠世界有关的照片<color>（如手持剑侠世界字样的纸条、在电脑旁和你的角色合照、携带剑侠世界周边等），我们将给予剑侠世界<color=blue>美女认证专享特权<color>（稀有面具、唯美光环、精美认证表示，特殊技能）。<enter>    <link=url:美女选举上传照片,官方网址,http://mm2012.jxsj.xoyo.com/belle2012/>
