SkillName	Property	SkillId	SkillType	SkillForm	StartPosition	Kind	SkillStyle	SkillGenus	ReplaceType	AppendDamageP	ShotNumber	FactionLimit	RouteLimit	SkillIcon	PreCastEffectId	ManCastSnd	FMCastSnd	StateSpecialId	StatePriority	StateTime	IsNoClearOnDeath	StateType	IsAura	LRSkill	NeedShadow	AttackRadius	IgnoreDistance	MslsGenerate	MslsGenerateData	ChildSkillId	ChildSkillLevel	ChildSkillNum	IsMissileSkill	CastActionId	EventSkillLevel	IsMelee	WaitTime	ClientOnly	SkillCostType	CostValue	TimePerCast	TimePerCastOnHorse	IsPhysical	IsDamage	TargetOnly	Relation	IsUseAR	StartSkillId	FlySkillId	FlyEventTime	CollidSkillId	VanishedSkillId	HitSkillId	ReqLevel	MaxLevel	WeaponLimit	HorseLimit	AngerLimit	WeaponSkill	Param1	Param1Memo	Param2	Param2Memo	StopWhenMove	HeelAtParent	RelativePosType	PeaceCanUse	ShowEvent	IsExpSkill	Series	ShowAddition	ClassName	SkillDesc
拳普通攻击	主动外功系攻击	1	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\fist.spr				0	0	0	0	0	0	0	1	60	0	0	0	1	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	11	0	0	1	0		0					0	0	0	0	1	normalattack2	用拳攻击的入门招式。
剑普通攻击	主动外功系攻击	2	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\sword.spr				0	0	0			0	0	1	80	0	0	0	2	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	12	0	0	1	0		0					0	0	0	0	1	normalattack2	用剑攻击的入门招式。
刀普通攻击	主动外功系攻击	3	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\blade.spr				0	0	0			0	0	1	80	0	0	0	3	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	13	0	0	1	0		0					0	0	0	0	1	normalattack2	用刀攻击的入门招式。
棍普通攻击	主动外功系攻击	4	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\stick.spr				0	0	0			0	0	1	140	0	0	0	4	-1	1	1	9	0	1	6	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	14	0	0	1	0		0					0	0	0	0	1	normalattack2	用棍攻击的入门招式。
枪普通攻击	主动外功系攻击	5	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\spear.spr				0	0	0			0	0	1	140	0	0	0	5	-1	1	1	9	0	1	6	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	15	0	0	1	0		0					0	0	0	0	1	normalattack2	用枪攻击的入门招式。
锤普通攻击	主动外功系攻击	6	5	1	2		atk_phy_near				-1			\image\icon\fightskill\public\hammer.spr				0	0	0			0	0	1	80	0	0	0	6	-1	1	1	9	0	1	1	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	16	0	0	1	0		0					0	0	0	0	1	normalattack2	用锤攻击的入门招式。
飞镖普通攻击	主动外功系攻击	7	5	0	1		atk_phy_far				-1			\image\icon\fightskill\public\dart.spr				0	0	0			0	0	0	520	0	0	0	7	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	21	0	0	1	0		0					0	0	0	0	1	normalattack2	用飞镖攻击的入门招式。
飞刀普通攻击	主动外功系攻击	8	5	0	1		atk_phy_far				-1			\image\icon\fightskill\public\flyingknife.spr				0	0	0			0	0	0	520	0	0	0	8	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	22	0	0	1	0		0					0	0	0	0	1	normalattack2	用飞刀攻击的入门招式。
袖箭普通攻击	主动外功系攻击	9	5	0	1		atk_phy_far				-1			\image\icon\fightskill\public\arrow.spr				0	0	0			0	0	0	520	0	0	0	9	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	0	0	23	0	0	1	0		0					0	0	0	0	1	normalattack2	用袖箭攻击的入门招式。
轻功	主动战斗辅助	10	1	2				2			-1			\image\icon\fightskill\public\jump.spr				0	0	0			0	2	1	1000	0	0	0	0	-1	0	0	13	-1	0	0	0	1	0	0	0	0	0	0		0	13	0	0	0	0	0	1	20	0	1	0	0	0		0					0	1	1	0	1	jump	点击目的地，腾空跃起，跳到该处。
骑马		11	1	9							-1			\image\icon\fightskill\tianwang\yumashu.spr				0	0	0			0	2	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					1	0	0	0	1	empty	切换骑马和下马状态。
内功系普通攻击	主动内功系攻击	12	5	1	2		atk_mag_far				-1			\image\icon\fightskill\public\fist.spr				0	0	0	0	0	0	0	1	60	0	0	0	1	-1	1	1	9	0	1	0	0	0	0	0	0	0	1	0	enemy	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					0	0	0	0	1	normalattack	显示内功系基础攻击力用。
疲惫		13	2								-1			\image\icon\fightskill\book\wanxiangshengong.spr				440	0	0			0	2	0	0	0	0	0	0	-1	1	0	11	-1	0	0	0	0	0	0	0	1	0	0	self	0	0	0	0	0	0	0	0	10	0	0	0	0	0		0					0	0	0	0	1	jumpaddcost	轻功消耗增加
五转心法	特殊攻击辅助	14	2								-1			\image\icon\fightskill\emei\yiyezhiqiu.spr				481	0	0	1	1	0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	0	0	0	self	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					1	0	0	0	1	changeseriesdammage	将造成的部分普攻伤害转化为其他五行伤害。根据对方的抗性不同，可能会增加或减少伤害，请根据场合开关。
遗踪何在		15	5	4	2	4					-1			\image\icon\fightskill\public\duixueji.spr				0	0	0			0	0	1	500	0	4	9	405	-1	1	1	9	0	1	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0		74					0	0	0	0	1	empty	若万千飞絮飘落，不绝终夜，当可银装素裹，天地新颜，然片雪势微，悄然散落，明日遗踪何在？
年兽活动_鞭炮攻击		16	5	1	2						-1			\image\icon\fightskill\wudu\dushazhang.spr				0	0	0			0	0	0	520	0	0	0	407	-1	1	1	11	0	0	0	0	0	0	0	0	0	1	0	self	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0					1	0	0	2	1	newyearbianpao	年兽鞭炮攻击
伏魔刀法	主动外功系攻击	21	5	0	1		atk_phy_far	1			1			\image\icon\fightskill\shaolin\fumodaofa.spr	151			0	0	0			0	0	0	520	0	0	0	21	-1	1	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	13	0	0	0	0		0					0	0	0	1	1	fumodaofa	少林初级刀法，攻击单人的招式。
少林刀法	被动辅助	22	3					1			-1			\image\icon\fightskill\shaolin\shaolindaofa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	shaolindaofa	少林入门刀法，提高使用刀类武器攻击的能力。
易筋经	被动辅助	23	3					1			-1			\image\icon\fightskill\shaolin\yijinjing.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	30	10	0	0	0	0	0		0					0	0	0	0	1	yijinjing	少林内功绝技，提高生命值上限。
破戒刀法	主动外功系攻击	24	5	0	1		atk_phy_far	1			2			\image\icon\fightskill\shaolin\pojiedaofa.spr	152			0	0	0			0	0	0	520	0	2	6	22	-1	2	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	13	0	0	0	0		0					0	0	0	1	1	pojiedaofa	少林中级刀法，施展出两次攻击。
阿罗汉神功	光环攻击辅助	25	4	1	1		aura	1			1			\image\icon\fightskill\shaolin\aluohanshengong.spr				15	0	45			1	2	0	0	0	0	0	146	-1	1	1	14	-1	0	0	0	0	0	0	0	0	0	0	self	0	253	0	0	0	0	0	40	20	0	0	0	0	0		0					1	1	0	0	1	aluohanshengong	少林中级内功，使自身和光环范围内的队友反弹受到的伤害。
菩提心法	主动防御辅助	26	2				buff	1			-1			\image\icon\fightskill\shaolin\putixinfa.spr	153			16	0	0			0	2	0	0	0	0	0	0	-1	0	0	11	0	0	0	0	0	0	0	0	1	0	0	self	0	0	0	0	0	0	0	70	20	0	0	0	0	0		0					0	0	0	0	1	putixinfa	少林中级心法，缩短自身受伤动作、虚弱、迟缓、眩晕、定身的时间。
天竺绝刀	主动外功系攻击	27	5	0	1		atk_phy_far	1			2			\image\icon\fightskill\shaolin\wuxiangzhan.spr	154			0	0	0			0	0	0	520	0	2	6	24	-1	2	1	9	0	0	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	90	20	13	0	0	0	0		0					0	0	0	1	1	tianzhujuedao	少林高级刀法，两次攻击一条直线上小范围的对手。
混元一气	被动辅助	28	3					1			-1			\image\icon\fightskill\shaolin\hunyuanyiqi.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	80	20	0	0	0	0	0		0					0	0	0	0	1	hunyuanyiqi	少林镇派绝学，造成攻击效果的几率提高，并提高出招速度。
普渡棍法	主动外功系攻击	29	5	1	2		atk_phy_near	1			1			\image\icon\fightskill\shaolin\pudugunfa.spr	155			0	0	0			0	0	0	140	0	0	0	25	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	10	20	14	1	0	0	0		0					0	0	0	1	1	pudugunfa	少林初级棍法，近身攻击单个对手。
少林棍法	被动辅助	30	3					1			-1			\image\icon\fightskill\shaolin\shaolingunfa.spr				0	0	0			0	3	0	0	0	0	0	0	-1	0	0	14	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	20	10	0	0	0	0	0		0					0	0	0	0	1	shaolingunfa	少林入门棍法，提高使用棍类武器攻击的能力。
狮子吼	主动限制	31	1	5	3			1			-1			\image\icon\fightskill\shaolin\shizihou.spr	157	\audio\fightskill\shaolin\sl_szh_m.wav		0	0	0			0	2	0	330	0	2	6	32	-1	1	0	11	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	30	10	0	1	0	0	0		0					0	0	0	0	1	shizihou	少林中级内功，以深厚内力震慑附近对手，使其定身。
狮子吼子		32	5	1	3		disable	1			-1							0	0	0			0	0	0	0	0	0	0	26	-1	1	1	9	0	0	0	0	0	0	0	0	0	0	0	enemy	0	0	0	0	0	0	0	0	10	0	1	0	0	0		0					0	0	0	0	1	shizihou	
伏魔棍法	主动外功系攻击	33	5	1	3		atk_phy_near	1			1			\image\icon\fightskill\shaolin\fumogunfa.spr	156	\audio\fightskill\shaolin\sl_fmgf_m.wav		0	0	0			0	0	0	140	0	0	0	27	-1	1	1	9	0	1	0	0	0	0	0	0	1	1	0	enemy	1	0	0	0	0	0	0	50	20	14	1	0	0	64		0					0	0	0	1	1	fumogunfa	少林中级棍法，攻击身前小范围的对手。
