Name	Kind	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	Stuff1Detail	Stuff1Particular	Stuff2Detail	Stuff2Particular	Str1Times	StrMA1Name	StrMA1PA1Min	StrMA1PA1Max	StrMA1PA2Min	StrMA1PA2Max	StrMA1PA3Min	StrMA1PA3Max	Str2Times	StrMA2Name	StrMA2PA1Min	StrMA2PA1Max	StrMA2PA2Min	StrMA2PA2Max	StrMA2PA3Min	StrMA2PA3Max	UnLockInterval
铜护腕	铜护腕	1	1	10	1	1	\image\item\equip\cuff\m_101_s.spr	\image\item\equip\cuff\m_101.spr	23			-1	1	1			2	0	equip			damage_series_resist	1	5	-1	-1	-1	-1																																																																5	3	8	0									4	lifereplenish_v	20	20																																													1	2																			
北山护腕	北山护腕	1	1	10	1	2	\image\item\equip\cuff\m_102_s.spr	\image\item\equip\cuff\m_102.spr	23			-1	1	1			2	0	equip			damage_series_resist	6	10	-1	-1	-1	-1																																																																5	13	8	0									4	lifereplenish_v	20	20																																													1	2																			
棘墙护腕	棘墙护腕	1	1	10	1	3	\image\item\equip\cuff\m_103_s.spr	\image\item\equip\cuff\m_103.spr	23			-1	1	1			2	0	equip			damage_series_resist	11	15	-1	-1	-1	-1																																																																5	23	8	0									4	lifereplenish_v	20	20																																													1	2																			
苍狼护腕	苍狼护腕	1	1	10	1	4	\image\item\equip\cuff\m_104_s.spr	\image\item\equip\cuff\m_104.spr	23			-1	1	1			2	0	equip			damage_series_resist	16	20	-1	-1	-1	-1																																																																5	33	8	0									4	lifereplenish_v	20	20					8	lifemax_p	5	5																																					1	2																			
黑犀护腕	黑犀护腕	1	1	10	1	5	\image\item\equip\cuff\m_105_s.spr	\image\item\equip\cuff\m_105.spr	23			-1	1	1			2	0	equip			damage_series_resist	21	25	-1	-1	-1	-1																																																																5	43	8	0									4	lifereplenish_v	20	20					8	lifemax_p	5	5																																					1	2																			
金鳞护腕	金鳞护腕	1	1	10	1	6	\image\item\equip\cuff\m_106_s.spr	\image\item\equip\cuff\m_106.spr	23			-1	1	1			2	0	equip			damage_series_resist	26	30	-1	-1	-1	-1																																																																5	53	8	0									4	lifereplenish_v	20	20					8	lifemax_p	5	5																																					1	2																			
射日护腕	射日护腕	1	1	10	1	7	\image\item\equip\cuff\m_107_s.spr	\image\item\equip\cuff\m_107.spr	23			-1	1	1			2	0	equip			damage_series_resist	31	35	-1	-1	-1	-1																																																																5	63	8	0									4	lifereplenish_v	20	20					8	lifemax_p	5	5					10	lifemax_v	80	80					12	state_stun_resisttime	160	160																					1	2																			
武神护腕	武神护腕	1	1	10	1	8	\image\item\equip\cuff\m_108_s.spr	\image\item\equip\cuff\m_108.spr	23			-1	1	1			2	0	equip			damage_series_resist	36	40	-1	-1	-1	-1																																																																5	73	8	0									4	lifereplenish_v	22	22					8	lifemax_p	5	5					10	lifemax_v	90	90					12	state_stun_resisttime	170	170																					1	2																			
火麟护腕	火麟护腕	1	1	10	1	9	\image\item\equip\cuff\m_109_s.spr	\image\item\equip\cuff\m_109.spr	23			-1	1	1			2	0	equip			damage_series_resist	41	45	-1	-1	-1	-1																																																																5	83	8	0									4	lifereplenish_v	24	24					8	lifemax_p	6	6					10	lifemax_v	100	100					12	state_stun_resisttime	180	180					14	state_stun_resistrate	120	120													1	2																			
天蚕护腕	天蚕护腕	1	1	10	1	10	\image\item\equip\cuff\m_110_s.spr	\image\item\equip\cuff\m_110.spr	23			-1	1	1			2	0	equip			damage_series_resist	46	50	-1	-1	-1	-1																																																																5	93	8	0									4	lifereplenish_v	26	26					8	lifemax_p	7	7					10	lifemax_v	120	120					12	state_stun_resisttime	200	200					14	state_stun_resistrate	150	150					16	damage_light_resist	175	175					1	2			15	damage_light_resist	80	80													
手镯	手镯	1	1	10	2	1	\image\item\equip\cuff\f_201_s.spr	\image\item\equip\cuff\f_201.spr	24			-1	1	1			2	0	equip			damage_series_resist	1	5	-1	-1	-1	-1																																																																5	3	8	1									4	lifereplenish_v	20	20																																													1	2																			
玉叶手镯	玉叶手镯	1	1	10	2	2	\image\item\equip\cuff\f_202_s.spr	\image\item\equip\cuff\f_202.spr	24			-1	1	1			2	0	equip			damage_series_resist	6	10	-1	-1	-1	-1																																																																5	13	8	1									4	lifereplenish_v	20	20																																													1	2																			
玲珑手镯	玲珑手镯	1	1	10	2	3	\image\item\equip\cuff\f_203_s.spr	\image\item\equip\cuff\f_203.spr	24			-1	1	1			2	0	equip			damage_series_resist	11	15	-1	-1	-1	-1																																																																5	23	8	1									4	lifereplenish_v	20	20																																													1	2																			
水鸟手镯	水鸟手镯	1	1	10	2	4	\image\item\equip\cuff\f_204_s.spr	\image\item\equip\cuff\f_204.spr	24			-1	1	1			2	0	equip			damage_series_resist	16	20	-1	-1	-1	-1																																																																5	33	8	1									4	lifereplenish_v	20	20					8	lifemax_p	5	5																																					1	2																			
鸳鸯手镯	鸳鸯手镯	1	1	10	2	5	\image\item\equip\cuff\f_205_s.spr	\image\item\equip\cuff\f_205.spr	24			-1	1	1			2	0	equip			damage_series_resist	21	25	-1	-1	-1	-1																																																																5	43	8	1									4	lifereplenish_v	20	20					8	lifemax_p	5	5																																					1	2																			
鸿鹄手镯	鸿鹄手镯	1	1	10	2	6	\image\item\equip\cuff\f_206_s.spr	\image\item\equip\cuff\f_206.spr	24			-1	1	1			2	0	equip			damage_series_resist	26	30	-1	-1	-1	-1																																																																5	53	8	1									4	lifereplenish_v	20	20					8	lifemax_p	5	5																																					1	2																			
傲霜之环	傲霜之环	1	1	10	2	7	\image\item\equip\cuff\f_207_s.spr	\image\item\equip\cuff\f_207.spr	24			-1	1	1			2	0	equip			damage_series_resist	31	35	-1	-1	-1	-1																																																																5	63	8	1									4	lifereplenish_v	20	20					8	lifemax_p	5	5					10	lifemax_v	80	80					12	state_stun_resisttime	160	160																					1	2																			
闭月之环	闭月之环	1	1	10	2	8	\image\item\equip\cuff\f_208_s.spr	\image\item\equip\cuff\f_208.spr	24			-1	1	1			2	0	equip			damage_series_resist	36	40	-1	-1	-1	-1																																																																5	73	8	1									4	lifereplenish_v	22	22					8	lifemax_p	5	5					10	lifemax_v	90	90					12	state_stun_resisttime	170	170																					1	2																			
