Name	Kind	QualityPrefix	Category	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	ItemValue	MakeCost	RefineLevel	BindType	Valuable	ClassName	ResMale	ResFemale	BasicProp1Type	BasicProp1PA1Min	BasicProp1PA1Max	BasicProp1PA2Min	BasicProp1PA2Max	BasicProp1PA3Min	BasicProp1PA3Max	BasicProp2Type	BasicProp2PA1Min	BasicProp2PA1Max	BasicProp2PA2Min	BasicProp2PA2Max	BasicProp2PA3Min	BasicProp2PA3Max	BasicProp3Type	BasicProp3PA1Min	BasicProp3PA1Max	BasicProp3PA2Min	BasicProp3PA2Max	BasicProp3PA3Min	BasicProp3PA3Max	BasicProp4Type	BasicProp4PA1Min	BasicProp4PA1Max	BasicProp4PA2Min	BasicProp4PA2Max	BasicProp4PA3Min	BasicProp4PA3Max	BasicProp5Type	BasicProp5PA1Min	BasicProp5PA1Max	BasicProp5PA2Min	BasicProp5PA2Max	BasicProp5PA3Min	BasicProp5PA3Max	BasicProp6Type	BasicProp6PA1Min	BasicProp6PA1Max	BasicProp6PA2Min	BasicProp6PA2Max	BasicProp6PA3Min	BasicProp6PA3Max	BasicProp7Type	BasicProp7PA1Min	BasicProp7PA1Max	BasicProp7PA2Min	BasicProp7PA2Max	BasicProp7PA3Min	BasicProp7PA3Max	BasicProp8Type	BasicProp8PA1Min	BasicProp8PA1Max	BasicProp8PA2Min	BasicProp8PA2Max	BasicProp8PA3Min	BasicProp8PA3Max	BasicProp9Type	BasicProp9PA1Min	BasicProp9PA1Max	BasicProp9PA2Min	BasicProp9PA2Max	BasicProp9PA3Min	BasicProp9PA3Max	BasicProp10Type	BasicProp10PA1Min	BasicProp10PA1Max	BasicProp10PA2Min	BasicProp10PA2Max	BasicProp10PA3Min	BasicProp10PA3Max	ReqProp1Type	ReqProp1Value	ReqProp2Type	ReqProp2Value	ReqProp3Type	ReqProp3Value	ReqProp4Type	ReqProp4Value	ReqProp5Type	ReqProp5Value	ReqProp6Type	ReqProp6Value	Enh1Times	EnhMA1Name	EnhMA1PA1Min	EnhMA1PA1Max	EnhMA1PA2Min	EnhMA1PA2Max	EnhMA1PA3Min	EnhMA1PA3Max	Enh2Times	EnhMA2Name	EnhMA2PA1Min	EnhMA2PA1Max	EnhMA2PA2Min	EnhMA2PA2Max	EnhMA2PA3Min	EnhMA2PA3Max	Enh3Times	EnhMA3Name	EnhMA3PA1Min	EnhMA3PA1Max	EnhMA3PA2Min	EnhMA3PA2Max	EnhMA3PA3Min	EnhMA3PA3Max	Enh4Times	EnhMA4Name	EnhMA4PA1Min	EnhMA4PA1Max	EnhMA4PA2Min	EnhMA4PA2Max	EnhMA4PA3Min	EnhMA4PA3Max	Enh5Times	EnhMA5Name	EnhMA5PA1Min	EnhMA5PA1Max	EnhMA5PA2Min	EnhMA5PA2Max	EnhMA5PA3Min	EnhMA5PA3Max	Enh6Times	EnhMA6Name	EnhMA6PA1Min	EnhMA6PA1Max	EnhMA6PA2Min	EnhMA6PA2Max	EnhMA6PA3Min	EnhMA6PA3Max	MagicName1	MagicLevel1	MagicName2	MagicLevel2	MagicName3	MagicLevel3	MagicName4	MagicLevel4	MagicName5	MagicLevel5	MagicName6	MagicLevel6	Str1Times	StrMA1Name	StrMA1PA1Min	StrMA1PA1Max	StrMA1PA2Min	StrMA1PA2Max	StrMA1PA3Min	StrMA1PA3Max	Str2Times	StrMA2Name	StrMA2PA1Min	StrMA2PA1Max	StrMA2PA2Min	StrMA2PA2Max	StrMA2PA3Min	StrMA2PA3Max	UnLockInterval	FightPower
铜指环	蓝装_金系所有路线铜指环	3	1	2	4	1	1	\image\item\equip\ring\n_101_s.spr	\image\item\equip\ring\n_101.spr	29			4	100	1			2	0	equip			adddefense_v	3	5	-1	-1	0	0																																																																5	6											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	1																										
侠少之戒	蓝装_金系所有路线侠少之戒	3	1	2	4	2	2	\image\item\equip\ring\n_102_s.spr	\image\item\equip\ring\n_102.spr	29			4	300	1			2	0	equip			adddefense_v	8	10	-1	-1	0	0																																																																5	16											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	2	manareplenish_v	1																								
分水之戒	蓝装_金系所有路线分水之戒	3	1	2	4	3	3	\image\item\equip\ring\n_103_s.spr	\image\item\equip\ring\n_103.spr	29			4	1000	1			2	0	equip			adddefense_v	13	15	-1	-1	0	0																																																																5	26											4	manareplenish_v	15	15																																													lifemax_v	2	manamax_v	2	manareplenish_v	1																								
伏断之戒	蓝装_金系所有路线伏断之戒	3	1	2	4	4	4	\image\item\equip\ring\n_104_s.spr	\image\item\equip\ring\n_104.spr	29			4	2500	1			2	0	equip			adddefense_v	18	20	-1	-1	0	0																																																																5	36											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	2	manamax_v	2	manareplenish_v	2	damage_physics_resist	1																						
破军之戒	蓝装_金系所有路线破军之戒	3	1	2	4	5	5	\image\item\equip\ring\n_105_s.spr	\image\item\equip\ring\n_105.spr	29			4	3500	1			2	0	equip			adddefense_v	23	25	-1	-1	0	0																																																																5	46											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	3	manamax_v	3	manareplenish_v	2	damage_physics_resist	1																						
荒芜之戒	蓝装_金系所有路线荒芜之戒	3	1	2	4	6	6	\image\item\equip\ring\n_106_s.spr	\image\item\equip\ring\n_106.spr	29			4	7000	1	21000		2	0	equip			adddefense_v	28	30	-1	-1	0	0																																																																5	56											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	4	manamax_v	3	manareplenish_v	3	damage_physics_resist	2																						
火府之戒	蓝装_金系所有路线火府之戒	3	1	2	4	7	7	\image\item\equip\ring\n_107_s.spr	\image\item\equip\ring\n_107.spr	29			4	10000	1	36600		2	0	equip			adddefense_v	33	35	-1	-1	0	0																																																																5	66											4	manareplenish_v	15	15					8	adddefense_v	50	50					10	manamax_v	80	80					12	lifereplenish_p	10	10																					lifemax_v	4	manamax_v	4	manareplenish_v	4	damage_physics_resist	2																						
苍穹之戒	蓝装_金系所有路线苍穹之戒	3	1	2	4	8	8	\image\item\equip\ring\n_108_s.spr	\image\item\equip\ring\n_108.spr	29			4	16000	1	60000		2	0	equip			adddefense_v	38	40	-1	-1	0	0																																																																5	76											4	manareplenish_v	16	16					8	adddefense_v	55	55					10	manamax_v	90	90					12	lifereplenish_p	10	10																					lifemax_v	5	manamax_v	4	manareplenish_v	4	damage_physics_resist	3																						
邢天之戒	蓝装_金系所有路线邢天之戒	3	1	2	4	9	9	\image\item\equip\ring\n_109_s.spr	\image\item\equip\ring\n_109.spr	29			4	24000	1	99000		2	0	equip			adddefense_v	43	45	-1	-1	0	0																																																																5	86											4	manareplenish_v	17	17					8	adddefense_v	60	60					10	manamax_v	100	100					12	lifereplenish_p	11	11					14	defencedeadlystrikedamagetrim	15	15													lifemax_v	5	manamax_v	5	manareplenish_v	5	damage_physics_resist	3																						
应龙之戒	蓝装_金系所有路线应龙之戒	3	1	2	4	10	10	\image\item\equip\ring\n_110_s.spr	\image\item\equip\ring\n_110.spr	29			4	45000	1	172500	0	2	0	equip			adddefense_v	48	50	-1	-1	0	0																																																																5	96											4	manareplenish_v	18	18					8	adddefense_v	65	65					10	manamax_v	120	120					12	lifereplenish_p	12	12					14	defencedeadlystrikedamagetrim	20	20					16	damage_all_resist	70	70					lifemax_v	6	manamax_v	6	manareplenish_v	5	damage_physics_resist	4					15	damage_all_resist	32	32														
铜指环	蓝装_木系所有路线铜指环	3	1	2	4	11	1	\image\item\equip\ring\n_101_s.spr	\image\item\equip\ring\n_101.spr	29			1	100	1			2	0	equip			adddefense_v	3	5	-1	-1	0	0																																																																5	6											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	1																										
侠少之戒	蓝装_木系所有路线侠少之戒	3	1	2	4	12	2	\image\item\equip\ring\n_102_s.spr	\image\item\equip\ring\n_102.spr	29			1	300	1			2	0	equip			adddefense_v	8	10	-1	-1	0	0																																																																5	16											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	2	manareplenish_v	1																								
分水之戒	蓝装_木系所有路线分水之戒	3	1	2	4	13	3	\image\item\equip\ring\n_103_s.spr	\image\item\equip\ring\n_103.spr	29			1	1000	1			2	0	equip			adddefense_v	13	15	-1	-1	0	0																																																																5	26											4	manareplenish_v	15	15																																													lifemax_v	2	manamax_v	2	manareplenish_v	1																								
伏断之戒	蓝装_木系所有路线伏断之戒	3	1	2	4	14	4	\image\item\equip\ring\n_104_s.spr	\image\item\equip\ring\n_104.spr	29			1	1500	1			2	0	equip			adddefense_v	18	20	-1	-1	0	0																																																																5	36											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	2	manamax_v	2	manareplenish_v	2	damage_poison_resist	1																						
破军之戒	蓝装_木系所有路线破军之戒	3	1	2	4	15	5	\image\item\equip\ring\n_105_s.spr	\image\item\equip\ring\n_105.spr	29			1	3000	1			2	0	equip			adddefense_v	23	25	-1	-1	0	0																																																																5	46											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	3	manamax_v	3	manareplenish_v	2	damage_poison_resist	2																						
荒芜之戒	蓝装_木系所有路线荒芜之戒	3	1	2	4	16	6	\image\item\equip\ring\n_106_s.spr	\image\item\equip\ring\n_106.spr	29			1	5000	1	16800		2	0	equip			adddefense_v	28	30	-1	-1	0	0																																																																5	56											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	4	manamax_v	3	manareplenish_v	3	damage_poison_resist	2																						
火府之戒	蓝装_木系所有路线火府之戒	3	1	2	4	17	7	\image\item\equip\ring\n_107_s.spr	\image\item\equip\ring\n_107.spr	29			1	9000	1	30300		2	0	equip			adddefense_v	33	35	-1	-1	0	0																																																																5	66											4	manareplenish_v	15	15					8	adddefense_v	50	50					10	manamax_v	80	80					12	lifereplenish_p	10	10																					lifemax_v	4	manamax_v	4	manareplenish_v	4	damage_poison_resist	3																						
苍穹之戒	蓝装_木系所有路线苍穹之戒	3	1	2	4	18	8	\image\item\equip\ring\n_108_s.spr	\image\item\equip\ring\n_108.spr	29			1	15000	1	48000		2	0	equip			adddefense_v	38	40	-1	-1	0	0																																																																5	76											4	manareplenish_v	16	16					8	adddefense_v	55	55					10	manamax_v	90	90					12	lifereplenish_p	10	10																					lifemax_v	5	manamax_v	4	manareplenish_v	4	damage_poison_resist	4																						
邢天之戒	蓝装_木系所有路线邢天之戒	3	1	2	4	19	9	\image\item\equip\ring\n_109_s.spr	\image\item\equip\ring\n_109.spr	29			1	20000	1	81000		2	0	equip			adddefense_v	43	45	-1	-1	0	0																																																																5	86											4	manareplenish_v	17	17					8	adddefense_v	60	60					10	manamax_v	100	100					12	lifereplenish_p	11	11					14	defencedeadlystrikedamagetrim	15	15													lifemax_v	5	manamax_v	5	manareplenish_v	5	damage_poison_resist	4																						
应龙之戒	蓝装_木系所有路线应龙之戒	3	1	2	4	20	10	\image\item\equip\ring\n_110_s.spr	\image\item\equip\ring\n_110.spr	29			1	40000	1	150000	0	2	0	equip			adddefense_v	48	50	-1	-1	0	0																																																																5	96											4	manareplenish_v	18	18					8	adddefense_v	65	65					10	manamax_v	120	120					12	lifereplenish_p	12	12					14	defencedeadlystrikedamagetrim	20	20					16	damage_all_resist	70	70					lifemax_v	6	manamax_v	6	manareplenish_v	5	damage_poison_resist	5					15	damage_all_resist	32	32														
铜指环	蓝装_水系所有路线铜指环	3	1	2	4	21	1	\image\item\equip\ring\n_101_s.spr	\image\item\equip\ring\n_101.spr	29			5	100	1			2	0	equip			adddefense_v	3	5	-1	-1	0	0																																																																5	6											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	1																										
侠少之戒	蓝装_水系所有路线侠少之戒	3	1	2	4	22	2	\image\item\equip\ring\n_102_s.spr	\image\item\equip\ring\n_102.spr	29			5	300	1			2	0	equip			adddefense_v	8	10	-1	-1	0	0																																																																5	16											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	2	manareplenish_v	1																								
分水之戒	蓝装_水系所有路线分水之戒	3	1	2	4	23	3	\image\item\equip\ring\n_103_s.spr	\image\item\equip\ring\n_103.spr	29			5	1000	1			2	0	equip			adddefense_v	13	15	-1	-1	0	0																																																																5	26											4	manareplenish_v	15	15																																													lifemax_v	2	manamax_v	2	manareplenish_v	1																								
伏断之戒	蓝装_水系所有路线伏断之戒	3	1	2	4	24	4	\image\item\equip\ring\n_104_s.spr	\image\item\equip\ring\n_104.spr	29			5	1500	1			2	0	equip			adddefense_v	18	20	-1	-1	0	0																																																																5	36											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	2	manamax_v	2	manareplenish_v	2	damage_cold_resist	1																						
破军之戒	蓝装_水系所有路线破军之戒	3	1	2	4	25	5	\image\item\equip\ring\n_105_s.spr	\image\item\equip\ring\n_105.spr	29			5	3000	1			2	0	equip			adddefense_v	23	25	-1	-1	0	0																																																																5	46											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	3	manamax_v	3	manareplenish_v	2	damage_cold_resist	2																						
荒芜之戒	蓝装_水系所有路线荒芜之戒	3	1	2	4	26	6	\image\item\equip\ring\n_106_s.spr	\image\item\equip\ring\n_106.spr	29			5	5000	1	16800		2	0	equip			adddefense_v	28	30	-1	-1	0	0																																																																5	56											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	4	manamax_v	3	manareplenish_v	3	damage_cold_resist	2																						
火府之戒	蓝装_水系所有路线火府之戒	3	1	2	4	27	7	\image\item\equip\ring\n_107_s.spr	\image\item\equip\ring\n_107.spr	29			5	9000	1	30300		2	0	equip			adddefense_v	33	35	-1	-1	0	0																																																																5	66											4	manareplenish_v	15	15					8	adddefense_v	50	50					10	manamax_v	80	80					12	lifereplenish_p	10	10																					lifemax_v	4	manamax_v	4	manareplenish_v	4	damage_cold_resist	3																						
苍穹之戒	蓝装_水系所有路线苍穹之戒	3	1	2	4	28	8	\image\item\equip\ring\n_108_s.spr	\image\item\equip\ring\n_108.spr	29			5	15000	1	48000		2	0	equip			adddefense_v	38	40	-1	-1	0	0																																																																5	76											4	manareplenish_v	16	16					8	adddefense_v	55	55					10	manamax_v	90	90					12	lifereplenish_p	10	10																					lifemax_v	5	manamax_v	4	manareplenish_v	4	damage_cold_resist	4																						
邢天之戒	蓝装_水系所有路线邢天之戒	3	1	2	4	29	9	\image\item\equip\ring\n_109_s.spr	\image\item\equip\ring\n_109.spr	29			5	20000	1	81000		2	0	equip			adddefense_v	43	45	-1	-1	0	0																																																																5	86											4	manareplenish_v	17	17					8	adddefense_v	60	60					10	manamax_v	100	100					12	lifereplenish_p	11	11					14	defencedeadlystrikedamagetrim	15	15													lifemax_v	5	manamax_v	5	manareplenish_v	5	damage_cold_resist	4																						
应龙之戒	蓝装_水系所有路线应龙之戒	3	1	2	4	30	10	\image\item\equip\ring\n_110_s.spr	\image\item\equip\ring\n_110.spr	29			5	40000	1	150000	0	2	0	equip			adddefense_v	48	50	-1	-1	0	0																																																																5	96											4	manareplenish_v	18	18					8	adddefense_v	65	65					10	manamax_v	120	120					12	lifereplenish_p	12	12					14	defencedeadlystrikedamagetrim	20	20					16	damage_all_resist	70	70					lifemax_v	6	manamax_v	6	manareplenish_v	5	damage_cold_resist	5					15	damage_all_resist	32	32														
铜指环	蓝装_火系所有路线铜指环	3	1	2	4	31	1	\image\item\equip\ring\n_101_s.spr	\image\item\equip\ring\n_101.spr	29			3	100	1			2	0	equip			adddefense_v	3	5	-1	-1	0	0																																																																5	6											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	1																										
侠少之戒	蓝装_火系所有路线侠少之戒	3	1	2	4	32	2	\image\item\equip\ring\n_102_s.spr	\image\item\equip\ring\n_102.spr	29			3	300	1			2	0	equip			adddefense_v	8	10	-1	-1	0	0																																																																5	16											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	2	manareplenish_v	1																								
分水之戒	蓝装_火系所有路线分水之戒	3	1	2	4	33	3	\image\item\equip\ring\n_103_s.spr	\image\item\equip\ring\n_103.spr	29			3	1000	1			2	0	equip			adddefense_v	13	15	-1	-1	0	0																																																																5	26											4	manareplenish_v	15	15																																													lifemax_v	2	manamax_v	2	manareplenish_v	1																								
伏断之戒	蓝装_火系所有路线伏断之戒	3	1	2	4	34	4	\image\item\equip\ring\n_104_s.spr	\image\item\equip\ring\n_104.spr	29			3	1500	1			2	0	equip			adddefense_v	18	20	-1	-1	0	0																																																																5	36											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	2	manamax_v	2	manareplenish_v	2	damage_fire_resist	1																						
破军之戒	蓝装_火系所有路线破军之戒	3	1	2	4	35	5	\image\item\equip\ring\n_105_s.spr	\image\item\equip\ring\n_105.spr	29			3	3000	1			2	0	equip			adddefense_v	23	25	-1	-1	0	0																																																																5	46											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	3	manamax_v	3	manareplenish_v	2	damage_fire_resist	2																						
荒芜之戒	蓝装_火系所有路线荒芜之戒	3	1	2	4	36	6	\image\item\equip\ring\n_106_s.spr	\image\item\equip\ring\n_106.spr	29			3	5000	1	16800		2	0	equip			adddefense_v	28	30	-1	-1	0	0																																																																5	56											4	manareplenish_v	15	15					8	adddefense_v	50	50																																					lifemax_v	4	manamax_v	3	manareplenish_v	3	damage_fire_resist	2																						
火府之戒	蓝装_火系所有路线火府之戒	3	1	2	4	37	7	\image\item\equip\ring\n_107_s.spr	\image\item\equip\ring\n_107.spr	29			3	9000	1	30300		2	0	equip			adddefense_v	33	35	-1	-1	0	0																																																																5	66											4	manareplenish_v	15	15					8	adddefense_v	50	50					10	manamax_v	80	80					12	lifereplenish_p	10	10																					lifemax_v	4	manamax_v	4	manareplenish_v	4	damage_fire_resist	3																						
苍穹之戒	蓝装_火系所有路线苍穹之戒	3	1	2	4	38	8	\image\item\equip\ring\n_108_s.spr	\image\item\equip\ring\n_108.spr	29			3	15000	1	48000		2	0	equip			adddefense_v	38	40	-1	-1	0	0																																																																5	76											4	manareplenish_v	16	16					8	adddefense_v	55	55					10	manamax_v	90	90					12	lifereplenish_p	10	10																					lifemax_v	5	manamax_v	4	manareplenish_v	4	damage_fire_resist	4																						
邢天之戒	蓝装_火系所有路线邢天之戒	3	1	2	4	39	9	\image\item\equip\ring\n_109_s.spr	\image\item\equip\ring\n_109.spr	29			3	20000	1	81000		2	0	equip			adddefense_v	43	45	-1	-1	0	0																																																																5	86											4	manareplenish_v	17	17					8	adddefense_v	60	60					10	manamax_v	100	100					12	lifereplenish_p	11	11					14	defencedeadlystrikedamagetrim	15	15													lifemax_v	5	manamax_v	5	manareplenish_v	5	damage_fire_resist	4																						
应龙之戒	蓝装_火系所有路线应龙之戒	3	1	2	4	40	10	\image\item\equip\ring\n_110_s.spr	\image\item\equip\ring\n_110.spr	29			3	40000	1	150000	0	2	0	equip			adddefense_v	48	50	-1	-1	0	0																																																																5	96											4	manareplenish_v	18	18					8	adddefense_v	65	65					10	manamax_v	120	120					12	lifereplenish_p	12	12					14	defencedeadlystrikedamagetrim	20	20					16	damage_all_resist	70	70					lifemax_v	6	manamax_v	6	manareplenish_v	5	damage_fire_resist	5					15	damage_all_resist	32	32														
铜指环	蓝装_土系所有路线铜指环	3	1	2	4	41	1	\image\item\equip\ring\n_101_s.spr	\image\item\equip\ring\n_101.spr	29			2	100	1			2	0	equip			adddefense_v	3	5	-1	-1	0	0																																																																5	6											4	manareplenish_v	15	15																																													lifemax_v	1	manamax_v	1																										
