Name	Kind	Genre	DetailType	ParticularType	Level	Icon	View	ObjID	Intro	Help	Series	Price	Stack	ItemValue	MakeCost	BindType	Valuable	ReqLevel	ClassName	ForbidType	CanBeOffer	Shortcut	CDType	ExtParam1	ExtParam2	ExtParam3	ExtParam4	ExtParam5	ExtParam6	ExtParam7	ExtParam8	ExtParam9	ExtParam10	ExtParam11	ExtParam12	ExtParam13	ExtParam14	ExtParam15	ExtParam16	ExtParam17	ExtParam18	ExtParam19	ExtParam20	Effect
碎裂的煌光石（1级）	血蓝值宝石（1级）	24	1	1	1	\image\item\gem\1_gold.spr		1	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					1																				
磨损的煌光石（2级）	血蓝值宝石（2级）	24	1	1	2	\image\item\gem\2_gold.spr		2	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					1																				
完整的煌光石（3级）	血蓝值宝石（3级）	24	1	1	3	\image\item\gem\3_gold.spr		3	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					1	3																			
精巧的煌光石（4级）	血蓝值宝石（4级）	24	1	1	4	\image\item\gem\4_gold.spr		4	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					1	4																			
耀眼的煌光石（5级）	血蓝值宝石（5级）	24	1	1	5	\image\item\gem\5_gold.spr		5	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					1	5																			
碎裂的延阳石（1级）	血蓝比宝石（1级）	24	1	2	1	\image\item\gem\1_gold.spr		1	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					2																				
磨损的延阳石（2级）	血蓝比宝石（2级）	24	1	2	2	\image\item\gem\2_gold.spr		2	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					2																				
完整的延阳石（3级）	血蓝比宝石（3级）	24	1	2	3	\image\item\gem\3_gold.spr		3	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					2	3																			
精巧的延阳石（4级）	血蓝比宝石（4级）	24	1	2	4	\image\item\gem\4_gold.spr		4	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					2	4																			
耀眼的延阳石（5级）	血蓝比宝石（5级）	24	1	2	5	\image\item\gem\5_gold.spr		5	样式古朴的宝石，可以镶嵌在装备上。<enter><color=gold>右键点击打开镶嵌界面。<color>		0	100000	1	50000		0	1		gem					2	5																			
