Name	ZhenId	NearSkillId	MapSkillId	LevelRequire	Series1	Faction1	Sex1	Series2	Faction2	Sex2	Series3	Faction3	Sex3	Series4	Faction4	Sex4	Series5	Faction5	Sex5	Series6	Faction6	Sex6
Юхааеѓ	1	381		1	1	-1	-1	2	-1	-1	3	-1	-1	4	-1	-1	5	-1	-1			
АЫидеѓЁЄРы	2	383	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
АЫидеѓЁЄЖв	3	1344	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
АЫидеѓЁЄєо	4	1345	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
АЫидеѓЁЄПВ	5	1346	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
АЫидеѓЁЄйу	6	1347	382	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
АЫидеѓЁЄЧЌ	7	1348	1349	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
ЧрСњеѓ	8	1350	1351	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
аўЮфеѓ	9	1352	1353	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
АзЛЂеѓ	10	1354	1355	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
жьШИеѓ	11	1356	1357	69	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_дТУдНђЖЩеѓ	12	1810	1811	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_ЮэЪЇТЅЬЈеѓ	13	1812	1813	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_ЬАРЧеѓЁЄбє	14	1814	1815	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_ЬАРЧеѓЁЄвѕ	15	1816	1817	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_АЫидеѓЁЄе№	16	1818	1819	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_АЫидеѓЁЄРЄ	17	1820	1821	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_ЦЦОќеѓ	18	1822	1823	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
еѓЗЈ_ЦпЩБеѓ	19	1824	1825	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
