Id	StartDate	EndDate	Desc
1346	20080909	20080916	月桂花糖(活动配方)
1347	20080909	20080916	莲子冰皮(活动配方)
1348	20080909	20080916	中秋月饼(活动配方)
1359	20091222	20100105	小雪块（活动配方）
1360	20091222	20100105	小雪块（活动配方）
1361	20091222	20100105	小雪块（活动配方）
1362	20091222	20100105	小雪块（活动配方）
1363	20091222	20100105	小雪块（活动配方）
1364	20091222	20100105	雪花（活动配方）
1365	20091222	20100105	雪花（活动配方）
1366	20091222	20100105	雪花（活动配方）
1367	20091222	20100105	雪花（活动配方）
1368	20091222	20100105	雪花（活动配方）
1542	20090331	20090407	糯米粉（活动配方）
1543	20090331	20090407	糯米粉（活动配方）
1544	20090331	20090407	糯米粉（活动配方）
1545	20090331	20090407	糯米粉（活动配方）
1546	20090331	20090407	糯米粉（活动配方）
1547	20090331	20090407	糖豆沙（活动配方）
1548	20090331	20090407	糖豆沙（活动配方）
1549	20090331	20090407	糖豆沙（活动配方）
1550	20090331	20090407	糖豆沙（活动配方）
1551	20090331	20090407	糖豆沙（活动配方）
1552	20090331	20090407	青团（活动配方）
1553	20090331	20090407	青团（活动配方）
1554	20090331	20090407	青团（活动配方）
1555	20090331	20090407	青团（活动配方）
1556	20090331	20090407	青团（活动配方）
1573	20090526	20090626	云杉木板（活动）
1574	20090526	20090626	云杉木板（活动）
1575	20090526	20090626	云杉木板（活动）
1576	20090526	20090626	云杉木板（活动）
1587	20090526	20090626	云杉木板（活动）
1588	20090526	20090626	粗铁钉（活动）
1589	20090526	20090626	粗铁钉（活动）
1590	20090526	20090626	粗铁钉（活动）
1591	20090526	20090626	粗铁钉（活动）
1592	20090526	20090626	粗铁钉（活动）
1593	20090526	20090626	上品桐油（活动）
1594	20090526	20090626	上品桐油（活动）
1595	20090526	20090626	上品桐油（活动）
1596	20090526	20090626	上品桐油（活动）
1597	20090526	20090626	上品桐油（活动）
1598	20090526	20090626	龙舟原型（活动）
1599	20090526	20090626	龙舟原型（活动）
1600	20090526	20090626	龙舟原型（活动）
1601	20090526	20090626	龙舟原型（活动）
1602	20090526	20090626	龙舟原型（活动）
1557	20090501	20090714	神秘贝壳
1558	20090501	20090714	神秘贝壳
1559	20090501	20090714	神秘贝壳
1560	20090501	20090714	神秘贝壳
1561	20090501	20090714	神秘贝壳
1562	20090501	20090714	金贝壳
1563	20090501	20090714	金贝壳
1564	20090501	20090714	金贝壳
1565	20090501	20090714	金贝壳
