ID	Name	Gene	Belong	Icon	Desc	LevelExp	BGM				MaxLevel
1	矿物加工	1	1	\image\icon\lifeskill\kuangwujiagong.spr	加工系技能之一，可以把原矿加工成矿锭或宝石。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\kuangwujiagong.wav				120
2	布料加工	1	2	\image\icon\lifeskill\buliaojiagong.spr	加工系技能之一，可以把桑麻加工成布匹锦缎。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\buliaojiagong.wav				120
3	药材加工	1	3	\image\icon\lifeskill\yaocaijiagong.spr	加工系技能之一，可以把药草加工成药粉。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\yaocaijiagong.wav				120
4	原木加工	1	4	\image\icon\lifeskill\yuanmujiagong.spr	加工系技能之一，可以把原木加工成木板。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\yuanmujiagong.wav				120
5	毛皮加工	1	5	\image\icon\lifeskill\maopijiagong.spr	加工系技能之一，可以把新鲜毛皮加工成皮革。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\maopijiagong.wav				120
6	武器锻造	0	6	\image\icon\lifeskill\wuqizhizao.spr	制造系技能之一，可以制造出刀、剑、枪、锤等各种兵器以及磨刀石。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\wuqizhizao.wav				120
7	防具制造	0	7	\image\icon\lifeskill\fangjuzhizao.spr	制造系技能之一，可以制造出铁甲、皮甲、布衣等各种防具以及护甲片。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\fangjuzhizao.wav				120
8	药剂合成	0	8	\image\icon\lifeskill\yaopinzhizao.spr	制造系技能之一，可以制造出各种丹药。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\yaopinzhizao.wav				120
9	首饰制造	0	9	\image\icon\lifeskill\shoushizhizao.spr	制造系技能之一，可以制造出项链、戒指等各种首饰以及五行石。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\shoushizhizao.wav				120
10	工艺制作	0	10	\image\icon\lifeskill\zahuozhizao.spr	制造系技能之一，可以制造出传送符、背包等各种杂货。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\zahuozhizao.wav				120
11	装备拆解	1	11	\image\icon\lifeskill\zhuangbeichaijie.spr	加工系技能之一，可以将装备拆解为材料。	\setting\lifeskill\skills_compose_exp.txt	\audio\lifeskill\zahuozhizao.wav				120
