NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
拐子	0	2209	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\baihuagu\npc\area1.txt	1		1
蒙古大夫	0	2210	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\baihuagu\npc\area2.txt	1		0
江湖刀客	0	2037	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\baihuagu\npc\area3.txt	1		4
江湖剑客	0	2038	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\baihuagu\npc\area4.txt	1		0
尹筱雨	0	507	3	5	150	1	20	20	20	20	20	1		53504	118272		1		0
to_cuiyanmen	1															\setting\map\map_info\baihuagu\trap\to_cuiyanmen.txt			
to_baihuazhen_1	1															\setting\map\map_info\baihuagu\trap\to_baihuazhen_1.txt			
to_daliduanshi	1															\setting\map\map_info\baihuagu\trap\to_daliduanshi.txt			
翠烟门入口	0	2525	4	5	1	1	20	20	20	20	20	1		63104	120160		1		
百花阵外阵入口	0	2525	4	5	1	1	20	20	20	20	20	1		51072	103104		1		
大理段氏入口	0	2525	4	5	1	1	20	20	20	20	20	1		63072	101984		1		
