NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
郦秋水	0	738	3	5	60	1	20	20	20	20	20	1		50592	122720		1		0
郦秋水	0	738	3	5	60	1	20	20	20	20	20	1		53056	122528		1		0
郦秋水	0	738	3	5	60	1	20	20	20	20	20	1		55424	123136		1		0
麻衣神相	0	739	3	5	60	1	20	20	20	20	20	1		50752	122880		1		
丹碧秀	0	745	3	5	90	1	20	20	20	20	20	1		53152	122624		1		
钟灵秀	0	746	3	5	60	1	20	20	20	20	20	1		53248	122720		1		
钟灵秀	0	746	3	5	60	1	20	20	20	20	20	1		55328	123008		1		
雁巧云	0	747	3	5	90	1	20	20	20	20	20	1		53344	122816		1		
姑月华	0	748	3	5	90	1	20	20	20	20	20	1		52960	122432		1		
姑月华	0	748	3	5	90	1	20	20	20	20	20	1		53600	126176		1		
黑衣人	0	750	0	5	45	1	20	20	20	20	20	1				\setting\map\map_info\baihuazhen_2_shinei\npc\heiyiren.txt	1		3
玄慈	0	764	3	5	150	1	20	20	20	20	20	1		57696	123072		1		
王重阳	0	765	3	5	150	1	20	20	20	20	20	1		57792	123168		1		
无想师太	0	766	3	5	150	1	20	20	20	20	20	1		57888	123264		1		
谢雨田	0	767	3	5	90	1	20	20	20	20	20	1		57984	123360		1		
石轩辕	0	768	3	5	150	1	20	20	20	20	20	1		58080	123456		1		
钟灵秀	0	751	3	5	60	1	20	20	20	20	20	1		56352	126304		1		
钟灵秀	0	754	3	5	60	1	20	20	20	20	20	1		50688	118912		1		
黄队小队长	0	755	0	5	45	1	20	20	20	20	20	1		49952	118944		1		
红队小队长	0	756	0	5	45	1	20	20	20	20	20	1		50720	118112		1		
蓝队小队长	0	757	0	5	45	1	20	20	20	20	20	1		50688	119712		1		
来敌首领	0	758	0	5	45	1	20	20	20	20	20	1		58528	95072		1		
唐一尘	0	759	3	5	60	1	20	20	20	20	20	1		55520	123264		1		
尹含烟	0	760	3	5	60	1	20	20	20	20	20	1		55616	123392		1		
尹含烟	0	760	3	5	60	1	20	20	20	20	20	1		50528	125728		1		
尹含烟	0	760	3	5	60	1	20	20	20	20	20	1		53408	125888		1		
尹筱雨	0	761	3	5	150	1	20	20	20	20	20	1		55712	123488		1		
翠烟门弟子	0	749	3	5	60	1	20	20	20	20	20	1		53248	122528		1		
翠烟门弟子	0	515	3	5	60	1	20	20	20	20	20	1		59872	125664		1		
翠烟门弟子	0	749	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\baihuazhen_2_shinei\npc\cuiyanmendizi.txt	1		
罗雪	0	778	3	5	60	1	20	20	20	20	20	1		53504	126048		1		
尹含烟	0	781	3	5	60	1	20	20	20	20	20	1		58464	98464		1		
段智兴	0	784	3	5	150	1	20	20	20	20	20	1		58624	98656		1		
客人的包袱	0	1503	3	5	1	1	20	20	20	20	20	1		60512	122944		1		
去玄月大阵	0	2525	4	5	1	1	20	20	20	20	20	1		58240	95488		1		
去夏花园	0	2525	4	5	1	1	20	20	20	20	20	1		58304	99104		1		
去百花阵	0	2525	4	5	1	1	20	20	20	20	20	1		50240	119456		1		
去春花园	0	2525	4	5	1	1	20	20	20	20	20	1		50400	123360		1		
去春花园	0	2525	4	5	1	1	20	20	20	20	20	1		52832	123136		1		
去春花园	0	2525	4	5	1	1	20	20	20	20	20	1		55168	123648		1		
去百花阵内阵	0	2525	4	5	1	1	20	20	20	20	20	1		57504	123872		1		
去百花阵内阵	0	2525	4	5	1	1	20	20	20	20	20	1		60160	123456		1		
去春花园	0	2525	4	5	1	1	20	20	20	20	20	1		50336	126368		1		
去春花园	0	2525	4	5	1	1	20	20	20	20	20	1		53248	126528		1		
去百花阵内阵	0	2525	4	5	1	1	20	20	20	20	20	1		56032	126752		1		
去百花阵内阵	0	2525	4	5	1	1	20	20	20	20	20	1		59360	126848		1		
to_exit3	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit3.txt			
to_exit4	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit4.txt			
to_exit17	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit17.txt			
to_exit21	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit21.txt			
to_exit22	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit22.txt			
to_exit23	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit23.txt			
to_exit24	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit24.txt			
to_exit25	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit25.txt			
to_exit26	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit26.txt			
to_exit27	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit27.txt			
to_exit28	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit28.txt			
to_exit29	1															\setting\map\map_info\baihuazhen_2_shinei\trap\to_exit29.txt			
