NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
张斩经	0	3564	3	6	150	1	20	20	20	20	20	1		55136	100032		1		0
邹德侩	0	2599	3	6	150	1	20	20	20	20	20	1		54592	100192		1		
老船夫	0	4120	3	6	150	1	20	20	20	20	20	1		55296	100160		1		0
宝果子	0	4133	3	6	150	1	20	20	20	20	20	1		59776	90752		1		0
路路通	0	4121	3	6	150	1	20	20	20	20	20	1		55200	100096		1		
碧鳞蛇	0	4122	0	5	110	1	20	20	20	20	20	1	\setting\npc\droprate\renwudiaoluo\bilinshe.txt			\setting\map\map_info\baimanshan\npc\bilinshe.txt	1		0
九凝鼎	0	4123	3	6	150	1	20	20	20	20	20	1		54848	99328		1		
毒尾蝎	0	4128	0	5	100	1	20	20	20	20	20	1	\setting\npc\droprate\renwudiaoluo\duweixie.txt			\setting\map\map_info\baimanshan\npc\duweixie.txt	1		
锣	0	4129	3	6	150	1	20	20	20	20	20	1		62240	92128		1		0
鼓	0	4130	3	6	150	1	20	20	20	20	20	1		63008	91072		1		
桃蜈	0	4133	0	5	100	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\taowu.txt	1		0
铁门	0	4169	3	6	1	1	20	20	20	20	20	1		59904	86208		1		0
雪羽鸿飞	0	4143	3	6	1	1	20	20	20	20	20	1		60064	90240		1		0
 	0	4149	4	6	1	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\yuanyang.txt	1		
 	0	4168	4	6	1	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\xuetu.txt	1		0
桃花瘴	0	4140	4	6	1	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\zhangqi1.txt	1		
 	0	4151	4	6	1	1	20	20	20	20	20	1		53408	93184		1		
 	0	4151	4	6	1	1	20	20	20	20	20	1		57600	97152		1		
 	0	4151	4	6	1	1	20	20	20	20	20	1		58240	91072		1		
 	0	4151	4	6	1	1	20	20	20	20	20	1		60256	83360		1		
 	0	4151	4	6	1	1	20	20	20	20	20	1		63232	91232		1		
二丫	0	4177	3	6	1	1	20	20	20	20	20	1		58816	90752		1		0
斗蛊	0	4180	0	3	55	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\zhizhu1.txt	1		
斗蛊	0	4179	0	2	55	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\xiezi1.txt	1		
斗蛊	0	4178	0	1	55	1	20	20	20	20	20	1				\setting\map\map_info\baimanshan\npc\wugong1.txt	1		
to_zhandou	1															\setting\map\map_info\baimanshan\trap\to_zhandou.txt			
to_feizhandou	1															\setting\map\map_info\baimanshan\trap\to_feizhandou.txt			
to_zhongdu	1															\setting\map\map_info\baimanshan\trap\to_zhongdu.txt			
to_jisi	1															\setting\map\map_info\baimanshan\trap\to_jisi.txt			
to_lingxiefeng	1															\setting\map\map_info\baimanshan\trap\to_lingxiefeng.txt			
to_shenzhufeng	1															\setting\map\map_info\baimanshan\trap\to_shenzhufeng.txt			
to_biwufeng	1															\setting\map\map_info\baimanshan\trap\to_biwufeng.txt			
to_tianjuegong	1															\setting\map\map_info\baimanshan\trap\to_tianjuegong.txt			
to_gongji	1															\setting\map\map_info\baimanshan\trap\to_gongji.txt			
to_jitan1	1															\setting\map\map_info\baimanshan\trap\to_jitan1.txt			
to_jitan2	1															\setting\map\map_info\baimanshan\trap\to_jitan2.txt			
to_jitan3	1															\setting\map\map_info\baimanshan\trap\to_jitan3.txt			
to_jitan4	1															\setting\map\map_info\baimanshan\trap\to_jitan4.txt			
to_jitan5	1															\setting\map\map_info\baimanshan\trap\to_jitan5.txt			
