NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
锦衣卫	0	1086	0	5	90	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\bangyuanmidong\npc\jinyiwei.txt			
江南义士	0	2192	0	5	85	1	20	20	20	20	20	3	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\bangyuanmidong\npc\area1.txt			
东南义士	0	2193	0	5	85	1	20	20	20	20	20	3	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\bangyuanmidong\npc\area2.txt			
江北义士	0	2194	0	5	85	1	20	20	20	20	20	3	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\bangyuanmidong\npc\area3.txt			
江南义士	0	2192	0	5	85	1	20	20	20	20	20	3	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\bangyuanmidong\npc\area4.txt			
to_jiuyixi	1															\setting\map\map_info\bangyuanmidong\trap\to_jiuyixi.txt			
to_longquancun	1															\setting\map\map_info\bangyuanmidong\trap\to_longquancun.txt			
九嶷溪入口	0	2525	4	5	85	1	20	20	20	20	20	3		61280	102688				
龙泉村入口	0	2525	4	5	85	1	20	20	20	20	20	3		60832	107744				
雷老九	0	1083	3	5	85	1	20	20	20	20	20	3		60672	108352				
侍卫长	0	1126	0	5	85	1	20	20	20	20	20	3		58944	111296				
侍卫长	0	1126	0	5	85	1	20	20	20	20	20	3		59424	112832				
侍卫长	0	1126	0	5	85	1	20	20	20	20	20	3		60160	112448				
侍卫长	0	1126	0	5	85	1	20	20	20	20	20	3		60576	112320				
侍卫长	0	1126	0	5	85	1	20	20	20	20	20	3		61248	112896				
范朝霜	0	3103	0	5	85	1	20	20	20	20	20	16		55680	118464				0
方大舟	0	3104	0	5	85	1	20	20	20	20	20	16		56000	102336				2
冯双翼	0	3105	0	5	85	1	20	20	20	20	20	16		47840	105824				3
傅修文	0	3106	0	5	85	1	20	20	20	20	20	16		44960	111840				4
