NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
龙座禅师	0	616	3	5	60	1	20	20	20	20	20	1		54176	98560		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		50272	98336				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		49952	98656				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		49280	99616				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		50784	97728				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		51232	98752				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		51488	99392				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		46784	99904				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		49600	100000				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		50720	100512				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		50304	99200				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		48224	99712				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		49056	95296				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		52768	97280				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		50336	103616				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		47232	101440				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		48320	96416				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		49984	94752				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		52320	101952				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		50304	94208				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		53024	101568				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		48000	101536				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		47744	96704				
衙役	0	2603	3	5	60	1	20	20	20	20	20	1		51904	98368				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		48384	97504				
to_yunzhongzhen	1															\setting\map\map_info\bianjingfu\trap\to_yunzhongzhen.txt			
to_shaolinpai	1															\setting\map\map_info\bianjingfu\trap\to_shaolinpai.txt			
to_tianrenjiao	1															\setting\map\map_info\bianjingfu\trap\to_tianrenjiao.txt			
to_taihanggujing	1															\setting\map\map_info\bianjingfu\trap\to_taihanggujing.txt			
to_longmenshiku	1															\setting\map\map_info\bianjingfu\trap\to_longmenshiku.txt			
to_funiushan	1															\setting\map\map_info\bianjingfu\trap\to_funiushan.txt			
云中镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		51968	92128				
少林派入口	0	2525	4	5	1	1	20	20	20	20	20	1		44032	104320				
天忍教入口	0	2525	4	5	1	1	20	20	20	20	20	1		52992	92672				
太行古径入口	0	2525	4	5	1	1	20	20	20	20	20	1		46336	95584				
龙门石窟入口	0	2525	4	5	1	1	20	20	20	20	20	1		44448	102208				
伏牛山入口	0	2525	4	5	1	1	20	20	20	20	20	1		46048	106144				
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		48512	102720				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		51296	97088				
黄裳	0	2606	3	5	60	1	20	20	20	20	20	1		51008	95264				
耶律楚材	0	441	3	5	60	1	20	20	20	20	20	1		52128	96320				
白虎堂护卫	0	2654	3	5	60	1	20	20	20	20	20	1		49984	101728				
云游僧人	0	2625	3	5	60	1	20	20	20	20	20	1		53344	99552				
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		50368	99264				
郜楠	0	569	3	5	60	1	20	20	20	20	20	1		51200	101248				
王小七	0	1843	3	5	60	1	20	20	20	20	20	1		51136	93056				
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		48000	98848				
慕容剑飞	0	4700	3	5	150	1	20	20	20	20	20	1		53728	98656				
6001	0	6001	5	5	1	1	20	20	20	20	20	1		47424	101632				
6001	0	6001	5	5	1	1	20	20	20	20	20	1		51296	103072				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		51328	103104				
6031	0	6031	5	5	1	1	20	20	20	20	20	1		47872	101312				
6031	0	6031	5	5	1	1	20	20	20	20	20	1		48576	97536				
6032	0	6032	5	5	1	1	20	20	20	20	20	1		50528	94752				
6032	0	6032	5	5	1	1	20	20	20	20	20	1		52992	101312				
6033	0	6033	5	5	1	1	20	20	20	20	20	1		47936	101408				
6035	0	6035	5	5	1	1	20	20	20	20	20	1		47936	96800				
6035	0	6035	5	5	1	1	20	20	20	20	20	1		53248	101632				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		48192	97216				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		50560	94656				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		53088	101216				
6037	0	6037	5	5	1	1	20	20	20	20	20	1		53184	101568				
6038	0	6038	5	5	1	1	20	20	20	20	20	1		48256	97120				
6042	0	6042	5	5	1	1	20	20	20	20	20	1		48096	99424				
6042	0	6042	5	5	1	1	20	20	20	20	20	1		52256	102880				
6042	0	6042	5	5	1	1	20	20	20	20	20	1		52736	98176				
6043	0	6043	5	5	1	1	20	20	20	20	20	1		46432	100448				
6043	0	6043	5	5	1	1	20	20	20	20	20	1		50464	95136				
6047	0	6047	5	5	1	1	20	20	20	20	20	1		45440	103840				
6054	0	6054	5	5	1	1	20	20	20	20	20	1		51392	102976				
6057	0	6057	5	5	1	1	20	20	20	20	20	1		51200	102944				
6073	0	6073	5	5	1	1	20	20	20	20	20	1		45984	101056				
6074	0	6074	5	5	1	1	20	20	20	20	20	1		51040	97248				
6089	0	6089	5	5	1	1	20	20	20	20	20	1		50912	100224				
6090	0	6090	5	5	1	1	20	20	20	20	20	1		50464	98272				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		53760	99296				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		49024	98816				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		51904	100288				
6101	0	6101	5	5	1	1	20	20	20	20	20	1		48896	98848				
6103	0	6103	5	5	1	1	20	20	20	20	20	1		48544	96160				
6104	0	6104	5	5	1	1	20	20	20	20	20	1		52032	100288				
6105	0	6105	5	5	1	1	20	20	20	20	20	1		52000	100224				
6106	0	6106	5	5	1	1	20	20	20	20	20	1		50752	103840				
6108	0	6108	5	5	1	1	20	20	20	20	20	1		50688	103776				
