NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
小机关兽	0	2026	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area1.txt	1		
义军叛徒	0	2204	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area2.txt	1		5
强贼	0	2203	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area3.txt	1		0
劣质机关人	0	2025	0	5	15	1	20	20	20	20	20	1	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area4.txt	1		0
蒙古武士	0	3586	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area5.txt	1		3
西夏武士	0	3587	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area6.txt	1		0
金国武士	0	3588	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area7.txt	1		1
南宋武士	0	3589	0	5	15	1	20	20	20	20	20	2	\setting\npc\droprate\droprate002.txt			\setting\map\map_info\chamagudao\npc\area8.txt	1		0
to_shiguzhen	1															\setting\map\map_info\chamagudao\trap\to_shiguzhen.txt			
to_erhaimoyan	1															\setting\map\map_info\chamagudao\trap\to_erhaimoyan.txt			
石鼓镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		63008	123584				
洱海摩岩入口	0	2525	4	5	1	1	20	20	20	20	20	1		49664	100192				
白疆	0	3585	3	5	60	1	20	20	20	20	20	1		53856	110272		1		0
高升	0	3590	3	5	60	1	20	20	20	20	20	1		53888	110528		1		
崔剑	0	3591	3	5	60	1	20	20	20	20	20	1		53664	110240		1		
界山宗	0	3584	3	5	60	1	20	20	20	20	20	1		54752	127008		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		53440	110080		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		53568	110912		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		52832	110816		1		
义军精锐	0	3592	0	0	60	1	20	20	20	20	20	1		52800	111424		1		
义军叛徒寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		62880	119008		1		
义军叛徒2寻路点	0	2616	5	5	1	1	20	20	20	20	20	1		61376	116672		1		
强贼寻路点	0	2617	5	5	1	1	20	20	20	20	20	1		52320	122784		1		
劣质机关人寻路点	0	2618	5	5	1	1	20	20	20	20	20	1		53216	122240		1		
小机关兽寻路点	0	2619	5	5	1	1	20	20	20	20	20	1		55840	112544		1		
蒙古武士寻路点	0	2620	5	5	1	1	20	20	20	20	20	1		54944	103680		1		
西夏武士寻路点	0	2621	5	5	1	1	20	20	20	20	20	1		53600	112320		1		
金国武士寻路点	0	2622	5	5	1	1	20	20	20	20	20	1		51936	107552		1		
南宋武士寻找路点	0	2623	5	5	1	1	20	20	20	20	20	1		52832	106304		1		
义军叛徒新增寻路点1	0	3651	5	5	1	1	20	20	20	20	20	1		59360	121728		1		
义军叛徒新增寻路点2	0	3652	5	5	1	1	20	20	20	20	20	1		57952	118112		1		
义军叛徒新增寻路点3	0	3653	5	5	1	1	20	20	20	20	20	1		60544	109760		1		
强贼寻路点2	0	4678	5	5	1	1	20	20	20	20	20	1		50304	122272		1		
强贼寻路点3	0	4679	5	5	1	1	20	20	20	20	20	1		49984	125536		1		
