NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		50656	102048				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		51488	102496				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		51456	101152				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		52032	101504				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		52416	102272				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		52640	102912				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		50080	105120				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		53376	101504				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		52928	101280				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		51872	103072				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		48928	105312				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		47968	103072				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		51360	106400				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		49888	102176				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		53728	103872				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		50624	106688				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		49216	100256				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		53600	100704				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		53088	103968				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		50112	106112				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		49600	100992				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		53024	100256				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		52512	107168				
to_jiangjincun	1															\setting\map\map_info\chengdufu\trap\to_jiangjincun.txt			
to_emeipai	1															\setting\map\map_info\chengdufu\trap\to_emeipai.txt			
to_huanhuaxi	1															\setting\map\map_info\chengdufu\trap\to_huanhuaxi.txt			
to_jiangeshudao	1															\setting\map\map_info\chengdufu\trap\to_jiangeshudao.txt			
江津村入口	0	2525	4	5	1	1	20	20	20	20	20	1		55936	107552				
峨嵋派入口	0	2525	4	5	1	1	20	20	20	20	20	1		47712	109056				
浣花溪入口	0	2525	4	5	1	1	20	20	20	20	20	1		47264	99520				
剑阁蜀道入口	0	2525	4	5	1	1	20	20	20	20	20	1		54752	98688				
菱花	0	529	3	5	60	1	20	20	20	20	20	1		50912	103616				0
香炉	0	1571	3	5	1	1	20	20	20	20	20	1		55168	101472				
钱多多	0	577	3	5	60	1	20	20	20	20	20	1		48608	102016				
谷宁山	0	534	3	5	60	1	20	20	20	20	20	1		50624	100896				
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		49056	103552				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		53824	105568				
黄裳	0	2606	3	5	60	1	20	20	20	20	20	1		53856	102496				
景思子仁	0	531	3	5	60	1	20	20	20	20	20	1		55424	101184				
白虎堂护卫	0	2654	3	5	60	1	20	20	20	20	20	1		50816	99616				
云游僧人	0	2625	3	5	60	1	20	20	20	20	20	1		54688	101248				
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		51904	103136				
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		49920	99744				
唐珈	0	1801	3	5	60	1	20	20	20	20	20	1		52256	100192				
6005	0	6005	5	5	1	1	20	20	20	20	20	1		52320	100128				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		48960	108128				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		52352	100192				
6007	0	6007	5	5	1	1	20	20	20	20	20	1		52960	103936				
6010	0	6010	5	5	1	1	20	20	20	20	20	1		48576	107552				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		47744	99104				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		54624	98432				
6019	0	6019	5	5	1	1	20	20	20	20	20	1		47968	108320				
6020	0	6020	5	5	1	1	20	20	20	20	20	1		49216	108096				
6029	0	6029	5	5	1	1	20	20	20	20	20	1		52160	100032				
6029	0	6029	5	5	1	1	20	20	20	20	20	1		52384	100160				
6036	0	6036	5	5	1	1	20	20	20	20	20	1		53120	100128				
6037	0	6037	5	5	1	1	20	20	20	20	20	1		53024	100160				
毕炜	0	6042	5	5	1	1	20	20	20	20	20	1		51328	107200				
刘建	0	6044	5	5	1	1	20	20	20	20	20	1		51328	107552				
刘瑷	0	6056	5	5	1	1	20	20	20	20	20	1		53216	102880				
陈虎	0	6074	5	5	1	1	20	20	20	20	20	1		49248	101152				
甘一山	0	6074	5	5	1	1	20	20	20	20	20	1		50368	106336				
谢伟	0	6074	5	5	1	1	20	20	20	20	20	1		55296	106304				
杜阳	0	6090	5	5	1	1	20	20	20	20	20	1		50720	102048				
田超	0	6091	5	5	1	1	20	20	20	20	20	1		47200	102528				
6094	0	6094	5	5	1	1	20	20	20	20	20	1		55808	101504				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		54112	102464				
