NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
段智兴	0	800	3	5	150	1	20	20	20	20	20	1		51680	116864		1		
刀皇后	0	840	3	5	60	1	20	20	20	20	20	1		55328	116864		1		
罗雪	0	997	3	5	60	1	20	20	20	20	20	1		59008	116864		1		
乔桑梓	0	1015	3	5	90	1	20	20	20	20	20	1		62560	116608		1		
萧贵妃	0	844	3	5	60	1	20	20	20	20	20	1		62432	111456		1		
灵洞鬼母	0	1044	0	5	80	1	20	20	20	20	20	1		59168	111968		1		
离开段智兴房间	0	2525	4	5	1	1	20	20	20	20	20	1		51168	117696		1		
离开刀皇后房间	0	2525	4	5	1	1	20	20	20	20	20	1		54848	117600		1		
离开罗雪房间	0	2525	4	5	1	1	20	20	20	20	20	1		58464	117696		1		
离开乔桑梓房间	0	2525	4	5	1	1	20	20	20	20	20	1		61952	117376		1		
离开萧贵妃房间	0	2525	4	5	1	1	20	20	20	20	20	1		62112	112256		1		
离开萧贵妃密室	0	2525	4	5	1	1	20	20	20	20	20	1		58496	112832		1		
to_guifeimishi	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_guifeimishi.txt			
to_exit11	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_exit11.txt			
to_exit12	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_exit12.txt			
to_exit13	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_exit13.txt			
to_exit14	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_exit14.txt			
to_exit15	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_exit15.txt			
to_exit16	1		3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dalifu_shinei\trap\to_exit16.txt			
婢女	0	853	3	5	60	1	20	20	20	20	20	1		55488	117024		1		
鬼母百宝箱	0	1559	3	5	1	1	20	20	20	20	20	1		58912	111392		1		
密室	0	2525	4	5	1	1	20	20	20	20	20	1		63360	111552		1		
