NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		52608	100576		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		51872	100704		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		52032	99616		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		52864	99648		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		53856	100000		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		54528	101024		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		55392	101344		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		54848	102560		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		55872	103136		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		55392	103680		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		49280	102560		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		50016	101792		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		51008	103424		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		52064	101984		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		52480	102016		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		52992	102272		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		48928	101984		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		50048	104128		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		51232	105408		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		51968	103552		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		52480	102848		1		
义军侍卫	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\daoxiangcun\npc\yijunshiwei.txt	1		
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		51296	102656		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		49344	105440		1		2
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	3		50560	98464		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		52352	106016		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		49952	100512		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		51968	105728		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		50592	101600		1		
礼官	0	2601	3	5	60	1	20	20	20	20	20	3		53088	103776		1		
叶晓钗	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
破旧箱子一	0	3578	3	5	1	1	20	20	20	20	20	3		48768	102240		1		
破旧箱子二	0	3579	3	5	1	1	20	20	20	20	20	3		48672	102496		1		
破旧箱子三	0	3580	3	5	1	1	20	20	20	20	20	3		48832	102752		1		
奇怪的箱子	0	3581	3	5	1	1	20	20	20	20	20	3		49120	101792		1		
to_yangzhoufu	1															\setting\map\map_info\daoxiangcun\trap\to_yangzhoufu.txt			
to_gaibang	1															\setting\map\map_info\daoxiangcun\trap\to_gaibang.txt			
to_meihualing	1															\setting\map\map_info\daoxiangcun\trap\to_meihualing.txt			
to_huaishuishazhou	1															\setting\map\map_info\daoxiangcun\trap\to_huaishuishazhou.txt			
to_jianjudong	1															\setting\map\map_info\daoxiangcun\trap\to_jianjudong.txt			
扬州府入口	0	2525	4	5	1	1	20	20	20	20	20	1		55584	105760		1		
丐帮入口	0	2525	4	5	1	1	20	20	20	20	20	1		53632	108640		1		
梅花岭入口	0	2525	4	5	1	1	20	20	20	20	20	1		48416	99424		1		
淮水沙洲入口	0	2525	4	5	1	1	20	20	20	20	20	1		49184	109024		1		
