NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_jianzhong	1															\setting\map\map_info\dasanguan\trap\to_jianzhong.txt			
千琼宫	0	2525	4	5	1	1	20	20	20	20	20	1		61440	106208		1		
to_fengxiangfu	1															\setting\map\map_info\dasanguan\trap\to_fengxiangfu.txt			
to_jiangeshudao	1															\setting\map\map_info\dasanguan\trap\to_jiangeshudao.txt			
to_jianmenguan	1															\setting\map\map_info\dasanguan\trap\to_jianmenguan.txt			
马贼游骑	0	2133	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\dasanguan\npc\area1.txt	1		0
铁鹞子	0	2132	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\dasanguan\npc\area2.txt	1		
铁鹞子	0	2132	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\dasanguan\npc\area3.txt	1		
西夏游兵	0	2134	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\dasanguan\npc\area4.txt	1		
凤翔府入口	0	2525	4	5	1	1	20	20	20	20	20	1		50784	107968		1		
剑阁蜀道入口	0	2525	4	5	1	1	20	20	20	20	20	1		58208	127072		1		
剑门关入口	0	2525	4	5	1	1	20	20	20	20	20	1		62496	125088		1		
苏莫扬	0	552	3	5	60	1	20	20	20	20	20	1		60064	109632		1		
李阿大	0	532	0	5	55	1	20	20	20	20	20	1		52000	107232		1		
隐匿的高手	0	836	0	5	55	1	20	20	20	20	20	1		60704	105984		1		1
隐匿的高手	0	836	0	5	55	1	20	20	20	20	20	1		60992	105440		1		1
隐匿的高手	0	836	0	5	55	1	20	20	20	20	20	1		60928	105696		1		1
隐匿的高手	0	836	0	5	55	1	20	20	20	20	20	1		61120	106976		1		1
隐匿的高手	0	836	0	5	55	1	20	20	20	20	20	1		61376	107328		1		1
隐匿的高手	0	836	0	5	55	1	20	20	20	20	20	1		61760	107264		1		1
察将军	0	1214	3	5	60	1	20	20	20	20	20	1		51616	121504		1		
蓝特使	0	1215	3	5	60	1	20	20	20	20	20	1		52032	121536		1		
护营兵	0	1216	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\dasanguan\npc\huyingbing.txt	1		
得日乐	0	1217	0	5	55	1	20	20	20	20	20	1		52064	114784		1		
完颜考	0	1803	0	5	55	1	20	20	20	20	20	1		52384	126592		1		
玫瑰红菊	0	1628	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dasanguan\npc\meiguihongju.txt			
紫牡丹	0	1629	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\dasanguan\npc\zimudan.txt			
梁乙昌	0	2999	0	5	55	1	20	20	20	20	20	16		58144	108672				
谷剑秋	0	3000	0	5	55	1	20	20	20	20	20	16		50656	124320				
顾守腾	0	3001	0	5	55	1	20	20	20	20	20	16		57120	112960				2
关天问	0	3002	0	5	55	1	20	20	20	20	20	16		59840	126336				1
to_afanggongfeixu	1															\setting\map\map_info\dasanguan\trap\to_afanggongfeixu.txt			
阿房宫废墟入口	0	2525	4	5	1	1	20	20	20	20	20	1		62592	114112		1		
