NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
唐一尘	0	959	3	5	60	1	20	20	20	20	20	1		60032	118976		1		
杨铁心	0	848	3	5	60	1	20	20	20	20	20	1		53824	118976		1		
杨铁心	0	849	3	5	60	1	20	20	20	20	20	1		58976	104000		1		
杨铁心	0	850	3	5	60	1	20	20	20	20	20	1		57056	119264		1		
杨铁心	0	849	3	5	60	1	20	20	20	20	20	1		59840	119040		1		
石轩辕	0	853	3	5	60	1	20	20	20	20	20	1		56896	119104		1		
石轩辕	0	858	3	5	60	1	20	20	20	20	20	1		60064	119264		1		
看守队长	0	1013	0	5	70	1	20	20	20	20	20	1		60192	103488		1		
迷乱的唐门弟子	0	990	0	5	70	1	20	20	20	20	20	1		61536	103488		1		
宝盒	0	1027	3	5	60	1	20	20	20	20	20	1		61696	104160		1		
被杀的唐门弟子	0	1026	3	5	60	1	20	20	20	20	20	1		61696	103776		1		
别院看守	0	1029	0	5	70	1	20	20	20	20	20	1				\setting\map\map_info\diancangshan_shinei\npc\bieyuankanshou.txt	1		
离开	0	2525	4	5	1	1	20	20	20	20	20	1		53408	119456		1		
离开	0	2525	4	5	1	1	20	20	20	20	20	1		56544	119616		1		
离开	0	2525	4	5	1	1	20	20	20	20	20	1		59264	104672		1		
离开	0	2525	4	5	1	1	20	20	20	20	20	1		59616	119712		1		
to_exit18	1															\setting\map\map_info\diancangshan_shinei\trap\to_exit18.txt			
to_exit19	1															\setting\map\map_info\diancangshan_shinei\trap\to_exit19.txt			
to_exit20	1															\setting\map\map_info\diancangshan_shinei\trap\to_exit20.txt			
to_exit7	1															\setting\map\map_info\diancangshan_shinei\trap\to_exit7.txt			
