NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
吐布卜师	0	2178	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\duanshihuangling\npc\area1.txt			
紫面武士	0	2179	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\duanshihuangling\npc\area2.txt			
吐布族人	0	2177	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\duanshihuangling\npc\area3.txt			
紫面武士	0	2179	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\duanshihuangling\npc\area4.txt			
to_diancangshan	1															\setting\map\map_info\duanshihuangling\trap\to_diancangshan.txt			
点苍山入口	0	2525	4	5	75	1	20	20	20	20	20	1		44320	113888				
虎敬晖	0	4108	3	5	75	1	20	20	20	20	20	1		45184	112640				
东侧机关总枢	0	1530	3	5	75	1	20	20	20	20	20	1		56640	106112				
西侧机关总枢	0	1547	3	5	75	1	20	20	20	20	20	1		44448	110976				
连荆泰	0	3071	0	5	75	1	20	20	20	20	20	16		40864	108064				2
凌尽忠	0	3072	0	5	75	1	20	20	20	20	20	16		49568	98848				1
荆不平	0	3073	0	5	75	1	20	20	20	20	20	16		60384	107872				
蒲十三	0	3074	0	5	75	1	20	20	20	20	20	16		49312	116832				4
西西怒	0	4426	0	5	115	1	20	20	20	20	20	1		56288	101504				1
哈噶	0	4427	0	5	115	1	20	20	20	20	20	1		56704	101984				
维克提	0	4428	0	5	115	1	20	20	20	20	20	1		56864	101312				4
