NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
物品保管人	0	2599	3	5	90	1	20	20	20	20	20	1		51040	97216		1		
兵器铺老板	0	2555	3	5	90	1	20	20	20	20	20	1		51520	100704		1		
防具铺老板	0	2556	3	5	90	1	20	20	20	20	20	1		53632	102304		1		
药铺老板	0	2557	3	5	90	1	20	20	20	20	20	1		52544	99744		1		
杂货铺老板	0	2558	3	5	90	1	20	20	20	20	20	1		54432	101248		1		
门派总管	0	2559	3	5	90	1	20	20	20	20	20	1		49664	98272		1		
门派传送人	0	2560	3	5	90	1	20	20	20	20	20	1		50240	97280		1		
无嗔师太	0	3526	3	5	90	1	20	20	20	20	20	1		47008	102400		1		0
无念师太	0	3527	3	5	90	1	20	20	20	20	20	1		45696	92672		1		
仇雪	0	3528	3	5	90	1	20	20	20	20	20	1		47136	100896		1		
凌风雁	0	3529	3	5	90	1	20	20	20	20	20	1		48256	102176		1		0
无想师太	0	3530	3	5	150	1	20	20	20	20	20	1		54912	92800		1		
赵珊	0	1490	3	5	60	1	20	20	20	20	20	1		52512	101760		1		
to_jiangjincun	1															\setting\map\map_info\emeipai\trap\to_jiangjincun.txt			
to_chengdufu	1															\setting\map\map_info\emeipai\trap\to_chengdufu.txt			
to_jiulaofeng	1															\setting\map\map_info\emeipai\trap\to_jiulaofeng.txt			
江津村入口	0	2525	4	5	1	1	20	20	20	20	20	1		45664	105984		1		
成都府入口	0	2525	4	5	1	1	20	20	20	20	20	1		49120	92704		1		
九老峰入口	0	2525	4	5	1	1	20	20	20	20	20	1		45728	95520		1		
门派传送人寻路点	0	2615	5	5	1	1	20	20	20	20	20	1		50240	97280		1		
酒楼老板	0	2631	3	5	90	1	20	20	20	20	20	1		53728	100864		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		46624	102816				2
6001	0	6001	5	5	1	1	20	20	20	20	20	1		53184	93952				
6001	0	6001	5	5	1	1	20	20	20	20	20	1		52736	94304				
6001	0	6001	5	5	1	1	20	20	20	20	20	1		52992	94208				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		52832	94112				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		52960	94240				
6004	0	6004	5	5	1	1	20	20	20	20	20	1		52704	94336				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		48576	97024				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		52160	101600				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		52768	100544				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		53152	100576				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		53632	99712				
6007	0	6007	5	5	1	1	20	20	20	20	20	1		45312	104192				
6007	0	6007	5	5	1	1	20	20	20	20	20	1		48960	92608				
6017	0	6017	5	5	1	1	20	20	20	20	20	1		48352	97184				
6017	0	6017	5	5	1	1	20	20	20	20	20	1		48832	95744				
6017	0	6017	5	5	1	1	20	20	20	20	20	1		53664	99488				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		48480	95744				
