NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
黑龙	0	2039	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\feicuihu\npc\area1.txt	1		2
毒蛇	0	2040	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\feicuihu\npc\area2.txt	1		
腾力士	0	2211	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\feicuihu\npc\area3.txt	1		
白灵	0	2212	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\feicuihu\npc\area4.txt	1		1
唐缺	0	481	3	5	90	1	20	20	20	20	20	1		53632	114912		1		4
to_tangmen	1															\setting\map\map_info\feicuihu\trap\to_tangmen.txt			
to_hupanzhulin_1	1															\setting\map\map_info\feicuihu\trap\to_hupanzhulin_1.txt			
唐门入口	0	2525	4	5	1	1	20	20	20	20	20	1		59776	102304		1		
湖畔竹林东部入口	0	2525	4	5	1	1	20	20	20	20	20	1		55264	119200		1		
唐志勇	0	4488	0	5	90	1	20	20	20	20	20	1		52384	112256		1		4
唐志健	0	4489	0	5	90	1	20	20	20	20	20	1		51840	112736		1		4
唐青杰	0	4490	0	5	90	1	20	20	20	20	20	1		52960	112256		1		4
