NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		55264	111648				
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		56160	110880				
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		56608	110432				
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		57248	110464				
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		57632	110816				
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		58784	110496				
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		61184	114016				
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		60192	114688				
木良	0	3569	3	5	60	1	20	20	20	20	20	1		58976	113376				
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		57376	112832				
公平子	0	2501	3	5	60	1	20	20	20	20	20	1		59872	109312				
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		54784	105696				2
礼官	0	2601	3	5	60	1	20	20	20	20	20	1		55040	112640				
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	1		55200	107200				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		62656	113824				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		54912	114144				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		53248	107264				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		61376	107168				
物品保管人	0	2599	3	5	60	1	20	20	20	20	20	1		56768	112992				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		62208	114336				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		54208	114176				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		53824	107840				
车夫	0	2597	3	5	60	1	20	20	20	20	20	1		61056	107808				
马贩	0	2605	3	5	60	1	20	20	20	20	20	1		52224	108640				
to_longmenzhen	1															\setting\map\map_info\fengxiangfu\trap\to_longmenzhen.txt			
to_kunlunpai	1															\setting\map\map_info\fengxiangfu\trap\to_kunlunpai.txt			
to_xixiayipintang	1															\setting\map\map_info\fengxiangfu\trap\to_xixiayipintang.txt			
to_dasanguan	1															\setting\map\map_info\fengxiangfu\trap\to_dasanguan.txt			
to_juyanze	1															\setting\map\map_info\fengxiangfu\trap\to_juyanze.txt			
to_shamomigong	1															\setting\map\map_info\fengxiangfu\trap\to_shamomigong.txt			
龙门镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		50464	102624				
昆仑派入口	0	2525	4	5	1	1	20	20	20	20	20	1		48352	104864				
西夏一品堂入口	0	2525	4	5	1	1	20	20	20	20	20	1		63008	119520				
大散关入口	0	2525	4	5	1	1	20	20	20	20	20	1		52128	118848				
居延泽入口	0	2525	4	5	1	1	20	20	20	20	20	1		64000	103552				
沙漠迷宫入口	0	2525	4	5	1	1	20	20	20	20	20	1		64384	105760				
巡检使	0	985	3	5	60	1	20	20	20	20	20	1		62528	109632		1		
李安全	0	986	3	5	60	1	20	20	20	20	20	1		62656	109536		1		
赵元靖	0	2607	3	5	60	1	20	20	20	20	20	1		57696	117664				
完颜隆旭	0	2608	3	5	60	1	20	20	20	20	20	1		61248	111456				
黄裳	0	2606	3	5	60	1	20	20	20	20	20	1		57376	105440				
费士襄	0	638	3	5	60	1	20	20	20	20	20	1		53056	112960				
云游僧人	0	2625	3	5	60	1	20	20	20	20	20	1		47232	106368				
白虎堂护卫	0	2654	3	5	60	1	20	20	20	20	20	1		58816	108448				
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		57312	112864				
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		56992	115136				
黑风	0	912	3	5	60	1	20	20	20	20	20	1		61504	108448				
呼延力	0	1859	3	5	60	1	20	20	20	20	20	1		54880	108832				
6074	0	6074	5	5	1	1	20	20	20	20	20	1		52512	107296				
6074	0	6074	5	5	1	1	20	20	20	20	20	1		63136	113856				
6083	0	6083	5	5	1	1	20	20	20	20	20	1		56928	114816				
6083	0	6083	5	5	1	1	20	20	20	20	20	1		57408	117920				
6084	0	6084	5	5	1	1	20	20	20	20	20	1		57312	118048				
6086	0	6086	5	5	1	1	20	20	20	20	20	1		56768	114816				
6089	0	6089	5	5	1	1	20	20	20	20	20	1		54208	109376				
6089	0	6089	5	5	1	1	20	20	20	20	20	1		58080	112832				
6089	0	6089	5	5	1	1	20	20	20	20	20	1		59264	112352				
6090	0	6090	5	5	1	1	20	20	20	20	20	1		55040	105536				
6090	0	6090	5	5	1	1	20	20	20	20	20	1		55488	111488				
6092	0	6092	5	5	1	1	20	20	20	20	20	1		57312	110496				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		46592	107200				
6095	0	6095	5	5	1	1	20	20	20	20	20	1		48032	107360				
6096	0	6096	5	5	1	1	20	20	20	20	20	1		55040	113248				
6098	0	6098	5	5	1	1	20	20	20	20	20	1		55872	115200				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		55296	116224				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		56864	114592				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		57184	118176				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		59584	117728				
6099	0	6099	5	5	1	1	20	20	20	20	20	1		60992	108448				
6100	0	6100	5	5	1	1	20	20	20	20	20	1		59712	117568				
