NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
熊吼	0	980	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	52928	105312		1		
巨拳兵	0	975	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\niulanzhaixianfeng.txt	1		2
to_fotang	1															\setting\map\map_info\funiushan\trap\to_fotang.txt			
牛栏寨喽啰	0	2141	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\area1.txt	1		2
牛栏寨刀手	0	2142	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\area2.txt	1		2
邪教男弟子	0	2143	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\area3.txt	1		0
邪教男弟子	0	2143	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\area4.txt	1		0
to_longmenshiku	1															\setting\map\map_info\funiushan\trap\to_longmenshiku.txt			
to_bianjingfu	1															\setting\map\map_info\funiushan\trap\to_bianjingfu.txt			
to_shugangmijing	1															\setting\map\map_info\funiushan\trap\to_shugangmijing.txt			
to_hanshuigudu	1															\setting\map\map_info\funiushan\trap\to_hanshuigudu.txt			
to_jiguandong	1															\setting\map\map_info\funiushan\trap\to_jiguandong.txt			
to_huanghelou	1															\setting\map\map_info\funiushan\trap\to_huanghelou.txt			
金矿守卫	0	570	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\jinkuangshouwei.txt	1		0
雅娴	0	578	3	5	60	1	20	20	20	20	20	1		59776	107936		1		
李裘	0	574	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	59776	106080		1		3
朱大鹏	0	573	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	57344	120736		1		
大嫂	0	609	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	53184	121824		1		
大姑	0	610	3	5	60	1	20	20	20	20	20	1		54592	121376		1		
老祖母	0	611	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	53984	120192		1		
汴京府入口	0	2525	4	5	1	1	20	20	20	20	20	1		56288	103008		1		
黄鹤楼入口	0	2525	4	5	1	1	20	20	20	20	20	1		60352	124736		1		
龙门石窟入口	0	2525	4	5	1	1	20	20	20	20	20	1		51072	104352		1		
鸡冠洞入口	0	2525	4	5	1	1	20	20	20	20	20	1		51776	116896		1		
汉水古渡入口	0	2525	4	5	1	1	20	20	20	20	20	1		56480	127040		1		
山庄	0	2525	4	5	1	1	20	20	20	20	20	1		58112	122240		1		
哨兵	0	952	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\funiushan\npc\niulanzhaishaobing.txt	1		2
机关兽	0	953	0	0	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	58720	122848		1		1
卖炭翁	0	667	3	5	60	1	20	20	20	20	20	1		52000	116896		1		
牛翠花	0	951	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt	59200	107968		1		
上官隐	0	3031	0	5	65	1	20	20	20	20	20	16		55616	104192				1
邵七刹	0	3032	0	5	65	1	20	20	20	20	20	16		51552	122816				2
施虎豹	0	3033	0	5	65	1	20	20	20	20	20	16		58752	126112				
石故桥	0	3034	0	5	65	1	20	20	20	20	20	16		59968	104960				3
to_shugangmijing	1															\setting\map\map_info\funiushan\trap\to_shugangmijing.txt			
蜀冈秘境入口	0	2525	4	5	1	1	20	20	20	20	20	1		60352	115072		1		
