NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
李元霸	0	951	0	5	65	1	20	20	20	20	20	1		50720	125824		1		1
穆小云	0	976	3	6	60	1	20	20	20	20	20	1		53632	126112		1		
屠方	0	990	0	5	65	1	20	20	20	20	20	1		57024	118976		1		1
江湖高手	0	977	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\jianghugaoshou1.txt	1		2
江湖高手	0	977	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\jianghugaoshou2.txt	1		2
江湖高手	0	977	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\jianghugaoshou3.txt	1		2
江湖高手	0	977	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\jianghugaoshou4.txt	1		2
女子	0	978	3	6	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\nvzi1.txt	1		
女子	0	978	3	6	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\nvzi2.txt	1		
女子	0	978	3	6	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\nvzi3.txt	1		
女子	0	978	3	6	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushan_shinei\npc\nvzi4.txt	1		
to_midao1	1															\setting\map\map_info\funiushan_shinei\trap\to_midao1.txt			
to_midao2	1															\setting\map\map_info\funiushan_shinei\trap\to_midao2.txt			
to_midao3	1															\setting\map\map_info\funiushan_shinei\trap\to_midao3.txt			
to_midao4	1															\setting\map\map_info\funiushan_shinei\trap\to_midao4.txt			
to_exit19	1															\setting\map\map_info\funiushan_shinei\trap\to_exit19.txt			
to_exit24	1															\setting\map\map_info\funiushan_shinei\trap\to_exit24.txt			
to_exit26	1															\setting\map\map_info\funiushan_shinei\trap\to_exit26.txt			
to_exit27	1															\setting\map\map_info\funiushan_shinei\trap\to_exit27.txt			
to_exit28	1															\setting\map\map_info\funiushan_shinei\trap\to_exit28.txt			
to_exit23	1															\setting\map\map_info\funiushan_shinei\trap\to_exit23.txt			
离开李元霸房间	0	2525	4	6	1	1	20	20	20	20	20	1		50368	126272		1		
离开佛堂	0	2525	4	6	1	1	20	20	20	20	20	1		53280	126464		1		
进入秘道	0	2525	4	6	1	1	20	20	20	20	20	1		53792	125888		1		
进入佛堂	0	2525	4	6	1	1	20	20	20	20	20	1		56064	126688		1		
离开秘道	0	2525	4	6	1	1	20	20	20	20	20	1		56448	119648		1		
离开秘道	0	2525	4	6	1	1	20	20	20	20	20	1		57536	123808		1		
离开秘道	0	2525	4	6	1	1	20	20	20	20	20	1		55200	123584		1		
进入秘道	0	2525	4	6	1	1	20	20	20	20	20	1		56576	126048		1		
进入秘道	0	2525	4	6	1	1	20	20	20	20	20	1		56064	126048		1		
进入秘道	0	2525	4	6	1	1	20	20	20	20	20	1		56704	126720		1		
秘道	0	2525	4	6	1	1	20	20	20	20	20	1		53792	125888		1		
