NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		54496	105344		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		55136	105376		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		54560	106304		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		55392	106592		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		52256	100416		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		53504	106592		1		
阿春嫂	0	4055	3	5	60	1	20	20	20	20	20	3		49184	102624		1		
八叔公	0	4056	3	5	60	1	20	20	20	20	20	3		55968	107392		1		
大通禅师	0	4049	3	5	60	1	20	20	20	20	20	3		45600	95584		1		
房少龙	0	4057	3	5	60	1	20	20	20	20	20	3		54080	95552		1		
护卫	0	4053	3	5	60	1	20	20	20	20	20	3				\setting\map\map_info\funiushanjunying\npc\huwei.txt	1		
机关巧匠	0	4058	3	5	60	1	20	20	20	20	20	3				\setting\map\map_info\funiushanjunying\npc\jiguanqiaojiang.txt	1		
戒空	0	4050	3	5	60	1	20	20	20	20	20	1		46016	95296		1		
戒妄	0	4051	3	5	60	1	20	20	20	20	20	1		46976	96832		1		
卢必克	0	4041	3	5	60	1	20	20	20	20	20	1		53024	102368		1		
农户	0	4045	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushanjunying\npc\nonghu.txt	1		
农妇	0	4046	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushanjunying\npc\nongfu.txt	1		3
商建初	0	4036	3	5	60	1	20	20	20	20	20	1		53984	93920		1		3
天机子	0	4033	3	5	60	1	20	20	20	20	20	1		53056	102816		1		3
魏其峰	0	4040	3	5	60	1	20	20	20	20	20	1		52864	104768		1		3
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	1		52640	100576		1		3
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	1		53888	106368		1		3
秀姑	0	4054	3	5	60	1	20	20	20	20	20	1		51392	108448		1		3
杨璟	0	4039	3	5	60	1	20	20	20	20	20	1		53760	103776		1		3
义军哨兵	0	4048	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushanjunying\npc\yijunshaobing.txt	1		3
义军精锐	0	4047	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\funiushanjunying\npc\yijunjingrui.txt	1		3
虞孝	0	4035	3	5	60	1	20	20	20	20	20	1		55648	99136		1		3
郑八姑	0	4038	3	5	60	1	20	20	20	20	20	1		51200	102368		1		3
徐祥鹅	0	4037	3	5	60	1	20	20	20	20	20	1		52704	102496		1		3
护院	0	4060	3	5	60	1	20	20	20	20	20	3				\setting\map\map_info\funiushanjunying\npc\huyuan.txt	1		
易凡	0	4031	3	5	60	1	20	20	20	20	20	1		46176	97408				3
易舟	0	4032	3	5	60	1	20	20	20	20	20	1		52192	97472		1		3
许三官	0	4107	3	5	60	1	20	20	20	20	20	1		49024	98176		1		3
云九娘	0	4106	3	5	60	1	20	20	20	20	20	3		55136	94112		1		
皇甫斌	0	1808	3	5	60	1	20	20	20	20	20	3		56224	98496		1		
侍卫刘五	0	1810	3	5	60	1	20	20	20	20	20	3		56064	98432		1		
毕再遇	0	1821	3	5	60	1	20	20	20	20	20	3		49408	98240		1		
捕快阿飞	0	4369	3	5	60	1	20	20	20	20	20	3		49920	97152		1		
萌萌	0	4374	3	5	150	1	20	20	20	20	20	3		53024	109408		1		
钟鸣迟暮	0	4139	3	5	150	1	20	20	20	20	20	3		52928	102240		1		
辰箫	0	4237	3	5	150	1	20	20	20	20	20	3		53120	102432		1		
速不台	0	9981	3	5	150	1	20	20	20	20	20	3		52864	102624		1		
