NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
物品保管人	0	2599	3	5	90	1	20	20	20	20	20	1		54855	98638		1		
兵器铺老板	0	11007	3	5	90	1	20	20	20	20	20	1		57385	93658		1		
防具铺老板	0	11008	3	5	90	1	20	20	20	20	20	1		56896	93946		1		
药铺老板	0	11009	3	5	90	1	20	20	20	20	20	1		56683	94183		1		
杂货铺老板	0	11010	3	5	90	1	20	20	20	20	20	1		57832	93810		1		
悠絮语	0	11011	3	5	90	1	20	20	20	20	20	1		58533	97078		1		
门派传送人	0	11012	3	5	90	1	20	20	20	20	20	1		53408	99792		1		
林烟卿	0	11014	3	5	90	1	20	20	20	20	20	1		53450	94284		1		
苏清泠	0	11017	3	5	90	1	20	20	20	20	20	1		55355	97576		1		
to_yonglezhen	1															\setting\map\map_info\gumu\trap\to_yonglezhen.txt			
永乐镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		57383	99987		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		57193	93449				2
酒楼老板	0	11016	3	5	60	1	20	20	20	20	20	1		56671	94444		1		
