NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
黄虎	0	2009	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\guzhanchang\npc\area1.txt			
幼熊	0	2010	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\guzhanchang\npc\area2.txt			
驯养的麋鹿	0	2201	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\guzhanchang\npc\area3.txt			
野生小猴	0	2202	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\guzhanchang\npc\area4.txt			
to_yunzhongzhen	1															\setting\map\map_info\guzhanchang\trap\to_yunzhongzhen.txt			
云中镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		51552	130016				
沈铁石	0	3582	3	5	60	1	20	20	20	20	20	1		55296	124032		1		
许仕伟	0	3583	3	5	60	1	20	20	20	20	20	1		55104	123840		1		
驯养的麋鹿寻路点	0	3597	5	5	1	1	20	20	20	20	20	1		54560	124576		1		
野生小猴寻路点	0	3598	5	5	1	1	20	20	20	20	20	1		54048	116128		1		
黄虎寻路点	0	3599	5	5	1	1	20	20	20	20	20	1		58496	118336		1		
幼熊寻路点	0	3600	5	5	1	1	20	20	20	20	20	1		58336	121984		1		
驯养的麋鹿寻路点1	0	4675	5	5	1	1	20	20	20	20	20	1		53088	125696		1		
驯养的麋鹿寻路点2	0	4676	5	5	1	1	20	20	20	20	20	1		52992	119520		1		
驯养的麋鹿寻路点3	0	4677	5	5	1	1	20	20	20	20	20	1		56768	120640		1
