NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_juyanze	1															\setting\map\map_info\helanshandonglu\trap\to_juyanze.txt			
居延泽入口	0	2525	4	5	1	1	20	20	20	20	20	1		47936	91136				
to_luhegu	1															\setting\map\map_info\helanshandonglu\trap\to_luhegu.txt			
鹿合谷入口	0	2525	4	5	1	1	20	20	20	20	20	1		61536	90176				
helan_safe_enter	1															\setting\map\map_info\helanshandonglu\trap\safearea01.txt			
西夏后方大营入口	0	2525	4	5	1	1	20	20	20	20	20	1		48416	94752				
helan_safe_exit	1															\setting\map\map_info\helanshandonglu\trap\safearea02.txt			
嵬名令公	0	10052	3	5	130	1	20	20	20	20	20	1		47424	94784				
任得孝	0	10053	3	5	130	1	20	20	20	20	20	1		47520	94720				
仁多唆丁	0	10054	3	5	130	1	20	20	20	20	20	1		47360	94912				
仁多保忠	0	10055	3	5	130	1	20	20	20	20	20	1		47360	95072				
苏奴儿	0	10056	3	5	130	1	20	20	20	20	20	1		47424	95200				
卫中先	0	10057	3	5	130	1	20	20	20	20	20	1		47712	94848				
黎印福	0	10058	3	5	130	1	20	20	20	20	20	1		47616	94752				
被绑的俘虏	0	10059	3	5	130	1	20	20	20	20	20	1		47968	94784				
沙湖流民	0	10060	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\helanshandonglu\npc\minions01.txt			
卫戍军军士	0	10061	0	5	125	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\helanshandonglu\npc\minions02.txt			
木柴	0	10062	3	5	130	1	20	20	20	20	20	1				\setting\map\map_info\helanshandonglu\npc\task_shumu.txt			
斧头	0	10063	3	5	130	1	20	20	20	20	20	1							
柴火堆	0	10064	3	5	130	1	20	20	20	20	20	1							
马草	0	10065	3	5	130	1	20	20	20	20	20	1				\setting\map\map_info\helanshandonglu\npc\task_macao.txt			
树洞	0	10092	3	5	130	1	20	20	20	20	20	1		53856	98432				
砖头	0	10093	3	5	130	1	20	20	20	20	20	1		48704	96576				
李云瑶	0	10051	3	5	130	1	20	20	20	20	20	1		48256	95648				
拓跋暮云	0	10049	3	5	130	1	20	20	20	20	20	1		48320	95584				
冶炼大师	0	3574	3	5	130	1	20	20	20	20	20	1		48416	95616				
药商	0	10036	3	5	130	1	20	20	20	20	20	1		48224	95808				
车夫	0	2597	3	5	130	1	20	20	20	20	20	1		48000	95808				
物品保管人	0	2599	3	5	130	1	20	20	20	20	20	1		47840	95712				
