NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
万里达	0	6512	3	5	150	1	20	20	20	20	20	1		46816	105504				
万禄	0	6515	3	5	150	1	20	20	20	20	20	1		51232	101536				
侍女	0	6521	3	5	150	1	20	20	20	20	20	1		49248	100416				
侍女	0	6521	3	5	150	1	20	20	20	20	20	1		47520	104992				
侍女	0	6521	3	5	150	1	20	20	20	20	20	1		47136	104992				
侍女	0	6522	3	5	150	1	20	20	20	20	20	1		47424	104800				
侍女	0	6522	3	5	150	1	20	20	20	20	20	1		47232	105248				
侍女	0	6523	3	5	150	1	20	20	20	20	20	1		47232	104800				
侍女	0	6523	3	5	150	1	20	20	20	20	20	1		47424	105248				
侍女	0	6524	3	5	150	1	20	20	20	20	20	1		50336	98976				
侍女	0	6524	3	5	150	1	20	20	20	20	20	1		52160	103968				
侍女	0	6525	3	5	150	1	20	20	20	20	20	1				\setting\map\map_info\hl_yl_guizu\npc\meinv.txt			
家仆	0	6526	3	5	150	1	20	20	20	20	20	1		48288	104064				
家仆	0	6527	3	5	150	1	20	20	20	20	20	1		49088	104640				
家仆	0	6528	3	5	150	1	20	20	20	20	20	1		48864	104608				
