NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
吕丰年	0	9681	3	5	35	1	20	20	20	20	20	1		58528	105600		1		
物品保管人	0	2599	3	5	35	1	20	20	20	20	20	1		57696	107520		1		
冶炼大师	0	3574	3	5	35	1	20	20	20	20	20	1		55392	107808		1		
路程飞	0	9625	3	5	35	1	20	20	20	20	20	1		56864	107520		1		
马穿山	0	2955	3	5	60	1	20	20	20	20	20	1		57184	107968		1		
夏菲烟	0	6792	3	5	35	1	20	20	20	20	20	1		55744	107808		1		
公告板	0	9886	3	5	35	1	20	20	20	20	20	1		58304	105696		1		
酒楼老板	0	3566	3	5	35	1	20	20	20	20	20	1		57280	106976		1		
药商	0	9636	3	5	35	1	20	20	20	20	20	1		57088	107232		1		
夏语荷	0	10235	3	5	35	1	20	20	20	20	20	1		57504	107808		1		
to_fight	1															\setting\map\map_info\homeland_lv1\trap\to_fight.txt			
to_peace	1															\setting\map\map_info\homeland_lv1\trap\to_peace.txt			
萧汜	0	11132	3	5	100	1	20	20	20	20	20	1		62240	104512		1		
