NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
to_mayigu	1															\setting\map\map_info\huanhuaxi\trap\to_mayigu.txt			
to_danqingsheng	1															\setting\map\map_info\huanhuaxi\trap\to_danqingsheng.txt			
吴家枪兵	0	2123	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\area1.txt	1		
吴家枪兵	0	2123	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\area3.txt	1		
吴家刀兵	0	2124	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\area2.txt	1		
响水死士	0	2125	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\area4.txt	1		0
大白蛇	0	533	0	5	55	1	20	20	20	20	20	2	\setting\npc\droprate\droprate006.txt	55552	103392		1		
to_chengdufu	1															\setting\map\map_info\huanhuaxi\trap\to_chengdufu.txt			
to_erhaimoyan	1															\setting\map\map_info\huanhuaxi\trap\to_erhaimoyan.txt			
to_xiangshuidong	1															\setting\map\map_info\huanhuaxi\trap\to_xiangshuidong.txt			
to_kunlunpai	1															\setting\map\map_info\huanhuaxi\trap\to_kunlunpai.txt			
成都府入口	0	2525	4	5	1	1	20	20	20	20	20	1		63488	113664		1		
洱海摩岩入口	0	2525	4	5	1	1	20	20	20	20	20	1		53024	128256		1		
响水洞入口	0	2525	4	5	1	1	20	20	20	20	20	1		57344	103968		1		
昆仑派入口	0	2525	4	5	1	1	20	20	20	20	20	1		54464	103104		1		
飞龙谷	0	2525	4	5	1	1	20	20	20	20	20	1		60960	100960		1		
隐者小屋	0	2525	4	5	1	1	20	20	20	20	20	1		54336	113376		1		
红枪侍卫	0	828	0	5	55	1	20	20	20	20	20	2	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\zhaofushiwei.txt	1		0
云小刀	0	1208	3	5	60	1	20	20	20	20	20	1		58752	104800		1		1
阿福	0	1211	3	5	60	1	20	20	20	20	20	1		58880	127040		1		
新兵教头	0	537	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt	58272	122336		1		
新兵	0	538	0	0	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\xinbing.txt	1		
长枪兵	0	539	0	5	55	1	20	20	20	20	20	1	\setting\npc\droprate\droprate006.txt			\setting\map\map_info\huanhuaxi\npc\changqiangbing.txt	1		
七彩石	0	1635	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\huanhuaxi\npc\qicaishi.txt			
枪贼	0	2968	0	5	55	1	20	20	20	20	20	1				\setting\map\map_info\huanhuaxi\npc\qiangzei.txt			1
秦孜游	0	3011	0	5	55	1	20	20	20	20	20	16		61824	125696				4
屈向荣	0	3012	0	5	55	1	20	20	20	20	20	16		61600	103296				0
任苍穹	0	3013	0	5	55	1	20	20	20	20	20	16		51392	106592				1
桑沧海	0	3014	0	5	55	1	20	20	20	20	20	16		55072	127872				3
