NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
唐一尘	0	689	3	5	60	1	20	20	20	20	20	1		54880	105280		1		
唐缺	0	690	3	5	90	1	20	20	20	20	20	1		54976	105184		1		
唐鹤	0	691	3	5	90	1	20	20	20	20	20	1		54784	105376		1		
行凶者	0	708	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\xingxiongzhe.txt	1		
猎户	0	713	3	5	60	1	20	20	20	20	20	1		59520	109792		1		
唐一尘	0	717	3	5	60	1	20	20	20	20	20	1		51680	102368		1		
唐缺	0	718	3	5	90	1	20	20	20	20	20	1		51776	102400		1		
唐晓	0	719	3	5	150	1	20	20	20	20	20	1		51584	102432		1		
唐如	0	720	3	5	90	1	20	20	20	20	20	1		51872	102336		1		
唐遇	0	721	3	5	90	1	20	20	20	20	20	1		51488	102400		1		
麋鹿	0	724	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\milu.txt	1		
猛虎	0	725	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\menghu.txt	1		
狗熊	0	726	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\gouxiong.txt	1		
缺字刀客	0	728	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\quezidaoke.txt	1		
赤衣卫	0	729	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\chiyiwei.txt	1		
唐门四毒	0	732	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\tangmensidu.txt	1		2
精锐剑士	0	737	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\wuyijianshi.txt	1		
剑士头目	0	740	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\jianshitouling.txt	1		
装满火药的大车	0	1561	3	5	1	1	20	20	20	20	20	1				\setting\map\map_info\hupanzhulin_1\npc\dache.txt	1		
殷野	0	489	3	5	60	1	20	20	20	20	20	1		56352	115776		1		
唐遇	0	492	3	5	60	1	20	20	20	20	20	1		58208	109056		1		
唐飞	0	493	3	5	60	1	20	20	20	20	20	1		58528	109312		1		
唐武	0	494	3	5	60	1	20	20	20	20	20	1		58432	109472		1		
唐重楼	0	495	3	5	60	1	20	20	20	20	20	1		58336	109600		1		
唐重岚	0	496	3	5	60	1	20	20	20	20	20	1		54048	114624		1		
唐如	0	497	3	5	90	1	20	20	20	20	20	1		58304	108928		1		
洞虚真人	0	498	3	5	90	1	20	20	20	20	20	1		59456	107712		1		
阴剑士	0	499	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	58912	107104		1		0
阳剑士	0	500	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	58528	107552		1		2
乾坤护法	0	501	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\qiankunhufa.txt	1		
人偶剑士	0	502	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\renoujianshi.txt	1		0
唐元隐	0	504	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt	53952	116064		1		
洒云手	0	1539	3	5	35	1	20	20	20	20	20	1		52512	115712		1		
陈年竹叶青	0	1540	3	5	35	1	20	20	20	20	20	1		50528	112512		1		
唐远	0	1606	3	5	60	1	20	20	20	20	20	1		56864	116608		1		
行凶者头目	0	1409	0	5	35	1	20	20	20	20	20	2	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\xingxiongzhet.txt	1		
唐门弟子	0	1410	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\hupanzhulin_1\npc\tangmendizi.txt	1		
去西厢	0	2525	4	5	1	1	20	20	20	20	20	1		49952	113248		1		
去别雅小筑正厅	0	2525	4	5	1	1	20	20	20	20	20	1		50240	113792		1		
去拙者居	0	2525	4	5	1	1	20	20	20	20	20	1		54144	109376		1		
去布衣阁	0	2525	4	5	1	1	20	20	20	20	20	1		58528	108832		1		
去见龙洞	0	2525	4	5	1	1	20	20	20	20	20	1		46112	109728		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		58144	109280				2
to_xixiang	1															\setting\map\map_info\hupanzhulin_1\trap\to_xixiang.txt			
to_zhengting	1															\setting\map\map_info\hupanzhulin_1\trap\to_zhengting.txt			
to_zhuozheju	1															\setting\map\map_info\hupanzhulin_1\trap\to_zhuozheju.txt			
to_buyige	1															\setting\map\map_info\hupanzhulin_1\trap\to_buyige.txt			
to_jianlongdong	1															\setting\map\map_info\hupanzhulin_1\trap\to_jianlongdong.txt			
to_liechang	1															\setting\map\map_info\hupanzhulin_1\trap\to_liechang.txt			
乌衣剑士	0	2228	0	5	35	1	20	20	20	20	20	1	\setting\npc\droprate\droprate004.txt			\setting\map\map_info\hupanzhulin_1\npc\area1.txt	1		1
