NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		47552	99264		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		48928	98048		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		48160	99552		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		47808	100480		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		47040	100896		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		46720	101600		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		47968	101632		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		48480	102528		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		49280	102656		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		49568	103776		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		50240	99968		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		49824	99104		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		50784	98816		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		51264	98432		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		51936	99072		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		50976	100832		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		52512	100032		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		49408	100640		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		50816	102016		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		51104	99712		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		51488	101248		1		
义军侍卫	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\jiangjincun\npc\yijunshiwei.txt	1		
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		52384	99136		1		
船夫	0	2598	3	5	60	1	20	20	20	20	20	3		58112	116576		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		53792	98880		1		2
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	3		51104	92928		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		52416	100992		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		50688	96736		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		51808	100736		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		50208	97152		1		
礼官	0	2601	3	5	60	1	20	20	20	20	20	3		51328	96640		1		
叶晓钗	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
破旧箱子一	0	3578	3	5	1	1	20	20	20	20	20	3		52320	100320		1		
破旧箱子二	0	3579	3	5	1	1	20	20	20	20	20	3		52192	100192		1		
破旧箱子三	0	3580	3	5	1	1	20	20	20	20	20	3		52064	100064		1		
奇怪的箱子	0	3581	3	5	1	1	20	20	20	20	20	3		52384	99712		1		
船夫	0	2598	3	5	60	1	20	20	20	20	20	3		52224	103136		1		
to_chengdufu	1															\setting\map\map_info\jiangjincun\trap\to_chengdufu.txt			
to_emeipai	1															\setting\map\map_info\jiangjincun\trap\to_emeipai.txt			
to_tangmen	1															\setting\map\map_info\jiangjincun\trap\to_tangmen.txt			
to_changjianghegu	1															\setting\map\map_info\jiangjincun\trap\to_changjianghegu.txt			
to_shunanzhuhai	1															\setting\map\map_info\jiangjincun\trap\to_shunanzhuhai.txt			
成都府入口	0	2525	4	5	1	1	20	20	20	20	20	1		49248	95040		1		
峨嵋派入口	0	2525	4	5	1	1	20	20	20	20	20	1		46784	98112		1		
唐门入口	0	2525	4	5	1	1	20	20	20	20	20	1		46368	100224		1		
长江河谷入口	0	2525	4	5	1	1	20	20	20	20	20	1		49696	105184		1		
蜀南竹海入口	0	2525	4	5	1	1	20	20	20	20	20	1		48288	104416		1		
菱花爷爷	0	530	3	5	60	1	20	20	20	20	20	3		48416	96256		1		
段修静	0	3480	3	5	30	1	20	20	20	20	20	1		50304	102368		1		
童凌	0	3474	3	5	30	1	20	20	20	20	20	1		51232	102336		1		
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		52512	99264		1		
古枫霞	0	3601	3	5	60	1	20	20	20	20	20	1		51648	99680		1		3
6000	0	6000	5	5	1	1	20	20	20	20	20	1		50144	102368				
6000	0	6000	5	5	1	1	20	20	20	20	20	1		50432	102080				
6001	0	6001	5	5	1	1	20	20	20	20	20	1		50816	102496				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		50592	102496				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		47008	99360				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		47136	98208				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		48640	103488				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		49888	95616				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		49888	104960				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		52832	96384				
6018	0	6018	5	5	1	1	20	20	20	20	20	1		54432	99840				
6019	0	6019	5	5	1	1	20	20	20	20	20	1		49824	103904				
流浪商人	0	6043	5	5	1	1	20	20	20	20	20	1		52960	100736				
孙蒙	0	6051	5	5	1	1	20	20	20	20	20	1		52672	102720				
李月月	0	6080	5	5	1	1	20	20	20	20	20	1		48608	96544				
蒋楠楠	0	6081	5	5	1	1	20	20	20	20	20	1		49024	97120				
6111	0	6111	5	5	1	1	20	20	20	20	20	1		47360	100768				
小舞	0	6110	5	5	1	1	20	20	20	20	20	1		52576	94272				
小邪	0	6112	5	5	1	1	20	20	20	20	20	1		52448	94144				
6112	0	6112	5	5	1	1	20	20	20	20	20	1		48672	102720				
