NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
守台弟子	0	145	3	5	60	1	20	20	20	20	20	1		53024	115552		1		
谢雨田	0	146	3	5	90	1	20	20	20	20	20	1		53568	114592		1		
荒衡子	0	147	3	5	60	1	20	20	20	20	20	1		53440	114496		1		
飞光子	0	149	3	5	60	1	20	20	20	20	20	1		53248	114688		1		
龙叫天	0	150	3	5	60	1	20	20	20	20	20	1		53056	114880		1		
绝尘子	0	151	3	5	60	1	20	20	20	20	20	1		53152	114784		1		
拔山子	0	152	3	5	60	1	20	20	20	20	20	1		53344	114592		1		
飘萍剑客	0	153	3	5	60	1	20	20	20	20	20	1		56736	110208		1		
巡山弟子	0	163	3	5	60	1	20	20	20	20	20	1		56928	110944		1		
守关武士	0	164	3	5	60	1	20	20	20	20	20	1		55008	106144		1		
西夏武士	0	164	3	5	60	1	20	20	20	20	20	1		57152	118080		1		
西夏武士	0	164	3	5	60	1	20	20	20	20	20	1		57280	117920		1		
马贼	0	165	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\mazei.txt	1		
谢松崖	0	166	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	55008	104672		1		0
娄西范	0	167	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	54912	105216		1		1
洗海清	0	168	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	54848	104192		1		2
余长恨	0	169	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	55328	104800		1		3
剑卫	0	170	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	55968	103296		1		0
刀卫	0	171	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	55584	103232		1		1
枪卫	0	172	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	55904	103808		1		3
拳卫	0	173	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	55488	103744		1		0
飘萍剑客	0	174	3	5	60	1	20	20	20	20	20	1		57760	104768		1		
一品堂铁卫	0	178	3	5	60	1	20	20	20	20	20	1		56224	102240		1		0
马贼头领	0	179	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\mazeishuoling.txt	1		
一品堂武士	0	180	3	5	60	1	20	20	20	20	20	1		56096	109536		1		1
谢雨田	0	372	3	5	90	1	20	20	20	20	20	1		52704	104480		1		
齐四	0	373	3	5	60	1	20	20	20	20	20	1		52000	106688		1		
慕容老八	0	374	3	5	60	1	20	20	20	20	20	1		54016	103296		1		2
薛百策	0	375	3	5	60	1	20	20	20	20	20	1		54016	105888		1		
叶佩佩	0	376	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	52192	108896		1		
殷婆婆	0	379	3	5	60	1	20	20	20	20	20	1		59488	114944		1		
游青素	0	381	3	5	60	1	20	20	20	20	20	1		56288	110656		1		
护坟左将	0	383	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	59360	105856		1		
护坟右将	0	384	0	5	25	1	20	20	20	20	20	2	\setting\npc\droprate\droprate003.txt	59424	105472		1		
巡夜人	0	385	3	5	60	1	20	20	20	20	20	1		52384	111680		1		
昆仑派弟子	0	1450	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\jianxingfeng\npc\kunlundizi.txt	1		
带刀人	0	1452	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\daidaoren.txt			
雪猿	0	1453	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\xueyuan.txt			
雪山派女弟子	0	1454	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\nvdizi.txt			
谢雨田的信	0	1546	3	5	1	1	20	20	20	20	20	1		59712	106080		1		
石像第一重	0	1573	3	5	1	1	20	20	20	20	20	1		57312	104640		1		
石像第二重	0	1574	3	5	1	1	20	20	20	20	20	1		57152	105344		1		
石像第三重	0	1575	3	5	60	1	20	20	20	20	20	1		57760	105664		1		
去阴山别院	0	2525	4	5	1	1	20	20	20	20	20	1		56416	110432		1		
去巡夜人的小屋	0	2525	4	5	1	1	20	20	20	20	20	1		52416	111552		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	1		56608	110720				2
to_yinshan	1															\setting\map\map_info\jianxingfeng\trap\to_yinshan.txt			
参客	0	2051	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\area1.txt			1
无名刀客	0	2052	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\area2.txt			1
雪山派除名弟子	0	2053	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\area3.txt			
老迈的雪猿	0	2223	0	5	25	1	20	20	20	20	20	1	\setting\npc\droprate\droprate003.txt			\setting\map\map_info\jianxingfeng\npc\area4.txt			
to_kunlunpai	1															\setting\map\map_info\jianxingfeng\trap\to_kunlunpai.txt			
to_bingxuemigong_1	1															\setting\map\map_info\jianxingfeng\trap\to_bingxuemigong_1.txt			
昆仑派入口	0	2525	4	5	1	1	20	20	20	20	20	1		60416	119296		1		
冰穴迷宫一层入口	0	2525	4	5	1	1	20	20	20	20	20	1		60224	109952		1		
常青松	0	4582	3	5	1	1	20	20	20	20	20	1		59360	115680		1		
常青松	0	4582	3	5	1	1	20	20	20	20	20	1		59104	116576		1		
常青松	0	4582	3	5	1	1	20	20	20	20	20	1		58944	116448		1		
常青松	0	4582	3	5	1	1	20	20	20	20	20	1		59232	116928		1		
常青松	0	4582	3	5	1	1	20	20	20	20	20	1		59200	117344		1		
麻衣神相	0	4594	3	5	130	1	20	20	20	20	20	1		56576	106784		1		
异兽	0	4595	0	5	130	1	20	20	20	20	20	1		60000	103584		1		
夜明珠	0	4596	3	5	1	1	20	20	20	20	20	1		60192	103552		1		
to_fight	1															\setting\map\map_info\jianxingfeng\trap\to_fight.txt			
to_peace	1															\setting\map\map_info\jianxingfeng\trap\to_peace.txt			
药商	0	9636	3	5	60	1	20	20	20	20	20	1		56608	110304				2
