NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
狂风沙	0	3111	0	5	95	1	20	20	20	20	20	16		47648	92864				3
马万虬	0	3112	0	5	95	1	20	20	20	20	20	16		48384	101664				2
哥舒漠	0	3113	0	5	95	1	20	20	20	20	20	16		52544	104544				1
楚飞鹰	0	3114	0	5	95	1	20	20	20	20	20	16		56928	93472				0
to_longmenzhen	1															\setting\map\map_info\jiayuguan\trap\to_longmenzhen.txt			
to_juyanze	1															\setting\map\map_info\jiayuguan\trap\to_juyanze.txt			
龙门镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		57536	103584		1		
居延泽入口	0	2525	4	5	1	1	20	20	20	20	20	1		57408	99072		1		
西夏军士 	0	2257	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\jiayuguan\npc\area1.txt			
秘部士兵	0	2258	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\jiayuguan\npc\area2.txt			
嘉峪关守军	0	2259	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\jiayuguan\npc\area3.txt			
塞外嚎狼	0	2260	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\jiayuguan\npc\area4.txt			
李安全的军士	0	1860	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\jiayuguan\npc\junshi.txt			
李安全的死士	0	1861	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt			\setting\map\map_info\jiayuguan\npc\sishi.txt			
李安全	0	1865	3	5	150	1	20	20	20	20	20	1		50656	98208		1		
道士玄合	0	1868	3	5	150	1	20	20	20	20	20	1		50528	98304		1		
西夏樵夫	0	1862	3	5	60	1	20	20	20	20	20	1		54624	94432		1		
西夏村姑	0	1863	3	5	60	1	20	20	20	20	20	1		55232	93920		1		
西夏马贩	0	1864	3	5	60	1	20	20	20	20	20	1		54912	94208		1		
神秘部队首领	0	1870	0	5	95	1	20	20	20	20	20	3	\setting\npc\droprate\droprate010.txt	56864	103680				
崔瞎子	0	1867	3	5	90	1	20	20	20	20	20	1		54272	96288		1		
楠木首饰盒	0	1645	3	5	90	1	20	20	20	20	20	1		48768	100000		1		
to_dunhuanggucheng	1															\setting\map\map_info\jiayuguan\trap\to_dunhuanggucheng.txt			
敦煌古城入口	0	2525	4	5	1	1	20	20	20	20	20	1		45600	103168		1		
to_mengguwangting	1															\setting\map\map_info\jiayuguan\trap\to_mengguwangting.txt			
蒙古王庭入口	0	2525	4	5	1	1	20	20	20	20	20	1		56736	92064		1		
to_yueyaquan	1															\setting\map\map_info\jiayuguan\trap\to_yueyaquan.txt			
月牙泉入口	0	2525	4	5	1	1	20	20	20	20	20	1		46656	95136		1		
