NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
黄虎	0	2009	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\junmachang\npc\area1.txt	1		
幼熊	0	2010	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\junmachang\npc\area2.txt	1		
驯养的麋鹿	0	2201	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\junmachang\npc\area3.txt	1		
野生小猴	0	2202	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\junmachang\npc\area4.txt	1		
to_yonglezhen	1															\setting\map\map_info\junmachang\trap\to_yonglezhen.txt			
永乐镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		51072	127392		1		
沈铁石	0	3582	3	5	60	1	20	20	20	20	20	1		55968	117312		1		
许仕伟	0	3583	3	5	60	1	20	20	20	20	20	1		56256	117088		1		
驯养的麋鹿寻路点	0	3597	5	5	1	1	20	20	20	20	20	1		53376	117984		1		
野生小猴寻路点	0	3598	5	5	1	1	20	20	20	20	20	1		55360	108576		1		
黄虎寻路点	0	3599	5	5	1	1	20	20	20	20	20	1		61536	106816		1		
幼熊寻路点	0	3600	5	5	1	1	20	20	20	20	20	1		62944	122752		1		
驯养的麋鹿寻路点1	0	4675	5	5	1	1	20	20	20	20	20	1		56384	118784		1		
驯养的麋鹿寻路点2	0	4676	5	5	1	1	20	20	20	20	20	1		59136	115776		1		
驯养的麋鹿寻路点3	0	4677	5	5	1	1	20	20	20	20	20	1		55296	128384		1		
