NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
庄园看守	0	840	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\zhuangyuankanshou.txt	1		4
飞枪手	0	841	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\feiqiangshou.txt	1		0
to_liangxianglin	1															\setting\map\map_info\juyanze\trap\to_liangxianglin.txt			
横山虎骑	0	2154	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\area2.txt			2
横山鹰骑	0	2155	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\area3.txt			
横山羌步兵	0	2153	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\area4.txt			
to_shamomigong	1															\setting\map\map_info\juyanze\trap\to_shamomigong.txt			
to_mengguwangting	1															\setting\map\map_info\juyanze\trap\to_mengguwangting.txt			
to_jiayuguan	1															\setting\map\map_info\juyanze\trap\to_jiayuguan.txt			
to_fengxiangfu	1															\setting\map\map_info\juyanze\trap\to_fengxiangfu.txt			
to_dufang	1															\setting\map\map_info\juyanze\trap\to_dufang.txt			
to_lubing	1															\setting\map\map_info\juyanze\trap\to_lubing.txt			
帅帐	0	2525	4	5	1	1	20	20	20	20	20	1		55744	122400		1		
沙漠迷宫入口	0	2525	4	5	1	1	20	20	20	20	20	1		63584	115488				
凤翔府入口	0	2525	4	5	1	1	20	20	20	20	20	1		51072	126144				
扎营兵	0	581	0	5	65	1	20	20	20	20	20	2	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\zhayingbing.txt	1		4
忘归赌坊	0	2525	4	5	1	1	20	20	20	20	20	1		61728	104128		1		
营帐	0	2525	4	5	1	1	20	20	20	20	20	1		59808	111680		1		
郭正	0	972	3	5	65	1	20	20	20	20	20	1		51200	109056		1		
小樱	0	839	3	5	65	1	20	20	20	20	20	1		52736	117760		1		
也暮光	0	842	0	5	65	1	20	20	20	20	20	1		53376	125696		1		
追风	0	843	0	5	65	1	20	20	20	20	20	1		58240	125184		1		
马贼旗手	0	854	0	5	65	1	20	20	20	20	20	1		52320	125600		1		
云大刀	0	846	3	5	65	1	20	20	20	20	20	1		61152	104640		1		
马伯乐	0	865	3	5	65	1	20	20	20	20	20	1		60800	105824		1		
被擒的马贼	0	889	3	5	65	1	20	20	20	20	20	1		54752	123424		1		
马王	0	587	0	5	65	1	20	20	20	20	20	1		53440	106560		1		
马王	0	587	0	5	65	1	20	20	20	20	20	1		53952	105824		1		
马王	0	587	0	5	65	1	20	20	20	20	20	1		52256	107200		1		
马王	0	587	0	5	65	1	20	20	20	20	20	1		55904	108928		1		
老醉头	0	571	3	5	65	1	20	20	20	20	20	1		61952	104544		1		
弄蛇人	0	598	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\nongsheren.txt			
碧蛇	0	595	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\bishe.txt			
迅狼	0	594	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\xunlang.txt			
小默尔	0	602	3	5	65	1	20	20	20	20	20	1		60800	119168		1		
大默尔	0	603	3	5	65	1	20	20	20	20	20	1		60480	106592		1		
老醉头的酒糟	0	1242	3	5	65	1	20	20	20	20	20	1		61952	104704		1		
土狗	0	622	0	5	65	1	20	20	20	20	20	1	\setting\npc\droprate\droprate007.txt			\setting\map\map_info\juyanze\npc\tugou.txt			
娄继善	0	3027	0	5	65	1	20	20	20	20	20	16		51360	121216				4
卢贯北	0	3028	0	5	65	1	20	20	20	20	20	16		54816	104000				2
陆仲贤	0	3029	0	5	65	1	20	20	20	20	20	16		63456	119168				3
骆尔金	0	3030	0	5	65	1	20	20	20	20	20	16		54912	119872				0
嘉峪关入口	0	2525	4	5	1	1	20	20	20	20	20	1		50976	117184				
to_mengguwangting	1															\setting\map\map_info\juyanze\trap\to_mengguwangting.txt			
蒙古王庭入口	0	2525	4	5	1	1	20	20	20	20	20	1		63680	103904				
to_helanshandonglu	1															\setting\map\map_info\juyanze\trap\to_helanshandonglu.txt			
贺兰山东麓入口	0	2525	4	5	1	1	20	20	20	20	20	1		56768	127584				
to_keyimenyaoai	1															\setting\map\map_info\juyanze\trap\to_keyimenyaoai.txt			
克夷门要隘入口	0	2525	4	5	1	1	20	20	20	20	20	1		63552	126176				
