NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
行山虎	0	2330	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\liangshanpo\npc\area1.txt	1		1
行山兽	0	2331	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\liangshanpo\npc\area2.txt	1		0
赤脚山客	0	2332	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\liangshanpo\npc\area3.txt	1		4
蛮锤	0	2333	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\liangshanpo\npc\area4.txt	1		0
to_dayutai	1															\setting\map\map_info\liangshanpo\trap\to_dayutai.txt			
to_jianjudong	1															\setting\map\map_info\liangshanpo\trap\to_jianjudong.txt			
to_shugangmijing	1															\setting\map\map_info\liangshanpo\trap\to_shugangmijing.txt			
to_tianrenjiao	1															\setting\map\map_info\liangshanpo\trap\to_tianrenjiao.txt			
大禹台入口	0	2525	4	5	1	1	20	20	20	20	20	1		50080	112032		1		
荐菊洞入口	0	2525	4	5	1	1	20	20	20	20	20	1		56864	120416		1		
蜀冈秘境入口	0	2525	4	5	1	1	20	20	20	20	20	1		50048	122048		1		
天忍教入口	0	2525	4	5	1	1	20	20	20	20	20	1		49984	105536		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		56320	103104		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		56032	102976		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		55840	103200		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		55776	102816		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		55616	103008		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		55872	103488		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		55904	104000		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		56256	103008		1		
护宝守卫	0	5051	0	5	1	1	20	20	20	20	20	1		55776	102656		1		
紫寰	0	5072	3	5	120	1	20	20	20	20	20	1		60352	104000		1		
坟包	0	5073	3	5	1	1	20	20	20	20	20	1		58304	101984		1		
胡汉五	0	5074	0	5	120	1	20	20	20	20	20	1		61088	101664		1		
墓碑	0	5079	3	5	1	1	20	20	20	20	20	1		58240	102016		1		
郭保财	0	4617	0	5	130	1	20	20	20	20	20	1		62944	100928		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		54496	108384		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		54880	108512		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		55040	108480		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		55456	109152		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		55584	109344		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		59840	121728				
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		59808	121280				
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		60192	121408				
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		60000	118464				
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		60288	121824				
灵壁泊入口	0	2525	4	5	1	1	20	20	20	20	20	1		63904	100736		1		
to_lingbipo	1															\setting\map\map_info\liangshanpo\trap\to_lingbipo.txt			
血罗门·湖入口	0	2525	4	5	1	1	20	20	20	20	20	1		55264	103552		1		
to_xueluomenhu1	1															\setting\map\map_info\liangshanpo\trap\to_xueluomenhu1.txt			
血罗门·湖入口	0	2525	4	5	1	1	20	20	20	20	20	1		56544	103872		1		
to_xueluomenhu2	1															\setting\map\map_info\liangshanpo\trap\to_xueluomenhu2.txt			
血罗门·海入口	0	2525	4	5	1	1	20	20	20	20	20	1		57792	115680		1		
to_xueluomenhai1	1															\setting\map\map_info\liangshanpo\trap\to_xueluomenhai1.txt			
血罗门·海入口	0	2525	4	5	1	1	20	20	20	20	20	1		61184	117600		1		
to_xueluomenhai2	1															\setting\map\map_info\liangshanpo\trap\to_xueluomenhai2.txt			
