NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
苏放	0	826	0	5	60	1	20	20	20	20	20	1		62592	116480		1		
赵汝愚	0	813	3	5	60	1	20	20	20	20	20	3		51680	116768		1		0
赵盛	0	827	3	5	90	1	20	20	20	20	20	3		51808	116896		1		
韩侂胄	0	556	3	5	60	1	20	20	20	20	20	1		55488	116832		1		
李凤娘	0	950	3	5	60	1	20	20	20	20	20	1		51840	111840		1		
to_exit7	1															\setting\map\map_info\linanfu_shinei\trap\to_exit7.txt			
李后侍卫	0	949	0	5	70	1	20	20	20	20	20	1				\setting\map\map_info\linanfu_shinei\npc\wudujiaogaoshou.txt	1		
to_exit8	1															\setting\map\map_info\linanfu_shinei\trap\to_exit8.txt			
to_exit9	1															\setting\map\map_info\linanfu_shinei\trap\to_exit9.txt			
to_exit10	1															\setting\map\map_info\linanfu_shinei\trap\to_exit10.txt			
to_exit11	1															\setting\map\map_info\linanfu_shinei\trap\to_exit11.txt			
to_exit12	1															\setting\map\map_info\linanfu_shinei\trap\to_exit12.txt			
to_exit13	1															\setting\map\map_info\linanfu_shinei\trap\to_exit13.txt			
to_exit14	1															\setting\map\map_info\linanfu_shinei\trap\to_exit14.txt			
to_exit15	1															\setting\map\map_info\linanfu_shinei\trap\to_exit15.txt			
to_exit16	1															\setting\map\map_info\linanfu_shinei\trap\to_exit16.txt			
石轩辕	0	1185	0	0	150	1	20	20	20	20	20	1		50944	112544		1		
杨铁心	0	1184	0	0	150	1	20	20	20	20	20	1		51296	112896		1		
赵汝愚	0	1195	3	5	60	1	20	20	20	20	20	3		55392	111904		1		0
赵汝愚	0	832	3	5	60	1	20	20	20	20	20	3		58784	116896		1		
韩侂胄	0	1187	3	5	60	1	20	20	20	20	20	3		58880	116704		1		
韩侂胄	0	1194	3	5	60	1	20	20	20	20	20	3		55712	112224		1		
韩侂胄	0	1201	3	5	60	1	20	20	20	20	20	3		62240	107168		1		
留正	0	1200	3	5	60	1	20	20	20	20	20	3		58944	107392		1		
留正	0	1189	3	5	60	1	20	20	20	20	20	3		59200	116928		1		
郭节	0	1196	3	5	60	1	20	20	20	20	20	3		62592	111392		1		
赵淳	0	1182	3	5	60	1	20	20	20	20	20	3		59136	107296		1		
大臣	0	1197	3	5	60	1	20	20	20	20	20	3		55232	112128		1		
大臣	0	1197	3	5	60	1	20	20	20	20	20	3		55136	112256		1		
大臣	0	1197	3	5	60	1	20	20	20	20	20	3		55328	112032		1		
大臣	0	1197	3	5	60	1	20	20	20	20	20	3		55648	112352		1		
大臣	0	1197	3	5	60	1	20	20	20	20	20	3		55488	112640		1		
离开灵隐寺	0	2525	4	5	1	1	20	20	20	20	20	1		51040	112960		1		
离开赵府大厅	0	2525	4	5	1	1	20	20	20	20	20	1		51168	117696		1		
离开韩府大厅	0	2525	4	5	1	1	20	20	20	20	20	1		54848	117600		1		
离开韩府偏殿	0	2525	4	5	1	1	20	20	20	20	20	1		58464	117696		1		
离开知春台	0	2525	4	5	1	1	20	20	20	20	20	1		61952	117376		1		
离开皇宫大殿	0	2525	4	5	1	1	20	20	20	20	20	1		55040	112864		1		
吴氏	0	1183	3	5	60	1	20	20	20	20	20	3		59232	112000		1		
吴氏	0	1191	3	5	60	1	20	20	20	20	20	3		55552	111840		1		
吴氏	0	1202	3	5	60	1	20	20	20	20	20	3		62848	111328		1		
吴氏	0	1203	3	5	60	1	20	20	20	20	20	3		62496	107040		1		
离开寝宫	0	2525	4	5	1	1	20	20	20	20	20	1		58496	108192		1		
离开寝宫	0	2525	4	5	1	1	20	20	20	20	20	1		58560	112704		1		
离开寝宫	0	2525	4	5	1	1	20	20	20	20	20	1		61824	107904		1		
离开寝宫	0	2525	4	5	1	1	20	20	20	20	20	1		62176	112160		1		
赵扩	0	1188	3	5	60	1	20	20	20	20	20	1		59104	116608		1		
赵扩	0	1192	3	5	60	1	20	20	20	20	20	1		55712	111872		1		
