NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		58944	116256		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		58560	115840		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		59392	117088		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		59520	116480		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		59936	116480		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		60000	115872		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		60032	115136		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		60704	115232		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		60832	114624		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		61312	114624		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		55936	112960		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		56384	112512		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		56736	112544		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		57056	113120		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		57280	113344		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		57888	112224		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		58336	113216		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		60288	111680		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		60256	113152		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		56864	114400		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		57760	115360		1		
