NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		49664	100960		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		49888	101632		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		48960	101312		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		48320	101888		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		47968	100608		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		47520	100672		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		46976	103296		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		46304	102656		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		45536	104704		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		45696	103616		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		47936	103968		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		48448	103680		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		48800	103360		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		49120	102784		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		49408	103168		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		49888	103168		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		49984	105088		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		51168	103168		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		50464	103936		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		48896	104672		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		49632	104896		1		
义军侍卫	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\longquancun\npc\yijunshiwei.txt	1		
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		50912	105472		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		50112	108864		1		2
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	3		45344	108640		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		51456	106720		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		47392	105440		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		49696	104128		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		50944	107136		1		
