NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
怪寇	0	2285	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\mobeicaoyuan\npc\area1.txt			
觅毒僧	0	2286	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\mobeicaoyuan\npc\area2.txt			
冷面魁	0	2287	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\mobeicaoyuan\npc\area3.txt			
苦修浪人	0	2288	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\mobeicaoyuan\npc\area4.txt			
to_chilechuan	1															\setting\map\map_info\mobeicaoyuan\trap\to_chilechuan.txt			
敕勒川入口	0	2525	4	5	1	1	20	20	20	20	20	1		57504	121024		1		
钟奎	0	4342	3	5	150	1	20	20	20	20	20	1		61024	115712		1		
拦路蟊贼	0	4343	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\mobeicaoyuan\npc\lanlumaozei.txt			
to_mengguwangting	1															\setting\map\map_info\mobeicaoyuan\trap\to_mengguwangting.txt			
蒙古王庭入口	0	2525	4	5	1	1	20	20	20	20	20	1		51648	114144		1		
to_wanglongshan	1															\setting\map\map_info\mobeicaoyuan\trap\to_wanglongshan.txt			
望龙山入口	0	2525	4	5	1	1	20	20	20	20	20	1		63360	112064		1		
铁木真	0	4627	3	5	130	1	20	20	20	20	20	1		60800	104000				
里乞王	0	4628	0	5	130	1	20	20	20	20	20	3		54016	115264				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		53440	114592				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		53728	115360				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		53248	115808				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		53376	117696				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		53824	114976				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54016	115968				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54208	116096				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		53952	117504				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54240	117760				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54656	115424				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54432	115776				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54656	116000				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54400	117280				
里乞部守卫	0	4631	0	5	130	1	20	20	20	20	20	1		54624	117568				
万骨窟·魑入口	0	2525	4	5	1	1	20	20	20	20	20	1		54240	120384		1		
to_wangukuchi1	1															\setting\map\map_info\mobeicaoyuan\trap\to_wangukuchi1.txt			
万骨窟·魑入口	0	2525	4	5	1	1	20	20	20	20	20	1		54880	104768		1		
to_wangukuchi2	1															\setting\map\map_info\mobeicaoyuan\trap\to_wangukuchi2.txt			
万骨窟·魅入口	0	2525	4	5	1	1	20	20	20	20	20	1		62528	106368		1		
to_wangukumei1	1															\setting\map\map_info\mobeicaoyuan\trap\to_wangukumei1.txt			
万骨窟·魅入口	0	2525	4	5	1	1	20	20	20	20	20	1		60032	114272		1		
to_wangukumei2	1															\setting\map\map_info\mobeicaoyuan\trap\to_wangukumei2.txt			
