NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
乔装的禁军	0	815	0	5	55	1	20	20	20	20	20	1				\setting\map\map_info\qianqionggong\npc\qiaozhuangdejinjun.txt	1		0
to_tianwaitian	1															\setting\map\map_info\qianqionggong\trap\to_tianwaitian.txt			
离开	0	2525	4	5	1	1	20	20	20	20	20	1		50336	103936		1		
天外天	0	2525	4	5	1	1	20	20	20	20	20	1		51616	98752		1		
to_exit513	1															\setting\map\map_info\qianqionggong\trap\to_exit513.txt			
羽客	0	1178	3	5	60	1	20	20	20	20	20	1		52128	99456		1		1
羽客	0	1178	3	5	60	1	20	20	20	20	20	1		52256	99296		1		1
羽客	0	1178	3	5	60	1	20	20	20	20	20	1		52864	102336		1		1
羽客	0	1178	3	5	60	1	20	20	20	20	20	1		53024	102464		1		1
魂使	0	1177	0	0	55	1	20	20	20	20	20	1		50240	103456		1		
魂使	0	1177	0	0	55	1	20	20	20	20	20	1		51360	101760		1		
魂使	0	1177	0	0	55	1	20	20	20	20	20	1		51616	102592		1		
魂使	0	1177	0	0	55	1	20	20	20	20	20	1		51488	103776		1		
魂使	0	1177	0	0	55	1	20	20	20	20	20	1		52384	102880		1		
魂使	0	1177	0	0	55	1	20	20	20	20	20	1		52704	102592		1		
