NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
合台扎木	0	3486	3	5	90	1	20	20	20	20	20	1		50656	100128		1		
沙鲁	0	3487	3	5	90	1	20	20	20	20	20	1		49344	101088		1		
桑吉烈	0	3488	3	5	90	1	20	20	20	20	20	1		50848	102816		1		
雁北天	0	3489	3	5	90	1	20	20	20	20	20	1		54304	100000		1		
巴克西	0	3490	3	5	150	1	20	20	20	20	20	1		52736	99168		1		
to_yunzhongzhen	1															\setting\map\map_info\samanjiao\trap\to_yunzhongzhen.txt			
to_mengguwangting	1															\setting\map\map_info\samanjiao\trap\to_mengguwangting.txt			
蒙古王庭入口	0	2525	4	5	1	1	20	20	20	20	20	1		49056	99072				
云中镇入口	0	2525	4	5	1	1	20	20	20	20	20	1		54560	104384				
6000	0	6000	5	5	1	1	20	20	20	20	20	1		54272	97632		1		
6029	0	6029	5	5	1	1	20	20	20	20	20	1		48800	103168		1		
6029	0	6029	5	5	1	1	20	20	20	20	20	1		49344	99296		1		
6029	0	6029	5	5	1	1	20	20	20	20	20	1		50496	101056		1		
6074	0	6074	5	5	1	1	20	20	20	20	20	1		55296	100128		1		
6030	0	6030	5	5	1	1	20	20	20	20	20	1		50720	104320		1		
巴尔思	0	6118	5	5	1	1	20	20	20	20	20	1		50848	100896		1		
阿尔布古	0	6118	5	5	1	1	20	20	20	20	20	1		51232	100480		1		
万历	0	6119	5	5	1	1	20	20	20	20	20	1		53600	98688		1		
玛喇勒	0	6119	5	5	1	1	20	20	20	20	20	1		53824	98912		1		
脱里	0	6120	5	5	1	1	20	20	20	20	20	1		50080	101504		1		
包卫城	0	6121	5	5	1	1	20	20	20	20	20	1		53536	100768		1		
包卫天	0	6121	5	5	1	1	20	20	20	20	20	1		53696	100928		1		
高坚	0	6123	5	5	1	1	20	20	20	20	20	1		50816	103808		1		
高力	0	6122	5	5	1	1	20	20	20	20	20	1		52832	98464		1		
古力拉	0	6122	5	5	1	1	20	20	20	20	20	1		54144	103392				
简木花	0	6122	5	5	1	1	20	20	20	20	20	1		53856	103584				
