NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
行脚商	0	1094	3	5	75	1	20	20	20	20	20	1		60608	105344		1		
周寰	0	907	3	5	75	1	20	20	20	20	20	1		56480	103680		1		
龙吟	0	905	3	5	75	1	20	20	20	20	20	1		58016	109472		1		
带有标记的树	0	899	3	5	75	1	20	20	20	20	20	2	\setting\npc\droprate\droprate008.txt	54336	121152		1		
土兵	0	902	0	5	75	1	20	20	20	20	20	2	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shamomigong\npc\guanbing.txt	1		
to_lvdian	1															\setting\map\map_info\shamomigong\trap\to_lvdian.txt			
to_chalahan	1															\setting\map\map_info\shamomigong\trap\to_chalahan.txt			
神臂弓	0	2174	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shamomigong\npc\area1.txt			
神臂弓	0	2174	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shamomigong\npc\area2.txt			
黑水快骑兵	0	2176	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shamomigong\npc\area3.txt			
马贼轻斧手	0	2175	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt			\setting\map\map_info\shamomigong\npc\area4.txt			
to_juyanze	1															\setting\map\map_info\shamomigong\trap\to_juyanze.txt			
to_fengxiangfu	1															\setting\map\map_info\shamomigong\trap\to_fengxiangfu.txt			
to_fenglingdu	1															\setting\map\map_info\shamomigong\trap\to_fenglingdu.txt			
to_xixiahuangling	1															\setting\map\map_info\shamomigong\trap\to_xixiahuangling.txt			
居延泽入口	0	2525	4	5	75	1	20	20	20	20	20	1		51136	114048				
凤翔府入口	0	2525	4	5	75	1	20	20	20	20	20	1		51424	124928				
风陵渡入口	0	2525	4	5	75	1	20	20	20	20	20	1		61024	122464				
西夏皇陵入口	0	2525	4	5	75	1	20	20	20	20	20	1		61216	111552				
营帐	0	2525	4	5	75	1	20	20	20	20	20	1		56416	104416				
旅店	0	2525	4	5	75	1	20	20	20	20	20	1		57856	117632				
商幡	0	906	3	5	75	1	20	20	20	20	20	1		55392	117344		1		
尸体	0	893	3	5	75	1	20	20	20	20	20	1		54304	121312		1		
血影	0	1004	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	53792	112224				
血影	0	1004	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54240	112288				
血影	0	1004	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54048	112512				
血影	0	1004	0	5	75	1	20	20	20	20	20	1	\setting\npc\droprate\droprate008.txt	54272	112032				
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		51584	117152		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		51968	114656		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		51936	115904		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		52320	117472		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		52928	114208		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		52928	115616		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		52800	116640		1		
豺狗	0	622	0	5	75	1	20	20	20	20	20	1		53568	114944		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		51680	117504		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		51840	115520		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52192	115648		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52096	116256		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		51904	116768		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52704	114272		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52544	115072		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52448	116448		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52704	115808		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52672	117376		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52384	116864		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52384	117920		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52800	114784		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		52992	116736		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		53280	114560		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		53312	115072		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		53536	115424		1		
干枯的尸体	0	1585	3	5	75	1	20	20	20	20	20	1		53248	116064		1		
嵬名奇	0	3055	0	5	75	1	20	20	20	20	20	16		54816	122368				4
卫边城	0	3056	0	5	75	1	20	20	20	20	20	16		54464	105952				3
于贤龙	0	3057	0	5	75	1	20	20	20	20	20	16		58784	107040				2
袁念夕	0	3058	0	5	75	1	20	20	20	20	20	16		50944	120736				1
to_mengguwangting	1															\setting\map\map_info\shamomigong\trap\to_mengguwangting.txt			
蒙古王庭入口	0	2525	4	5	75	1	20	20	20	20	20	1		61344	105024				
to_yanzhou	1															\setting\map\map_info\shamomigong\trap\to_yanzhou.txt			
盐州入口	0	2525	4	5	75	1	20	20	20	20	20	1		56736	125024				
to_wulahaicheng	1															\setting\map\map_info\shamomigong\trap\to_wulahaicheng.txt			
兀剌海城入口	0	2525	4	5	75	1	20	20	20	20	20	1		59296	124864				
