NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
夺命花魁	0	2334	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\shennvfeng\npc\area1.txt	1		1
魅影	0	2335	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\shennvfeng\npc\area2.txt	1		0
迷魂手	0	2336	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\shennvfeng\npc\area3.txt	1		4
摄心眉	0	2337	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\shennvfeng\npc\area4.txt	1		0
to_fengduguicheng	1															\setting\map\map_info\shennvfeng\trap\to_fengduguicheng.txt			
to_hanshuigudu	1															\setting\map\map_info\shennvfeng\trap\to_hanshuigudu.txt			
to_sanxiazhandao	1															\setting\map\map_info\shennvfeng\trap\to_sanxiazhandao.txt			
to_wulingshan	1															\setting\map\map_info\shennvfeng\trap\to_wulingshan.txt			
丰都鬼城入口	0	2525	4	5	1	1	20	20	20	20	20	1		50240	112864		1		
汉水古渡入口	0	2525	4	5	1	1	20	20	20	20	20	1		56832	101408		1		
三峡栈道入口	0	2525	4	5	1	1	20	20	20	20	20	1		51360	102944		1		
武陵山入口	0	2525	4	5	1	1	20	20	20	20	20	1		50208	122688		1		
杨彩花	0	4390	3	5	150	1	20	20	20	20	20	1		58912	105824		1		
邹康	0	4388	3	5	150	1	20	20	20	20	20	1		50656	122240		1		
胡胖子	0	4389	0	5	115	1	20	20	20	20	20	2	\setting\npc\droprate\droprate009.txt	54400	117472		1		
罗雪	0	4438	3	5	150	1	20	20	20	20	20	1		60416	100736		1		
段智兴	0	4439	3	5	150	1	20	20	20	20	20	1		60256	100736		1		
蛊虫	0	4434	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\shennvfeng\npc\guchong1.txt	1		0
试炼龙柱	0	4449	0	5	80	1	20	20	20	20	20	2		59776	105504		1		
to_molongdianyun1	1															\setting\map\map_info\shennvfeng\trap\to_molongdianyun1.txt			
魔龙殿·云入口	0	2525	4	5	1	1	20	20	20	20	20	1		57984	104928		1		
to_molongdianyun2	1															\setting\map\map_info\shennvfeng\trap\to_molongdianyun2.txt			
魔龙殿·云入口	0	2525	4	5	1	1	20	20	20	20	20	1		52736	109344		1		
to_molongdiandian1	1															\setting\map\map_info\shennvfeng\trap\to_molongdiandian1.txt			
魔龙殿·电入口	0	2525	4	5	1	1	20	20	20	20	20	1		56064	118880		1		
to_molongdiandian2	1															\setting\map\map_info\shennvfeng\trap\to_molongdiandian2.txt			
魔龙殿·电入口	0	2525	4	5	1	1	20	20	20	20	20	1		58720	117216		1		
