NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		49536	97024		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		50048	97408		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		49728	96256		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		48960	96704		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		48608	97088		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		47968	97440		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		47392	97888		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		46528	98912		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		46688	99968		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		45728	99968		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		47904	100640		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		48288	100352		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		49312	99168		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		50048	98656		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		51328	97952		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		52576	99072		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		48096	103904		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		51072	103584		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		52096	101472		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		50944	100096		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		49184	100928		1		
义军侍卫	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\shiguzhen\npc\yijunshiwei.txt	1		
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		47552	102912		1		
船夫	0	2598	3	5	60	1	20	20	20	20	20	3		58112	116576		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		47232	100768		1		2
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	3		47136	104704		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		48576	105216		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		54784	96288		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		49088	104704		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		50528	99488		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		54016	95904		1		
礼官	0	2601	3	5	60	1	20	20	20	20	20	3		45184	98688		1		
叶晓钗	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
破旧箱子一	0	3578	3	5	1	1	20	20	20	20	20	3		48064	104512		1		
破旧箱子二	0	3579	3	5	1	1	20	20	20	20	20	3		47872	104448		1		
破旧箱子三	0	3580	3	5	1	1	20	20	20	20	20	3		47680	104320		1		
奇怪的箱子	0	3581	3	5	1	1	20	20	20	20	20	3		47552	104128		1		
船夫	0	2598	3	5	60	1	20	20	20	20	20	3		50848	95296		1		
to_dalifu	1															\setting\map\map_info\shiguzhen\trap\to_dalifu.txt			
to_cuiyanmen	1															\setting\map\map_info\shiguzhen\trap\to_cuiyanmen.txt			
to_baizushiji	1															\setting\map\map_info\shiguzhen\trap\to_baizushiji.txt			
to_chamagudao	1															\setting\map\map_info\shiguzhen\trap\to_chamagudao.txt			
to_daliduanshi	1															\setting\map\map_info\shiguzhen\trap\to_daliduanshi.txt			
大理府入口	0	2525	4	5	1	1	20	20	20	20	20	1		45216	97120		1		
翠烟门入口	0	2525	4	5	1	1	20	20	20	20	20	1		46336	106144		1		
白族市集入口	0	2525	4	5	1	1	20	20	20	20	20	1		52736	93888		1		
茶马古道入口	0	2525	4	5	1	1	20	20	20	20	20	1		49984	94304		1		
大理段氏入口	0	2525	4	5	1	1	20	20	20	20	20	1		42912	98976		1		
段修静	0	3480	3	5	30	1	20	20	20	20	20	1		45280	100320		1		
童凌	0	3474	3	5	30	1	20	20	20	20	20	1		44480	101152		1		
义军军需官	0	2711	3	5	60	1	20	20	20	20	20	1		47424	102816		1		
古枫霞	0	3601	3	5	60	1	20	20	20	20	20	1		51424	99296		1		3
6001	0	6001	5	5	1	1	20	20	20	20	20	1		45760	101792				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		45664	101920				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		45696	102048				
6002	0	6002	5	5	1	1	20	20	20	20	20	1		45952	101856				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		51328	102112				
6006	0	6006	5	5	1	1	20	20	20	20	20	1		51904	102752				
6007	0	6007	5	5	1	1	20	20	20	20	20	1		44704	99872				
6007	0	6007	5	5	1	1	20	20	20	20	20	1		54400	101696				
6014	0	6014	5	5	1	1	20	20	20	20	20	1		50592	95104				
6029	0	6029	5	5	1	1	20	20	20	20	20	1		51040	103744				
6029	0	6029	5	5	1	1	20	20	20	20	20	1		52032	101312				
6033	0	6033	5	5	1	1	20	20	20	20	20	1		48320	104896				
6034	0	6034	5	5	1	1	20	20	20	20	20	1		47616	97600				
黄伯	0	6044	5	5	1	1	20	20	20	20	20	1		47808	104256				
老粲	0	6044	5	5	1	1	20	20	20	20	20	1		54240	101728				
6045	0	6045	5	5	1	1	20	20	20	20	20	1		47104	104512				
6053	0	6053	5	5	1	1	20	20	20	20	20	1		46496	101440				
老成	0	6057	5	5	1	1	20	20	20	20	20	1		49152	97952				
