NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
邪童	0	2309	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\suoyunyuan\npc\area1.txt			
孤叟	0	2310	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\suoyunyuan\npc\area2.txt			
蛊心灵子	0	2311	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\suoyunyuan\npc\area3.txt			
蛊心灵女	0	2312	0	5	105	1	20	20	20	20	20	3	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\suoyunyuan\npc\area4.txt			
to_wuyishan	1															\setting\map\map_info\suoyunyuan\trap\to_wuyishan.txt			
to_chenjichang	1															\setting\map\map_info\suoyunyuan\trap\to_chenjichang.txt			
to_wanyanguang	1															\setting\map\map_info\suoyunyuan\trap\to_wanyanguang.txt			
to_tianwangbang	1															\setting\map\map_info\suoyunyuan\trap\to_tianwangbang.txt			
武夷山入口	0	2525	4	5	1	1	20	20	20	20	20	1		62400	108832		1		
完颜光的囚室	0	2525	4	5	1	1	20	20	20	20	20	1		59488	110144		1		
陈季常房间	0	2525	4	5	1	1	20	20	20	20	20	1		58912	110272		1		
检验的师爷	0	4363	3	5	150	1	20	20	20	20	20	1		58592	111392				
李天正	0	4351	3	5	150	1	20	20	20	20	20	1		59136	111808				
to_gulangyu	1															\setting\map\map_info\suoyunyuan\trap\to_gulangyu.txt			
鼓浪屿入口	0	2525	4	5	1	1	20	20	20	20	20	1		62528	121664		1		
to_taohuayuan	1															\setting\map\map_info\suoyunyuan\trap\to_taohuayuan.txt			
桃花源入口	0	2525	4	5	1	1	20	20	20	20	20	1		50848	116192		1		
天王帮入口	0	2525	4	5	1	1	20	20	20	20	20	1		61792	100256		1		
乌拉查	0	4639	3	5	130	1	20	20	20	20	20	1		56032	107648		1	1755	3365
马帮货车	0	4650	3	5	130	1	20	20	20	20	20	1		55968	107680		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		59360	121440		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		59712	121248		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		59936	120672		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		60096	120128		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		60320	120640		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		60384	121248		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		60032	121344		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		60480	120288		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		61248	120704		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		61056	121536		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		61024	121088		1		
饿虎	0	4640	0	5	130	1	20	20	20	20	20	1		61504	121216		1		
虎王	0	4641	0	5	130	1	20	20	20	20	20	1		54336	99712		1		
普洱茶	0	4642	3	5	1	1	20	20	20	20	20	1		61888	119264		1		
普洱茶	0	4642	3	5	1	1	20	20	20	20	20	1		61824	119392		1		
普洱茶	0	4642	3	5	1	1	20	20	20	20	20	1		62048	119488		1		
普洱茶	0	4642	3	5	1	1	20	20	20	20	20	1		62112	119520		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		61920	119616		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		61760	119488		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		61760	119200		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		61920	119040		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		62112	119744		1		
毒虫	0	4638	0	5	130	1	20	20	20	20	20	1		61984	119808		1		
to_fenmingtangjiao1	1															\setting\map\map_info\suoyunyuan\trap\to_fenmingtangjiao1.txt			
焚明堂·焦入口	0	2525	4	5	1	1	20	20	20	20	20	1		57376	120352		1		
to_fenmingtangjiao2	1															\setting\map\map_info\suoyunyuan\trap\to_fenmingtangjiao2.txt			
焚明堂·焦入口	0	2525	4	5	1	1	20	20	20	20	20	1		56064	114368		1		
to_fenmingtangyan1	1															\setting\map\map_info\suoyunyuan\trap\to_fenmingtangyan1.txt			
焚明堂·炎入口	0	2525	4	5	1	1	20	20	20	20	20	1		53408	106240		1		
to_fenmingtangyan2	1															\setting\map\map_info\suoyunyuan\trap\to_fenmingtangyan2.txt			
焚明堂·炎入口	0	2525	4	5	1	1	20	20	20	20	20	1		58944	103584		1		
