NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
唐一尘	0	959	3	5	60	1	20	20	20	20	20	1		50400	103296		1		
杨铁心	0	849	3	5	60	1	20	20	20	20	20	1		50560	103328		1		
石轩辕	0	853	3	5	60	1	20	20	20	20	20	1		50400	103488		1		
离开	0	2525	4	5	1	1	20	20	20	20	20	1		51200	104128		1		
to_exit534	1															\setting\map\map_info\tangmenbieyuan_2\trap\to_exit534.txt			
天王弟子	0	923	3	5	60	1	20	20	20	20	20	1		50784	103552		1		
天王弟子	0	923	3	5	60	1	20	20	20	20	20	1		51008	103744		1		
丐帮弟子	0	924	3	5	60	1	20	20	20	20	20	1		50240	103680		1		
丐帮弟子	0	924	3	5	60	1	20	20	20	20	20	1		50592	103744		1		
丐帮弟子	0	924	3	5	60	1	20	20	20	20	20	1		50816	104000		1		
唐门弟子	0	925	3	5	60	1	20	20	20	20	20	1		50016	103232		1		
唐门弟子	0	925	3	5	60	1	20	20	20	20	20	1		50400	102848		1		
唐门弟子	0	925	3	5	60	1	20	20	20	20	20	1		50720	102656		1		
唐门弟子	0	925	3	5	60	1	20	20	20	20	20	1		50848	102784		1		
唐门弟子	0	925	3	5	60	1	20	20	20	20	20	1		51328	103264		1		
唐门弟子	0	925	3	5	60	1	20	20	20	20	20	1		51488	103424		1		
