NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
魔鼓童	0	2346	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\taohuayuan\npc\area1.txt	1		1
无心兽	0	2347	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\taohuayuan\npc\area2.txt	1		0
狼牙猛士	0	2348	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\taohuayuan\npc\area3.txt	1		4
失心儒	0	2349	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\taohuayuan\npc\area4.txt	1		0
to_fuliudong	1															\setting\map\map_info\taohuayuan\trap\to_fuliudong.txt			
to_miaoling	1															\setting\map\map_info\taohuayuan\trap\to_miaoling.txt			
to_suoyunyuan	1															\setting\map\map_info\taohuayuan\trap\to_suoyunyuan.txt			
to_wulingshan	1															\setting\map\map_info\taohuayuan\trap\to_wulingshan.txt			
to_yelangjiuxu	1															\setting\map\map_info\taohuayuan\trap\to_yelangjiuxu.txt			
伏流洞入口	0	2525	4	5	1	1	20	20	20	20	20	1		52960	109760		1		
苗岭入口	0	2525	4	5	1	1	20	20	20	20	20	1		55168	124576		1		
锁云渊入口	0	2525	4	5	1	1	20	20	20	20	20	1		64832	115584		1		
武陵山入口	0	2525	4	5	1	1	20	20	20	20	20	1		59328	103712		1		
夜郎旧墟入口	0	2525	4	5	1	1	20	20	20	20	20	1		51200	115808		1		
蛊虫	0	4434	0	5	115	1	20	20	20	20	20	1	\setting\npc\droprate\droprate011.txt			\setting\map\map_info\taohuayuan\npc\guchong2.txt	1		0
薛常	0	4621	0	5	130	1	20	20	20	20	20	1		52480	112576		1		
薛离	0	4622	0	5	130	1	20	20	20	20	20	1		51744	112576		1		
薛千	0	4623	0	5	130	1	20	20	20	20	20	1		51872	111712		1		
to_shihunwuming1	1															\setting\map\map_info\taohuayuan\trap\to_shihunwuming1.txt			
嗜魂屋·冥入口	0	2525	4	5	1	1	20	20	20	20	20	1		56128	108192		1		
to_shihunwuming2	1															\setting\map\map_info\taohuayuan\trap\to_shihunwuming2.txt			
嗜魂屋·冥入口	0	2525	4	5	1	1	20	20	20	20	20	1		58400	112768		1		
to_shihunwushu1	1															\setting\map\map_info\taohuayuan\trap\to_shihunwushu1.txt			
嗜魂屋·枢入口	0	2525	4	5	1	1	20	20	20	20	20	1		57152	123776		1		
to_shihunwushu2	1															\setting\map\map_info\taohuayuan\trap\to_shihunwushu2.txt			
嗜魂屋·枢入口	0	2525	4	5	1	1	20	20	20	20	20	1		61600	123680		1		
