NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
残旧的机关人	0	2695	0	5	65	1	20	20	20	20	20	1				\setting\map\map_info\taozhugongyizhong\npc\yicengxiaoguai.txt	1		
远古机关兽	0	2696	0	5	75	1	20	20	20	20	20	1				\setting\map\map_info\taozhugongyizhong\npc\ercengxiaoguai.txt	1		
守墓铜人	0	2709	0	5	75	1	20	20	20	20	20	1				\setting\map\map_info\taozhugongyizhong\npc\sancengxiaoguai.txt	1		
盗墓贼李清	0	2697	0	5	80	1	20	20	20	20	20	1		50944	97248		1		
招魂师庞照玉	0	2698	0	5	80	1	20	20	20	20	20	1		53856	100608		1		
郑氏	0	2710	0	5	85	1	20	20	20	20	20	1		54016	96768		1		
宝箱	0	2704	3	5	70	1	20	20	20	20	20	1				\setting\map\map_info\taozhugongyizhong\npc\baoxiang.txt	1		
北面柱子	0	2706	3	5	70	1	20	20	20	20	20	1		51168	100640		1		
南面柱子	0	2706	3	5	70	1	20	20	20	20	20	1		49472	102272				
西面柱子	0	2706	3	5	70	1	20	20	20	20	20	1		49504	100640				
东面柱子	0	2706	3	5	70	1	20	20	20	20	20	1		51200	102368				
to_level2	1															\setting\map\map_info\taozhugongyizhong\trap\to_level2.txt			
to_level3	1															\setting\map\map_info\taozhugongyizhong\trap\to_level3.txt			
