NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme		
传入复活点	0	6815	3	5	70	1	20	20	20	20	20	1		61248	107520						复活点1
传入战场	0	6816	3	5	70	1	20	20	20	20	20	1		61536	107744						复活点1
传入复活点	0	6817	3	5	70	1	20	20	20	20	20	1		52224	109152						复活点2
传入战场	0	6818	3	5	70	1	20	20	20	20	20	1		52000	108864						复活点2
传入铁浮城	0	6821	3	5	70	1	20	20	20	20	20	1		59488	104768						
药商	0	6837	3	5	70	1	20	20	20	20	20	1		62560	108320						复活点1
车夫	0	6836	3	5	70	1	20	20	20	20	20	1		62464	109728						复活点1
药商	0	6837	3	5	70	1	20	20	20	20	20	1		51200	108256						复活点2
车夫	0	6836	3	5	70	1	20	20	20	20	20	1		50848	110048						复活点2
药商	0	6837	3	5	70	1	20	20	20	20	20	1		54176	106752						复活点3
车夫	0	6836	3	5	70	1	20	20	20	20	20	1		54400	106400						复活点3
复活点旗帜	0	6842	3	5	70	1	20	20	20	20	20	1		56000	107200						复活点3
