NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
传入复活点	0	7125	3	5	70	1	20	20	20	20	20	1		53376	107648				
传入战场	0	7126	3	5	70	1	20	20	20	20	20	1		53216	107360				
传入复活点	0	7127	3	5	70	1	20	20	20	20	20	1		60832	104992				
传入战场	0	7128	3	5	70	1	20	20	20	20	20	1		60672	105312				
传入复活点	0	7129	3	5	70	1	20	20	20	20	20	1		58848	115168				
传入战场	0	7130	3	5	70	1	20	20	20	20	20	1		58688	114848				
传入复活点	0	7140	3	5	70	1	20	20	20	20	20	1		52128	106560				
传入战场	0	7141	3	5	70	1	20	20	20	20	20	1		52288	106848				
传入复活点	0	7142	3	5	70	1	20	20	20	20	20	1		59680	106560				
传入战场	0	7143	3	5	70	1	20	20	20	20	20	1		59840	106240				
传入复活点	0	7144	3	5	70	1	20	20	20	20	20	1		57728	113888				
传入战场	0	7145	3	5	70	1	20	20	20	20	20	1		57856	114144				
传入下一层	0	7131	3	5	70	1	20	20	20	20	20	1		56416	109856				
药商	0	7135	3	5	70	1	20	20	20	20	20	1		52928	106720				
车夫	0	7134	3	5	70	1	20	20	20	20	20	1		52416	107360				
药商	0	7135	3	5	70	1	20	20	20	20	20	1		59808	105632				
车夫	0	7134	3	5	70	1	20	20	20	20	20	1		60672	105856				
药商	0	7135	3	5	70	1	20	20	20	20	20	1		58272	114624				
车夫	0	7134	3	5	70	1	20	20	20	20	20	1		58528	114240				
