NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
离开	0	2525	4	5	90	1	20	20	20	20	20	1		50784	102784		1		
to_exit563	1															\setting\map\map_info\wangfumishi\trap\to_exit563.txt			
完颜谱曲	0	4520	3	5	90	1	20	20	20	20	20	1		51328	102112		1		
打扫工具	0	4522	3	5	90	1	20	20	20	20	20	1		52288	103104		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		52512	102560		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		52736	102336		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		53184	102016		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		54240	100960		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		53984	102560		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		54464	102240		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		54784	101664		1		
机关人	0	4521	0	5	110	1	20	20	20	20	20	1		54912	101696		1		
风机关	0	4527	3	5	110	1	20	20	20	20	20	1		53472	100576		1		
水机关	0	4528	3	5	110	1	20	20	20	20	20	1		54144	99776		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		51552	99680		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		51648	100032		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		52000	98336		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		52160	99552		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		51744	99456		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		51968	99968		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		52352	98752		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		52288	99968		1		
幽冥骨	0	4531	0	5	110	1	20	20	20	20	20	1		52800	99200		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52128	98176		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52096	98528		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52608	97184		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52416	97440		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52256	98592		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52832	97088		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52832	97856		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		53024	97728		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		52928	97536		1		
红枪侍卫	0	4549	0	5	110	1	20	20	20	20	20	1		53248	97504		1		
红枪头领	0	4550	0	5	110	1	20	20	20	20	20	1		52032	98336		1		
红枪头领	0	4550	0	5	110	1	20	20	20	20	20	1		52480	97248		1		
红枪头领	0	4550	0	5	110	1	20	20	20	20	20	1		53152	97568		1		
狱卒总管	0	4551	0	5	110	1	20	20	20	20	20	1		50912	97280		1		
尹筱雨	0	4540	3	5	120	1	20	20	20	20	20	3		50592	98816		1		
尹筱雨	0	4554	3	5	120	1	20	20	20	20	20	4		51040	94976		1		
耶律楚材	0	4555	0	0	120	1	20	20	20	20	20	1		50880	95232		1		
完颜襄	0	4556	0	5	120	1	20	20	20	20	20	1		50784	95328		1		
亲兵头领	0	4553	0	5	110	1	20	20	20	20	20	1		49664	95936		1		
亲兵头领	0	4553	0	5	110	1	20	20	20	20	20	1		49824	96128		1		
亲兵头领	0	4553	0	5	110	1	20	20	20	20	20	1		50048	96320		1		
亲兵头领	0	4553	0	5	110	1	20	20	20	20	20	1		50208	95328		1		
亲兵头领	0	4553	0	5	110	1	20	20	20	20	20	1		50432	96768		1		
亲兵头领	0	4553	0	5	110	1	20	20	20	20	20	1		50720	95936		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		49312	96064		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		49536	96288		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50080	95872		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		49824	95552		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50080	95296		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50048	96832		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		49792	96576		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50624	95904		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50336	96128		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50272	95520		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50432	96416		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50272	96608		1		
亲兵	0	4552	0	5	110	1	20	20	20	20	20	1		50752	96032		1		
