NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
马车	0	4523	3	5	150	1	20	20	20	20	20	1		48992	92832		1		
寇东来	0	4497	3	5	90	1	20	20	20	20	20	1		46944	88480		1		
尹筱雨	0	4496	3	5	120	1	20	20	20	20	20	1		48480	88960		1		
丹碧秀	0	4505	3	5	120	1	20	20	20	20	20	1		48544	88960		1		
耶律楚材	0	4502	3	5	120	1	20	20	20	20	20	1		48672	89056		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48608	90528		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48576	90304		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48544	90784		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		49024	90016		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		49120	89888		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48928	89952		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48832	90080		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48992	89792		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48768	90624		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48768	90400		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48832	90272		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48928	90144		1		
刺客前锋	0	4501	0	5	110	1	20	20	20	20	20	1		48704	90208		1		
荒屋	0	2525	4	5	90	1	20	20	20	20	20	1		47904	88896		1		
to_huangwu	1															\setting\map\map_info\wanglongshan\trap\to_huangwu.txt			
耶律楚材	0	4506	3	5	120	1	20	20	20	20	20	1		47712	102848		1		
尹筱雨	0	4508	3	5	120	1	20	20	20	20	20	2		48224	102144		1		
钟壮	0	4509	3	5	50	1	20	20	20	20	20	1		44768	102336		1		
小扁鹊	0	4507	0	5	110	1	20	20	20	20	20	1		44384	90624		1		
王舒	0	4513	3	5	50	1	20	20	20	20	20	1		47072	96832		1		
王府地图	0	4514	3	5	50	1	20	20	20	20	20	1		47168	96672		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		50464	98912		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		50944	98624		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		50688	99360		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		50912	99584		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		51584	98752		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		51264	98432		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		51328	99168		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		51264	99968		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		51616	99584		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		51872	99040		1		
酒鬼	0	4512	0	5	110	1	20	20	20	20	20	1		52224	99200		1		
王府密室	0	2525	4	5	90	1	20	20	20	20	20	1		48640	95744		1		
to_wangfumishi	1															\setting\map\map_info\wanglongshan\trap\to_wangfumishi.txt			
青桑树	0	4534	3	5	110	1	20	20	20	20	20	1		45792	88960		1		
野山核桃树	0	4535	3	5	110	1	20	20	20	20	20	1		46880	92256		1		
金管家	0	4529	3	5	110	1	20	20	20	20	20	1		44736	93568		1		
吐步掌门	0	4544	0	5	110	1	20	20	20	20	20	1		43552	94240		1		
巴克西	0	4545	3	5	110	1	20	20	20	20	20	1		42304	94304		1		
铁木真礼盒	0	4539	3	5	110	1	20	20	20	20	20	1		44320	93504		1		
萨满教礼盒	0	4538	3	5	110	1	20	20	20	20	20	1		44064	93824		1		
五毒教礼盒	0	4542	3	5	110	1	20	20	20	20	20	1		44192	93664		1		
吐步族礼盒	0	4541	3	5	110	1	20	20	20	20	20	1		44544	93792		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		42656	94368		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		42816	94848		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43232	93952		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43488	93312		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43328	93568		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43008	94272		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43008	94720		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43296	94976		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43616	93568		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		43648	94912		1		
闹事者	0	4543	0	5	110	1	20	20	20	20	20	1		44064	94464		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		50080	91776		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		50880	90624		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		50848	92768		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		51456	91904		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		52064	90272		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		52000	93248		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		52416	91808		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		52896	93920		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		53312	91904		1		
草原猛虎	0	4525	0	5	110	1	20	20	20	20	20	1		53824	93952		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52704	90464		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52832	90304		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52992	90208		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52992	90464		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52864	90592		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52864	92800		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53024	92704		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53024	92960		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52896	93088		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52736	92960		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52960	94816		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53120	94720		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53120	94976		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52992	95104		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		52832	94976		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53664	89728		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53696	90016		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53536	89888		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53824	89632		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53824	89888		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53952	91520		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		54112	91424		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		54112	91680		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53984	91808		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		53824	91680		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50048	92544		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50304	90304		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50464	90208		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50464	90464		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50336	90592		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50176	90464		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50176	92384		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50336	92288		1		
草原野马	0	4526	0	5	110	1	20	20	20	20	20	1		50336	92544		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		46528	98592		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		46944	98016		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		46752	98848		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		47392	97568		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		47200	98304		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		48000	96416		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		47648	97856		1		
王府侍卫	0	4519	0	5	110	1	20	20	20	20	20	1		48320	96064		1		
