NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
泼皮猴	0	9725	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001_mini.txt			\setting\map\map_info\xiangmiyuan\npc\area1.txt			
野生小猴	0	2202	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001_mini.txt			\setting\map\map_info\xiangmiyuan\npc\area2.txt			
黄虎	0	2009	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001_mini.txt			\setting\map\map_info\xiangmiyuan\npc\area3.txt			
幼熊	0	2010	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001_mini.txt			\setting\map\map_info\xiangmiyuan\npc\area4.txt			
驯养的麋鹿	0	2201	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001_mini.txt			\setting\map\map_info\xiangmiyuan\npc\area5.txt			
to_lingxiucun	1															\setting\map\map_info\xiangmiyuan\trap\to_lingxiucun.txt			
灵秀村入口	0	2525	4	5	1	1	20	20	20	20	20	1		49632	99808		1		
沈铁石	0	3582	3	5	60	1	20	20	20	20	20	1		51776	100704		1		
许仕伟	0	3583	3	5	60	1	20	20	20	20	20	1		52000	100896		1		
泼皮猴寻路点	0	9737	8	0	60	1	20	20	20	20	20	1		50400	99616		1		
驯养的麋鹿寻路点	0	3597	8	0	1	1	20	20	20	20	20	1		51072	103520		1		
野生小猴寻路点	0	3598	8	0	1	1	20	20	20	20	20	1		53952	104416		1		
黄虎寻路点	0	3599	8	0	1	1	20	20	20	20	20	1		50208	106496		1		
幼熊寻路点	0	3600	8	0	1	1	20	20	20	20	20	1		54080	108128		1		
