NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
方行觉	0	6762	3	5	150	1	20	20	20	20	20	1		50368	103072		1		
窦昊	0	6763	3	5	150	1	20	20	20	20	20	1		50368	102976				
巴克西	0	6764	3	5	150	1	20	20	20	20	20	1		50432	103008				
李升阳	0	6765	3	5	150	1	20	20	20	20	20	1		50464	102912				
段智兴	0	6766	3	5	150	1	20	20	20	20	20	1		50528	102912				
杨铁心	0	6767	3	5	150	1	20	20	20	20	20	1		50560	102816				
玄慈	0	6768	3	5	150	1	20	20	20	20	20	1		50624	102816				
唐晓	0	6769	3	5	150	1	20	20	20	20	20	1		50656	102752				
古嫣然	0	6770	3	5	150	1	20	20	20	20	20	1		50720	102720				
无想师太	0	6771	3	5	150	1	20	20	20	20	20	1		50752	102624				
尹筱雨	0	6772	3	5	150	1	20	20	20	20	20	1		50816	102592				
石轩辕	0	6773	3	5	150	1	20	20	20	20	20	1		50880	102528				
完颜襄	0	6774	3	5	150	1	20	20	20	20	20	1		50912	102464				
王重阳	0	6775	3	5	150	1	20	20	20	20	20	1		50976	102432				
宋秋石	0	6776	3	5	150	1	20	20	20	20	20	1		51040	102400				
甜酒叔	0	6777	3	5	150	1	20	20	20	20	20	1		51104	102464				
沈荷叶	0	6778	3	5	150	1	20	20	20	20	20	1		51136	102560				
郝漂靓	0	6779	3	5	150	1	20	20	20	20	20	1		51200	102624				
张斩经	0	6780	3	5	150	1	20	20	20	20	20	1		51264	102688				
不动先生	0	6781	3	5	150	1	20	20	20	20	20	1		51328	102752				
大老白	0	6782	3	5	150	1	20	20	20	20	20	1		51392	102784				
谢贤	0	6783	3	5	150	1	20	20	20	20	20	1		51264	102592				
张松涛	0	6784	3	5	150	1	20	20	20	20	20	1		51328	102656				
木良	0	6785	3	5	150	1	20	20	20	20	20	1		51456	102752				
白秋琳	0	6786	3	5	150	1	20	20	20	20	20	1		51456	102880				
龙五太爷	0	6787	3	5	150	1	20	20	20	20	20	1		51520	102944				
纤纤	0	6788	3	5	150	1	20	20	20	20	20	1		51584	102976				
韩侂胄	0	6789	3	5	150	1	20	20	20	20	20	1		51616	103040				
宝玉	0	6790	3	5	150	1	20	20	20	20	20	1		51680	103040				
莺莺	0	6791	3	5	150	1	20	20	20	20	20	1		51712	103104				
方行觉	0	6762	3	5	150	1	20	20	20	20	20	1		48416	105408				
窦昊	0	6763	3	5	150	1	20	20	20	20	20	1		48480	105408				
巴克西	0	6764	3	5	150	1	20	20	20	20	20	1		48512	105312				
李升阳	0	6765	3	5	150	1	20	20	20	20	20	1		48576	105312				
段智兴	0	6766	3	5	150	1	20	20	20	20	20	1		48576	105216				
杨铁心	0	6767	3	5	150	1	20	20	20	20	20	1		48256	105632				
玄慈	0	6768	3	5	150	1	20	20	20	20	20	1		48384	105504				
唐晓	0	6769	3	5	150	1	20	20	20	20	20	1		48352	105984				
古嫣然	0	6770	3	5	150	1	20	20	20	20	20	1		48224	105824				
无想师太	0	6771	3	5	150	1	20	20	20	20	20	1		48480	106112				
尹筱雨	0	6772	3	5	150	1	20	20	20	20	20	1		48640	105216				
石轩辕	0	6773	3	5	150	1	20	20	20	20	20	1		48704	105152				
完颜襄	0	6774	3	5	150	1	20	20	20	20	20	1		48640	105120				
王重阳	0	6775	3	5	150	1	20	20	20	20	20	1		48800	105056				
宋秋石	0	6776	3	5	150	1	20	20	20	20	20	1		48736	105056				
甜酒叔	0	6777	3	5	150	1	20	20	20	20	20	1		48864	105024				
沈荷叶	0	6778	3	5	150	1	20	20	20	20	20	1		48928	105024				
郝漂靓	0	6779	3	5	150	1	20	20	20	20	20	1		48992	105088				
张斩经	0	6780	3	5	150	1	20	20	20	20	20	1		48992	104992				
不动先生	0	6781	3	5	150	1	20	20	20	20	20	1		49056	105120				
大老白	0	6782	3	5	150	1	20	20	20	20	20	1		49120	105152				
谢贤	0	6783	3	5	150	1	20	20	20	20	20	1		49152	105216				
张松涛	0	6784	3	5	150	1	20	20	20	20	20	1		49216	105248				
木良	0	6785	3	5	150	1	20	20	20	20	20	1		49280	105344				
白秋琳	0	6786	3	5	150	1	20	20	20	20	20	1		49344	105376				
龙五太爷	0	6787	3	5	150	1	20	20	20	20	20	1		49408	105440				
纤纤	0	6788	3	5	150	1	20	20	20	20	20	1		49472	105472				
韩侂胄	0	6789	3	5	150	1	20	20	20	20	20	1		49216	106272				
宝玉	0	6790	3	5	150	1	20	20	20	20	20	1		49248	106208				
莺莺	0	6791	3	5	150	1	20	20	20	20	20	1		49344	106112				
方行觉	0	6762	3	5	150	1	20	20	20	20	20	1		53568	104736				
窦昊	0	6763	3	5	150	1	20	20	20	20	20	1		53632	104640				
巴克西	0	6764	3	5	150	1	20	20	20	20	20	1		53696	104608				
李升阳	0	6765	3	5	150	1	20	20	20	20	20	1		53536	105120				
段智兴	0	6766	3	5	150	1	20	20	20	20	20	1		53600	105216				
杨铁心	0	6767	3	5	150	1	20	20	20	20	20	1		53696	105280				
玄慈	0	6768	3	5	150	1	20	20	20	20	20	1		53728	104544				
唐晓	0	6769	3	5	150	1	20	20	20	20	20	1		54176	104096				
古嫣然	0	6770	3	5	150	1	20	20	20	20	20	1		54112	104160				
