NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
许如	0	913	0	5	85	1	20	20	20	20	20	1		62784	92160				
起良修戎	0	637	3	5	85	1	20	20	20	20	20	1		56736	116672				
李开山	0	653	3	5	85	1	20	20	20	20	20	1		55808	115808				
皇陵看守	0	2195	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\xixiahuangling\npc\area1.txt			
叛军刀手	0	2196	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\xixiahuangling\npc\area2.txt			
滚刀手	0	2197	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\xixiahuangling\npc\area3.txt			
皇陵看守	0	2195	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt			\setting\map\map_info\xixiahuangling\npc\area4.txt			
to_shamomigong	1															\setting\map\map_info\xixiahuangling\trap\to_shamomigong.txt			
沙漠迷宫入口	0	2525	4	5	85	1	20	20	20	20	20	1		53152	103136				
绝密之物	0	915	3	5	85	1	20	20	20	20	20	1		62560	92160				
道悟真人	0	1583	3	5	85	1	20	20	20	20	20	1		55872	93248				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	62656	95008				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	62752	95904				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	63168	94528				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	63168	95072				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	63296	95584				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	63264	96384				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	63904	95360				
看守统领	0	1092	0	5	85	1	20	20	20	20	20	1	\setting\npc\droprate\droprate009.txt	63552	95904				
没藏武	0	3083	0	5	85	1	20	20	20	20	20	16		60320	105248				
莫南竹	0	3084	0	5	85	1	20	20	20	20	20	16		57184	93312				1
黄万劫	0	3085	0	5	85	1	20	20	20	20	20	16		61792	90976				2
轻轻儿	0	3086	0	5	85	1	20	20	20	20	20	16		64032	96672				3
