NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
黄虎	0	2009	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\yandanglongqiu\npc\area1.txt	1		
幼熊	0	2010	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\yandanglongqiu\npc\area2.txt	1		
驯养的麋鹿	0	2201	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\yandanglongqiu\npc\area3.txt	1		
野生小猴	0	2202	0	5	5	1	20	20	20	20	20	1	\setting\npc\droprate\droprate001.txt			\setting\map\map_info\yandanglongqiu\npc\area4.txt	1		
to_longquancun	1															\setting\map\map_info\yandanglongqiu\trap\to_longquancun.txt			
龙泉村入口	0	2525	4	5	1	1	20	20	20	20	20	1		51168	126848				
沈铁石	0	3582	3	5	60	1	20	20	20	20	20	1		54016	118304		1		
许仕伟	0	3583	3	5	60	1	20	20	20	20	20	1		53920	117984		1		
驯养的麋鹿寻路点	0	3597	5	5	1	1	20	20	20	20	20	1		51264	124064		1		
野生小猴寻路点	0	3598	5	5	1	1	20	20	20	20	20	1		52096	113024		1		
黄虎寻路点	0	3599	5	5	1	1	20	20	20	20	20	1		57440	109184		1		
幼熊寻路点	0	3600	5	5	1	1	20	20	20	20	20	1		60832	118432		1		
书童	0	1877	3	5	60	1	20	20	20	20	20	1		54176	120128		1		
驯养的麋鹿寻路点1	0	4675	5	5	1	1	20	20	20	20	20	1		51680	119680		1		
驯养的麋鹿寻路点2	0	4676	5	5	1	1	20	20	20	20	20	1		49376	114560		1		
驯养的麋鹿寻路点3	0	4677	5	5	1	1	20	20	20	20	20	1		51008	122592		1		
