NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
裴远	0	3501	3	5	30	1	20	20	20	20	20	1		47904	105728		1		
寂幻	0	3507	3	5	30	1	20	20	20	20	20	1		47680	104704		1		
唐济民	0	3513	3	5	30	1	20	20	20	20	20	1		48768	105632		1		
边一春	0	3519	3	5	30	1	20	20	20	20	20	1		48320	106496		1		
玄静	0	3525	3	5	30	1	20	20	20	20	20	1		48992	106880		1		
苏雅	0	3531	3	5	30	1	20	20	20	20	20	1		49600	106368		1		
罗俊	0	3537	3	5	30	1	20	20	20	20	20	1		51264	107296		1		
谢飞京	0	3543	3	5	30	1	20	20	20	20	20	1		51872	107776		1		
明慧	0	3549	3	5	30	1	20	20	20	20	20	1		52576	108512		1		
归惊晴	0	3555	3	5	30	1	20	20	20	20	20	1		52640	107424		1		
甜酒叔	0	3561	3	5	60	1	20	20	20	20	20	1		53504	99968		1		
沈荷叶	0	3562	3	5	60	1	20	20	20	20	20	1		53888	100512		1		
郝漂靓	0	3563	3	5	60	1	20	20	20	20	20	1		54400	100864		1		
张斩经	0	3564	3	5	60	1	20	20	20	20	20	1		55328	101504		1		
不动先生	0	3565	3	5	60	1	20	20	20	20	20	1		51520	104544		1		
大老白	0	3566	3	5	60	1	20	20	20	20	20	1		51264	104224		1		
谢贤	0	3567	3	5	60	1	20	20	20	20	20	1		55392	103200		1		
张松涛	0	3568	3	5	60	1	20	20	20	20	20	1		49216	103648		1		
木良	0	3569	3	5	60	1	20	20	20	20	20	1		50304	104960		1		
白秋琳	0	3570	3	5	90	1	20	20	20	20	20	1		50720	102208		1		
龙五太爷	0	3571	3	5	150	1	20	20	20	20	20	1		52928	102112		1		
义军侍卫	0	3572	5	5	60	1	20	20	20	20	20	1				\setting\map\map_info\yonglezhen\npc\yijunshiwei.txt	1		
包万同	0	3573	3	5	60	1	20	20	20	20	20	1		52448	101568		1		
冶炼大师	0	3574	3	5	60	1	20	20	20	20	20	3		52384	100672		1		2
叶芷琳	0	3576	3	5	60	1	20	20	20	20	20	3		54816	103840		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		53920	106464		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		51360	100864		1		
车夫	0	2597	3	5	60	1	20	20	20	20	20	3		57184	100928		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		54400	106400		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		50624	100736		1		
邹德侩	0	2599	3	5	60	1	20	20	20	20	20	3		56928	102080		1		
礼官	0	2601	3	5	60	1	20	20	20	20	20	3		53088	103904		1		
叶晓钗	0	7156	3	5	60	1	20	20	20	20	20	3		0	0		1		
破旧箱子一	0	3578	3	5	1	1	20	20	20	20	20	3		55584	103104		1		
破旧箱子二	0	3579	3	5	1	1	20	20	20	20	20	3		55648	102944		1		
破旧箱子三	0	3580	3	5	1	1	20	20	20	20	20	3		55648	102752		1		
奇怪的箱子	0	3581	3	5	1	1	20	20	20	20	20	3		55904	102720		1		
