NpcName	Class	NpcTemplateId	NpcType	NpcCamp	NpcLevel	NpcSeriesAuto	NpcSeriesMetal	NpcSeriesWood	NpcSeriesWater	NpcSeriesFire	NpcSeriesEarth	NpcTreasure	NpcDroprate	XPos	YPos	NpcPosFile	Removewhendeath	Quantity	ChangeColorScheme
姬铸	0	76	3	5	60	1	20	20	20	20	20	1		59232	114176		1		
夷人刀客	0	79	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\yirendaoke.txt	1		
殷方	0	80	3	5	60	1	20	20	20	20	20	1		60864	117408		1		1
殷童	0	81	3	5	60	1	20	20	20	20	20	1		60704	117696		1		2
蝶飘飘	0	82	3	5	90	1	20	20	20	20	20	1		58176	108000		1		
武林高手	0	83	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\wulingaoshou.txt	1		
关万山	0	84	3	5	60	1	20	20	20	20	20	1		55328	113888		1		
夷人武士	0	85	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\yirenwushi.txt	1		
夷人首领	0	86	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	52192	113248		1		
守门童子	0	89	3	5	60	1	20	20	20	20	20	1		57280	113920		1		1
长歌门探子	0	101	0	5	45	1	20	20	20	20	20	1				\setting\map\map_info\yuanshisenlin_2\npc\changgemen.txt	1		
兰松林	0	110	3	5	60	1	20	20	20	20	20	1		52224	111712		1		
天王武士	0	112	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\tianwangwushi.txt	1		
天王将领	0	113	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\tianwangjiangling.txt	1		
裴翼飞	0	114	3	5	90	1	20	20	20	20	20	1		51488	103648		1		
红旗弟子	0	116	3	5	60	1	20	20	20	20	20	1		53312	109216		1		2
黑旗弟子	0	118	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\heiqidizi.txt	1		0
白旗弟子	0	119	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\baiqidizi.txt	1		
丐帮武士	0	120	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\gaibangwushi.txt	1		
罗锋	0	121	3	5	90	1	20	20	20	20	20	1		53600	104224		1		2
红旗护法	0	128	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\hongqihufa.txt	1		2
兰松林	0	129	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	55648	108512		1		
鱼藏锋	0	130	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	54496	108480		1		3
蝶飘飘	0	131	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	55264	106784		1		
胡献姬	0	133	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	55904	105312		1		2
罗锋	0	134	3	5	90	1	20	20	20	20	20	1		56128	103712		1		2
黄旗弟子	0	135	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\huangqidizi.txt	1		0
石轩辕	0	136	3	5	150	1	20	20	20	20	20	1		55136	103264		1		
杨铁心	0	137	3	5	150	1	20	20	20	20	20	1		55040	103392		1		
古嫣然	0	138	3	5	150	1	20	20	20	20	20	1		55104	103616		1		
卢笑贫	0	359	3	5	90	1	20	20	20	20	20	1		58560	107872		1		
蒙可村长	0	360	3	5	60	1	20	20	20	20	20	1		59584	121344		1		
蒙可村民	0	361	3	5	60	1	20	20	20	20	20	1				\setting\map\map_info\yuanshisenlin_2\npc\mengkecunming.txt	1		
瑶山部族长	0	363	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	52736	122816		1		
瑶山部男子	0	364	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt			\setting\map\map_info\yuanshisenlin_2\npc\yaoshanbunanzi.txt	1		
韩破山	0	365	3	5	90	1	20	20	20	20	20	1		58432	108416		1		
土山酋长	0	367	0	5	45	1	20	20	20	20	20	2	\setting\npc\droprate\droprate005.txt	60256	105408		1		2
